Region_of_Origin|District_of_Origin|County_of_Origin|Period|GenderDescription|AgeClassDescription|Average_BusUsers_per_Day
"R1 - AM Lisboa"|"Lisboa"|"Amadora"|"Sep-19 to Feb-20"|"Female"|"15-24"|294.194206
"R1 - AM Lisboa"|"Lisboa"|"Amadora"|"Sep-19 to Feb-20"|"Female"|"25-34"|1081.652817
"R1 - AM Lisboa"|"Lisboa"|"Amadora"|"Sep-19 to Feb-20"|"Female"|"35-44"|235.836653
"R1 - AM Lisboa"|"Lisboa"|"Amadora"|"Sep-19 to Feb-20"|"Female"|"45-54"|840.951323
"R1 - AM Lisboa"|"Lisboa"|"Amadora"|"Sep-19 to Feb-20"|"Female"|"55-64"|1216.148092
"R1 - AM Lisboa"|"Lisboa"|"Amadora"|"Sep-19 to Feb-20"|"Male"|"15-24"|1148.427051
"R1 - AM Lisboa"|"Lisboa"|"Amadora"|"Sep-19 to Feb-20"|"Male"|"25-34"|421.940180
"R1 - AM Lisboa"|"Lisboa"|"Amadora"|"Sep-19 to Feb-20"|"Male"|"35-44"|137.697607
"R1 - AM Lisboa"|"Lisboa"|"Amadora"|"Sep-19 to Feb-20"|"Male"|"45-54"|617.693161
"R1 - AM Lisboa"|"Lisboa"|"Amadora"|"Sep-19 to Feb-20"|"Male"|"55-64"|867.481913
"R1 - AM Lisboa"|"Lisboa"|"Amadora"|"Sep-19 to Feb-20"|"Male"|"65+"|1612.851365
"R1 - AM Lisboa"|"Lisboa"|"Cascais"|"Sep-19 to Feb-20"|"Female"|"15-24"|745.379537
"R1 - AM Lisboa"|"Lisboa"|"Cascais"|"Sep-19 to Feb-20"|"Female"|"25-34"|919.144204
"R1 - AM Lisboa"|"Lisboa"|"Cascais"|"Sep-19 to Feb-20"|"Female"|"35-44"|816.414391
"R1 - AM Lisboa"|"Lisboa"|"Cascais"|"Sep-19 to Feb-20"|"Female"|"45-54"|970.140963
"R1 - AM Lisboa"|"Lisboa"|"Cascais"|"Sep-19 to Feb-20"|"Female"|"55-64"|756.408177
"R1 - AM Lisboa"|"Lisboa"|"Cascais"|"Sep-19 to Feb-20"|"Female"|"65+"|2017.333975
"R1 - AM Lisboa"|"Lisboa"|"Cascais"|"Sep-19 to Feb-20"|"Male"|"15-24"|4548.093582
"R1 - AM Lisboa"|"Lisboa"|"Cascais"|"Sep-19 to Feb-20"|"Male"|"25-34"|298.292615
"R1 - AM Lisboa"|"Lisboa"|"Cascais"|"Sep-19 to Feb-20"|"Male"|"35-44"|439.301423
"R1 - AM Lisboa"|"Lisboa"|"Cascais"|"Sep-19 to Feb-20"|"Male"|"45-54"|690.807533
"R1 - AM Lisboa"|"Lisboa"|"Cascais"|"Sep-19 to Feb-20"|"Male"|"55-64"|822.493709
"R1 - AM Lisboa"|"Lisboa"|"Lisboa"|"Sep-19 to Feb-20"|"Female"|"15-24"|2622.526139
"R1 - AM Lisboa"|"Lisboa"|"Lisboa"|"Sep-19 to Feb-20"|"Female"|"25-34"|1505.189142
"R1 - AM Lisboa"|"Lisboa"|"Lisboa"|"Sep-19 to Feb-20"|"Female"|"35-44"|1021.261465
"R1 - AM Lisboa"|"Lisboa"|"Lisboa"|"Sep-19 to Feb-20"|"Female"|"45-54"|1217.651233
"R1 - AM Lisboa"|"Lisboa"|"Lisboa"|"Sep-19 to Feb-20"|"Female"|"55-64"|2407.573978
