Freguesia;Fevereiro de 2021;Janeiro de 2021;Dezembro de 2020;Novembro de 2020;Outubro de 2020;Setembro de 2020;Agosto de 2020;Julho de 2020;Junho de 2020;Maio de 2020;Abril de 2020;Março de 2020;Fevereiro de 2020;Janeiro de 2020;Dezembro de 2019;Novembro de 2019;Outubro de 2019;Setembro de 2019;Agosto de 2019;Julho de 2019;Junho de 2019;Maio de 2019;Abril de 2019;Março de 2019;Fevereiro de 2019;Janeiro de 2019
1111601: Arcos de Valdevez;3130260;3291565;4786910;3883075;4124725;3945875;4631630;4184310;3552875;3185825;2418495;3039490;3608170;3640315;4492855;3734860;3863650;3628440;5125040;4308805;3611500;3839440;3775240;3674175;3222905;3417035
1111602: Caminha;2845760;3081045;4344620;3464960;3710495;4004595;5585840;4963455;3677715;3167495;2278615;2817720;3189755;3176805;3905750;3296590;3436190;3847660;6701825;4903260;3798785;3641780;3368100;3397035;2929275;2972245
1111603: Melgaço;1196530;1274580;1954440;1520540;1607580;1485205;1935845;1603580;1345995;1210690;892505;1143350;1324545;1323440;1604210;1418360;1422095;1318375;1847150;1540830;1365575;1419380;1479330;1371955;1195565;1194250
1111604: Monção;2768460;2930760;4337410;3570880;3827910;3530430;4215930;3928660;3325750;3004480;2315470;2945930;3440330;3530370;4330530;3575900;3749900;3476600;4535600;4094610;3633500;3743900;3669010;3547730;3081570;3183980
1111605: Paredes de Coura;1206185;1295685;1917915;1554440;1648805;1522730;1602015;1575210;1338570;1229675;977945;1127785;1278650;1267220;1577840;1371810;1330345;1299585;2341730;1506150;1390590;1362045;1289515;1300890;1113380;1152640
1111606: Ponte da Barca;1220855;1295905;1912680;1644120;1723485;1696460;2108105;2015365;1636425;1592920;1196240;1413690;1621850;1653245;2163090;1699395;1785205;1700050;2401720;2024265;1786990;1838500;1663130;1707455;1517030;1502450
1111607: Ponte de Lima;5327850;5705310;8445790;6700990;7229770;7001340;8316340;7645310;6847230;6241410;4954670;5984780;6975800;6872520;8851950;7159640;7273190;7922390;8977890;8018850;7594030;7504360;7246990;7246810;6310270;6547360
1111608: Valença;2509330;2703910;3708910;3025010;3461760;3380740;3743850;3499160;2836700;2519230;1936210;2666620;3221210;3249620;4007260;3318060;3557580;3462080;4204190;3956670;3596580;3672890;3439760;3413890;3041900;3049430
1111609: Viana do Castelo;14745110;16025380;23364190;19353200;20010060;19250330;21199710;20970140;17854815;16030570;12213010;15698015;18804720;18843910;24178990;19877950;20338855;19176425;23705875;21942620;19929445;20533780;19395115;19604820;17489020;17750505
1111610: Vila Nova de Cerveira;1678940;1880470;2729610;2148970;2442510;2460460;3128130;2683730;2342890;2052830;1488100;1823060;2225600;1976560;2756300;2379170;2299010;2141380;3186420;2582170;2359400;2294480;2109735;2197510;1837200;1838640
1120301: Amares;2751685;2900720;3763695;3097505;3153625;3057820;3540780;3287935;2908225;2758250;2219155;2641130;2879960;2900560;3541970;2993520;3097420;2906760;3616195;3242475;3145200;3121550;2941565;3081875;2678730;2757140
1120302: Barcelos;17729510;18881735;26563890;20999385;22681220;22292725;24130225;23626480;21041045;19816825;16060015;19476290;21847280;21614700;27722315;22476425;23280640;21726655;25150595;24012705;22979945;23920800;23087265;22849975;20499670;21002205
1120303: Braga;30592740;33725280;48215925;38806020;41706270;40630840;41107455;44061750;38068705;33581715;25209475;34725875;43723350;43893265;55237590;46118590;47254315;44780720;46184540;49685810;46604010;49008045;45398795;45744490;41577495;42441010
