id_parque,nome,capacidade_max,ocupacao,position,add_data_ocupacao
P005,Saldanha Residence,503,282,"{""coordinates"": [-9.14548192620168, 38.7323043382636], ""type"": ""Point""}",09/04/2021
P008,Valbom,513,305,"{""coordinates"": [-9.15176054084168, 38.7366155609067], ""type"": ""Point""}",09/04/2021
P057,Manuel Gouveia,398,51,"{""coordinates"": [-9.130995, 38.744327], ""type"": ""Point""}",09/04/2021
P061,Parque Vila Maria,67,0,"{""coordinates"": [-9.166372, 38.725041], ""type"": ""Point""}",09/04/2021
P029,Colégio Militar,415,210,"{""coordinates"": [-9.188327, 38.752172], ""type"": ""Point""}",09/04/2021
P012,Berna,354,258,"{""coordinates"": [-9.1520223, 38.7394789], ""type"": ""Point""}",09/04/2021
P035,Parque Mayer,81,30,"{""coordinates"": [-9.145547, 38.719062], ""type"": ""Point""}",09/04/2021
P019,El Corte Inglés,2000,1005,"{""coordinates"": [-9.15528429, 38.7352591], ""type"": ""Point""}",09/04/2021
P014,Alto do Parque,474,230,"{""coordinates"": [-9.153596, 38.731063], ""type"": ""Point""}",09/04/2021
P062,Parque da Graça,115,0,"{""coordinates"": [-9.128867, 38.716819], ""type"": ""Point""}",09/04/2021
P001,Marquês de Pombal,1145,764,"{""coordinates"": [-9.15104299999, 38.7247865], ""type"": ""Point""}",09/04/2021
P016,Universidade,247,110,"{""coordinates"": [-9.158464, 38.750671], ""type"": ""Point""}",09/04/2021
P018,Roma,602,488,"{""coordinates"": [-9.1418056, 38.7492735], ""type"": ""Point""}",09/04/2021
P033,Lumiar,160,37,"{""coordinates"": [-9.159321, 38.773079], ""type"": ""Point""}",09/04/2021
P003,Saldanha,503,299,"{""coordinates"": [-9.14573228492395, 38.7335172346174], ""type"": ""Point""}",09/04/2021
P063,Cosme Damião,286,136,"{""coordinates"": [-9.128867, 38.716819], ""type"": ""Point""}",09/04/2021
P002,Picoas Plaza,400,208,"{""coordinates"": [-9.1483930362, 38.7313746], ""type"": ""Point""}",09/04/2021
P044,Telheiras Nascente,109,25,"{""coordinates"": [-9.164886, 38.761512], ""type"": ""Point""}",09/04/2021
P015,Cidade Universitaria,620,156,"{""coordinates"": [-9.155042, 38.750596], ""type"": ""Point""}",09/04/2021
P038,Sete Rios,110,56,"{""coordinates"": [-9.166597, 38.742347], ""type"": ""Point""}",09/03/2020
P049,Pq. de Santos - D. Luis I,202,31,"{""coordinates"": [-9.15221, 38.707681], ""type"": ""Point""}",09/04/2021
