county,month,rainfall,raindays
Lisboa,09/2019,11.4,4
Lisboa,10/2019,43.2,12
Lisboa,11/2019,114.9,27
Lisboa,12/2019,110,12
Lisboa,01/2020,65.6,17
Lisboa,02/2020,7.1,8
Lisboa,03/2020,75.2,15
Lisboa,04/2020,96.6,19
Lisboa,05/2020,62.2,10
Lisboa,06/2020,4.5,5
Lisboa,07/2020,12.8,5
Lisboa,08/2020,2.7,4
Lisboa,09/2020,43.6,7
Lisboa,10/2020,70.8,12
Lisboa,11/2020,96.1,14
Lisboa,12/2020,75.1,23
Lisboa,01/2021,58.8,15
Lisboa,02/2021,167.1,23
Lisboa,03/2021,46.1,6
Amadora,09/2019,13,4
Amadora,10/2019,48.1,12
Amadora,11/2019,122.2,27
Amadora,12/2019,120.2,12
Amadora,01/2020,72,17
Amadora,02/2020,7.2,6
Amadora,03/2020,75.9,16
Amadora,04/2020,102,21
Amadora,05/2020,63.1,10
Amadora,06/2020,5.7,8
Amadora,07/2020,13,5
Amadora,08/2020,3.8,5
Amadora,09/2020,57.1,7
Amadora,10/2020,80.1,13
Amadora,11/2020,112.1,14
Amadora,12/2020,88.6,22
Amadora,01/2021,58.5,17
Amadora,02/2021,190.5,23
Amadora,03/2021,42.5,5
Porto,09/2019,49.3,8
Porto,10/2019,260,15
Porto,11/2019,306.5,30
Porto,12/2019,406.5,15
Porto,01/2020,228.4,17
Porto,02/2020,58.6,10
Porto,03/2020,111.1,14
Porto,04/2020,163.5,21
Porto,05/2020,50,11
Porto,06/2020,28.3,11
Porto,07/2020,7.2,5
Porto,08/2020,34.5,6
Porto,09/2020,53.1,12
Porto,10/2020,179.9,15
Porto,11/2020,123,19
Porto,12/2020,326.4,26
Porto,01/2021,172.8,15
Porto,02/2021,320,21
Porto,03/2021,13.3,11
Cascais,09/2019,6.8,3
Cascais,10/2019,33.4,14
Cascais,11/2019,73.6,25
Cascais,12/2019,49.6,12
Cascais,01/2020,42.9,16
Cascais,02/2020,5.5,8
Cascais,03/2020,24,14
Cascais,04/2020,62.2,19
Cascais,05/2020,45.3,8
Cascais,06/2020,3.6,5
Cascais,07/2020,4.5,3
Cascais,08/2020,2.9,4
Cascais,09/2020,68.1,7
Cascais,10/2020,45,14
