id,origin_latitude,origin_longitude,destination_latitude,destination_longitude,demand_weight,Origin,Destination
0,38.75,-9.2333,38.7452,-9.1604,0.307323,AMADORA,LISBOA
1,38.75,-9.2333,38.7452,-9.1604,0.069997,AMADORA,LISBOA
2,38.75,-9.2333,38.7452,-9.1604,0.066059,AMADORA,LISBOA
3,38.75,-9.2333,38.7452,-9.1604,0.059847000000000004,AMADORA,LISBOA
4,38.75,-9.2333,38.7452,-9.1604,0.052341,AMADORA,LISBOA
5,38.75,-9.2333,38.7452,-9.1604,0.049032,AMADORA,LISBOA
6,38.75,-9.2333,38.75,-9.2333,0.039779,AMADORA,AMADORA
7,38.75,-9.2333,38.7452,-9.1604,0.038691,AMADORA,LISBOA
8,38.75,-9.2333,38.7452,-9.1604,0.037827,AMADORA,LISBOA
9,38.75,-9.2333,38.7452,-9.1604,0.0378,AMADORA,LISBOA
10,38.75,-9.2333,38.7452,-9.1604,0.037224,AMADORA,LISBOA
11,38.75,-9.2333,38.7452,-9.1604,0.029157,AMADORA,LISBOA
12,38.75,-9.2333,38.71371,-9.26832,0.022297,AMADORA,OEIRAS
13,38.75,-9.2333,38.7452,-9.1604,0.021183,AMADORA,LISBOA
14,38.75,-9.2333,38.7452,-9.1604,0.020464,AMADORA,LISBOA
15,38.75,-9.2333,38.7452,-9.1604,0.017371,AMADORA,LISBOA
16,38.75,-9.2333,38.75,-9.2333,0.016269,AMADORA,AMADORA
17,38.75,-9.2333,38.7452,-9.1604,0.012837000000000001,AMADORA,LISBOA
18,38.75,-9.2333,38.7452,-9.1604,0.012542,AMADORA,LISBOA
19,38.75,-9.2333,38.7452,-9.1604,0.012425,AMADORA,LISBOA
20,38.75,-9.2333,38.7452,-9.1604,0.010029999999999999,AMADORA,LISBOA
21,38.75,-9.2333,38.7452,-9.1604,0.0064719999999999995,AMADORA,LISBOA
22,38.75,-9.2333,38.7452,-9.1604,0.0059700000000000005,AMADORA,LISBOA
23,38.75,-9.2333,38.7452,-9.1604,0.0042899999999999995,AMADORA,LISBOA
24,38.75,-9.2333,38.7452,-9.1604,0.00256,AMADORA,LISBOA
25,38.75,-9.2333,38.75,-9.2333,0.001757,AMADORA,AMADORA
26,38.75,-9.2333,38.7452,-9.1604,0.001385,AMADORA,LISBOA
27,38.75,-9.2333,38.71371,-9.26832,0.001258,AMADORA,OEIRAS
28,38.75,-9.2333,38.83091,-9.16845,0.001094,AMADORA,LOURES
29,38.75,-9.2333,38.7452,-9.1604,0.000919,AMADORA,LISBOA
