IDRoute,linkid
1,537277300
1,537277673
1,537277754
1,537277777
1,537277795
1,537277954
1,537277980
1,537278408
1,537278623
1,537278860
1,537279035
1,537282528
1,537283957
1,537284163
1,537284189
1,537284196
1,537284197
1,593892423
1,721545568
1,721545569
1,743590957
1,746670115
1,746823975
1,799427718
1,799481022
1,799481023
1,799481035
1,799481036
1,799484937
1,802182683
1,802182863
1,811304937
1,811304938
1,811398831
1,811401336
1,811401337
1,811401512
1,811463684
1,811463685
1,811463686
1,811463687
1,811469801
1,811471524
1,811471525
1,811471526
1,811477414
1,811477415
1,811480959
1,811639528
1,811639529
1,811639530
1,811639531
1,811639532
1,811954394
1,811954396
1,811957840
1,811959963
1,811959965
1,812132634
1,812133152
1,812133153
1,812144373
1,812144374
1,812144375
1,812224197
1,851526642
1,851526643
1,851527838
1,851543355
1,851551847
1,851551848
1,901324161
1,901324163
1,901324165
1,901324170
1,901326578
1,901326581
1,901326583
1,901326584
1,901326585
1,1101648083
1,1160927171
1,1160927529
1,1160928185
1,1202388190
1,1202388203
1,1202388243
1,1202388244
1,1202673585
1,1223142710
1,1246604405
2,537277954
2,537277980
2,537278408
2,537278623
2,537278860
2,537279154
2,537279193
2,537279247
2,537280111
2,537280113
2,537280116
2,537280141
2,537280222
2,537280237
2,537280258
2,537280259
2,537280326
2,537280855
2,537280867
2,537280873
2,537280877
2,537280886
2,537280892
2,537280977
2,537281022
2,537282156
2,537283646
2,537283652
2,537283657
2,537283711
2,537283712
2,537283750
2,537284471
2,537284751
2,537284752
2,537284753
2,537284754
2,537284755
2,537284756
2,537284921
2,537284943
2,537284945
2,537284946
2,537284947
2,537285509
2,537285510
2,537285512
2,537285516
2,537285517
2,537285522
2,537285523
2,537285526
2,537285529
2,537285795
2,537285796
2,537320961
2,543108637
2,543108638
2,543108640
2,543108645
2,593888892
2,593892401
2,593892974
2,722734218
2,746627800
2,746952784
2,746952785
2,746980501
2,746981795
2,747078121
2,747078122
2,747091957
2,747091958
2,747091966
2,753438782
2,753438860
2,758467057
2,758467058
2,758467062
2,771584138
2,771584139
2,778211403
2,778782011
2,778782027
2,779455126
2,798651764
2,806649892
2,811112096
2,811112097
2,811112254
2,811112255
2,811112257
2,811175577
2,811175579
2,811175580
2,811233386
2,811310173
2,811310174
2,811310175
2,811310176
2,811398039
2,811401004
2,811401336
2,811401337
2,811401512
2,811485758
2,811485759
2,811485760
2,811485763
2,811485764
2,811485765
2,811485767
2,811485768
2,811556438
2,811556439
2,811629566
2,811884590
2,811947724
2,812023254
2,812023255
2,812023256
2,836185854
2,851519858
2,851519859
2,851547803
2,851552992
2,851552993
2,851553002
2,851554284
2,851554290
2,851591133
2,851591134
2,851623355
2,851625198
2,859347304
2,897478272
2,897787176
2,901119782
2,901119783
2,901128953
2,901311723
2,901311725
2,901328841
2,901328842
2,901328843
2,901328844
2,901328845
2,901328846
2,901328847
2,901328848
2,901330812
2,901330813
2,901330814
2,901330815
2,901330816
2,901330817
2,901330819
2,901335093
2,902016534
2,902016535
2,907445776
2,910631394
2,910631395
2,910635154
2,910635155
2,910635156
2,910635157
2,910635159
2,910635161
2,910635162
2,910635163
2,910635164
2,910635166
2,910635167
2,910635169
2,910635333
2,910635334
2,910635838
2,910635839
2,910635840
2,910635841
2,910635842
2,910635843
2,910635844
2,910635845
2,910640809
2,941289391
2,941289392
2,1115631554
2,1162444462
2,1162445446
2,1162453258
2,1180483530
2,1187733637
2,1187733638
2,1187733639
2,1187733640
2,1187733641
2,1187733642
2,1187733643
2,1198051993
2,1198051994
2,1201697034
2,1201697035
2,1201697260
2,1201866960
2,1201866961
2,1201872277
2,1201872278
2,1202127650
2,1202127651
2,1202193846
2,1202254592
2,1202254593
2,1202255120
2,1202255122
2,1202255123
2,1202255124
2,1202255125
2,1202388240
2,1202683188
2,1202870573
2,1202924178
2,1202924179
2,1205886756
2,1205886757
2,1206705162
2,1206705163
2,1206705165
2,1206705166
2,1208910784
2,1208910785
2,1208910787
2,1213178431
2,1213178432
2,1213278922
2,1213343194
2,1213512227
2,1213513448
2,1213513449
2,1213529543
2,1213529544
2,1213870333
2,1213870334
2,1214429527
2,1214429528
2,1214573385
2,1214573388
2,1214589875
2,1214589880
2,1214589884
2,1214589885
2,1214635817
2,1214836355
2,1215031875
2,1215031876
2,1217822081
2,1217822082
2,1220022343
2,1222969112
2,1227943168
2,1246604405
3,537279515
3,537279523
3,537279555
3,537279556
3,537279614
3,537279615
3,537279771
3,537279775
3,537279780
3,537279857
3,537280015
3,537280097
3,537280111
3,537280113
3,537280116
3,537280141
3,537280194
3,537280222
3,537280237
3,537280253
3,537280258
3,537280259
3,537280308
3,537280326
3,537280333
3,537280337
3,537280349
3,537280350
3,537280369
3,537280855
3,537280867
3,537280873
3,537280886
3,537280892
3,537282043
3,537282084
3,537282199
3,537282200
3,537284471
3,537284751
3,537284752
3,537284754
3,537284921
3,537284943
3,537284946
3,537285509
3,537285510
3,537285512
3,537285515
3,537285526
3,537285529
3,575175295
3,575175296
3,593888892
3,593892974
3,746350943
3,746627800
3,746980501
3,746981795
3,747091957
3,747091958
3,747091966
3,779455126
3,798651764
3,806649892
3,811112097
3,811112254
3,811112255
3,811112257
3,811310173
3,811310174
3,811391408
3,811391409
3,811391410
3,811391411
3,811556045
3,811556046
3,811556438
3,811556439
3,811629566
3,811747881
3,811747882
3,811747883
3,811884590
3,851623355
3,901119782
3,901119783
3,901119785
3,901128953
3,901328842
3,901328845
3,901328846
3,901328847
3,901328848
3,901330812
3,901330813
3,901330814
3,901330815
3,901330816
3,901330817
3,901330819
3,901465636
3,901465637
3,901465639
3,901465641
3,901465642
3,901467564
3,901467567
3,901467568
3,901467569
3,901467572
3,901467573
3,901467575
3,905950782
3,910635333
3,910635334
3,910635838
3,910635839
3,910635840
3,910635842
3,910635843
3,910635844
3,910635845
3,910640809
3,910643476
3,910643477
3,910643478
3,910643479
3,910643480
3,910643481
3,910643482
3,910643483
3,1036375459
3,1036375460
3,1062547106
3,1062547107
3,1115631554
3,1162444462
3,1162445445
3,1187733637
3,1187733638
3,1187733639
3,1187733640
3,1187733641
3,1187733642
3,1187733643
3,1198051993
3,1198051994
3,1201929237
3,1202127651
3,1202193846
3,1202254592
3,1202255120
3,1202255122
3,1202255123
3,1202255124
3,1202255125
3,1202688588
3,1205886756
3,1205886757
3,1206705162
3,1206705163
3,1206705165
3,1206705166
3,1213278922
3,1213343194
3,1213870333
3,1214429527
3,1214429528
3,1214589875
3,1214589880
3,1214589885
3,1214635817
3,1214836355
3,1215031875
3,1215031876
3,1217822082
3,1221405927
3,1221405928
3,1221416898
3,1221416899
3,1222969112
3,1223118931
3,1227943168
4,80218154
4,537279892
4,537280111
4,537280113
4,537280116
4,537280141
4,537280222
4,537280237
4,537280258
4,537280259
4,537280326
4,537280585
4,537280636
4,537280733
4,537280855
4,537280867
4,537280873
4,537280886
4,537280892
4,537283641
4,537283646
4,537283652
4,537283657
4,537283669
4,537283683
4,537284751
4,537284752
4,537284753
4,537284754
4,537284755
4,537284756
4,537284921
4,537284943
4,537284945
4,537284946
4,537284947
4,537285509
4,537285510
4,537285516
4,537285517
4,537285526
4,537285529
4,537285975
4,537285976
4,537285981
4,537319979
4,537320006
4,537320007
4,537320132
4,537320892
4,537320922
4,537320939
4,543107701
4,543107702
4,543107703
4,543107707
4,543107755
4,543107757
4,543108667
4,543108668
4,543108736
4,543108737
4,543108738
4,543108739
4,543110752
4,543110833
4,543112540
4,545934349
4,545934356
4,593888892
4,593892974
4,709094208
4,709765265
4,711383568
4,721099257
4,721099258
4,727559108
4,743410662
4,743410663
4,746980501
4,746981795
4,747089609
4,747089611
4,747089612
4,747091957
4,747091958
4,747091966
4,748784570
4,748784571
4,767326020
4,767326030
4,775737003
4,775737004
4,775737005
4,779455126
4,798651764
4,806639814
4,806639816
4,806639820
4,806649892
4,811112096
4,811112097
4,811112254
4,811112255
4,811112257
4,811309315
4,811309316
4,811310173
4,811310174
4,811556438
4,811556439
4,811629566
4,811884590
4,811884591
4,811947724
4,812235336
4,820872779
4,820872781
4,820932068
4,820932069
4,836185882
4,836185883
4,836185884
4,836185885
4,836185886
4,836185892
4,851593350
4,851593357
4,851593361
4,851593612
4,851595093
4,851595098
4,851595102
4,851595110
4,865354814
4,865354815
4,897494472
4,897494474
4,897494480
4,897494481
4,897494484
4,897494489
4,897497320
4,897649805
4,897649808
4,897649810
4,897649811
4,897649814
4,897649815
4,897768042
4,897768044
4,897768045
4,897768046
4,897768047
4,897771996
4,897771997
4,897787179
4,901118533
4,901118534
4,901119782
4,901119783
4,901120418
4,901120419
4,901121382
4,901121383
4,901128953
4,901285344
4,901285345
4,901328841
4,901328842
4,901328844
4,901328845
4,901328846
4,901328847
4,901328848
4,901330812
4,901330813
4,901330814
4,901330815
4,901330816
4,901330817
4,901330819
4,902016534
4,902016535
4,905955171
4,905968994
4,907445773
4,907445789
4,910634412
4,910635333
4,910635334
4,910635838
4,910635839
4,910635840
4,910635841
4,910635842
4,910635843
4,910635844
4,910635845
4,910640809
4,910641697
4,910641698
4,910641700
4,910642083
4,911745196
4,911745200
4,911746922
4,911746923
4,941289393
4,941289394
4,984181264
4,984181265
4,984324994
4,984324995
4,984324997
4,984396462
4,984396463
4,984422523
4,984422524
4,1115631554
4,1162444462
4,1162445446
4,1180483530
4,1187733637
4,1187733638
4,1187733639
4,1187733640
4,1187733641
4,1187733642
4,1187733643
4,1198051993
4,1198051994
4,1199546877
4,1202116325
4,1202116326
4,1202127650
4,1202127651
4,1202193846
4,1202206068
4,1202206069
4,1202209816
4,1202209817
4,1202254592
4,1202255120
4,1202255122
4,1202255123
4,1202255124
4,1202255125
4,1202388240
4,1202870573
4,1202884714
4,1202884715
4,1202884717
4,1205886756
4,1205886757
4,1206623718
4,1206623719
4,1206705162
4,1206705165
4,1206705166
4,1209923090
4,1209923091
4,1213278922
4,1213343194
4,1213343195
4,1213444833
4,1213449900
4,1213449901
4,1213870333
4,1213870334
4,1214573385
4,1214573388
4,1214589875
4,1214589880
4,1214589884
4,1214589885
4,1214635817
4,1214836355
4,1215031875
4,1215031876
4,1217296301
4,1217296302
4,1219941585
4,1219941586
4,1220022124
4,1220022135
4,1220022222
4,1220022224
4,1220022267
4,1220022578
4,1220022579
4,1220022614
4,1220022623
4,1220022624
4,1220022629
4,1220022630
4,1220022798
4,1220022799
4,1222969112
4,1227943168
4,1231962858
5,80217199
5,537266623
5,537266644
