,lat,lon
0,41.1612433,-8.5984699
1,41.1624527,-8.598209
2,41.1728573,-8.6127532
3,41.1901426,-8.6352465
4,41.1898972,-8.6401474
5,41.1934479,-8.6099807
6,41.0629849,-8.5697957
7,41.0633217,-8.5698859
8,41.0633793,-8.5700957
9,41.0652489,-8.5734615
10,41.0646428,-8.5706346
11,41.0655141,-8.5718901
12,41.1930688,-8.6113084
13,41.191566,-8.6113857
14,41.19142,-8.6085701
15,41.1935124,-8.6095771
16,41.18253,-8.6848857
17,41.1825463,-8.6849152
18,41.1830788,-8.4453517
19,41.1347168,-8.6322396
20,41.0630286,-8.5582585
21,41.0764961,-8.6296984
22,41.1480023,-8.6146932
23,41.1482418,-8.6687172
24,41.1692341,-8.5601501
25,41.1652246,-8.5886736
26,41.1569306,-8.6225976
27,41.1836265,-8.6914808
28,41.1816278,-8.688646
29,41.1802546,-8.6898021
30,41.115724,-8.6070393
31,41.1171703,-8.6080855
32,41.1160479,-8.6062574
33,41.1166051,-8.6078192
34,41.1263388,-8.6058586
35,41.1224818,-8.6053436
36,41.1269874,-8.6054134
37,41.1224813,-8.6054278
38,41.1907494,-8.6982696
39,41.1763255,-8.6902074
40,41.1802142,-8.6902527
41,41.1798264,-8.6283177
42,41.2053206,-8.5610126
43,41.2030273,-8.5714723
44,41.2054137,-8.5610506
45,41.206464,-8.56709
46,41.2410105,-8.5282978
47,41.1351634,-8.6080927
48,41.0387937,-8.5150619
49,41.2173299,-8.550341
50,41.2325064,-8.6233499
51,41.2262438,-8.6176453
52,41.216334,-8.5513061
53,41.2135508,-8.5493212
54,41.2171147,-8.5513222
55,41.1939666,-8.5785301
56,41.1942426,-8.5778964
57,41.174353,-8.6886222
58,41.1794988,-8.6901893
59,41.2338959,-8.6208172
60,41.164064,-8.6208177
61,41.2603578,-8.6159754
62,41.2604345,-8.6159756
63,41.2664766,-8.6115937
64,41.275625,-8.5738993
65,41.177098,-8.5997893
66,41.1612588,-8.5989704
67,41.0829458,-8.5996987
68,41.0789282,-8.6016717
69,41.1266117,-8.6058223
70,41.1289577,-8.6065209
71,41.1269947,-8.6109668
72,41.1252509,-8.6055728
73,41.1267532,-8.6057914
74,41.0986956,-8.6286796
75,41.0958778,-8.6313538
76,41.095997,-8.6311151
77,41.1288175,-8.6056826
78,41.1453727,-8.6033359
79,41.1469873,-8.6087543
80,41.1473236,-8.6088503
81,41.1456176,-8.6110623
82,41.1470831,-8.6109066
83,41.1475688,-8.6108087
84,41.1481728,-8.6134037
85,41.1670021,-8.5973995
86,41.1669314,-8.5989659
