,lat,lon
0,41.1616838,-8.6036937
1,41.1617461,-8.5984026
2,41.1827386,-8.5828421
3,41.1952494,-8.6108649
4,41.171145,-8.5882439
5,41.1590407,-8.5792089
6,41.1845003,-8.6823081
7,41.1345373,-8.6317709
8,41.0765197,-8.6297161
9,41.1102153,-8.635485
10,41.1827535,-8.5970486
11,41.067126,-8.5016209
12,41.1852691,-8.6932487
13,41.2046211,-8.5696266
14,41.2410549,-8.5290059
15,41.2335299,-8.6191303
16,41.2236561,-8.6833593
17,41.2151233,-8.5500723
18,41.1527319,-8.6770856
19,41.1827629,-8.6136387
20,41.1666678,-8.626272
21,41.0370635,-8.6452782
22,41.2674931,-8.610701
23,41.0789948,-8.6018982
24,41.1485769,-8.5978226
25,41.0988915,-8.6283256
26,41.1878752,-8.6516637
27,41.1423195,-8.6155695
28,41.1585546,-8.627973
29,41.1411564,-8.5569221
30,41.2559652,-8.6507707
31,41.1509462,-8.6288192
32,41.1725398,-8.6550074
33,41.2587246,-8.6414181
34,41.2155076,-8.5905641
35,41.1046652,-8.573538
36,41.1562494,-8.6300465
37,41.1932881,-8.6972043
38,41.0975186,-8.6179886
39,41.1709706,-8.6711077
40,41.1623809,-8.6657548
41,41.1761791,-8.5572195
42,41.1864256,-8.5401672
43,41.2525807,-8.58338
44,41.1836877,-8.5995103
45,41.1574134,-8.5783351
46,41.1683776,-8.6475292
