linkid,Average_Daily_SeniorPopulation_Travelling,distance_to_city_center,new_loc,avg_elevation,range_elevation
80248689,303.620329,14726.0,"[(41.12871, -8.43735), (41.12875, -8.43754), (41.12878, -8.43777)]",121.5,5.0
80248701,303.620329,14433.0,"[(41.12231, -8.44292), (41.122159999999994, -8.442750000000002), (41.121959999999994, -8.442620000000002), (41.12179999999999, -8.442480000000003), (41.12171999999999, -8.442280000000004), (41.12173999999999, -8.442050000000004), (41.12181999999999, -8.441890000000003), (41.12197999999999, -8.441700000000003), (41.12214999999999, -8.441470000000002), (41.122249999999994, -8.441310000000003), (41.12237999999999, -8.441040000000003), (41.122499999999995, -8.440810000000003), (41.122679999999995, -8.440520000000003), (41.123079999999995, -8.439970000000002), (41.123169999999995, -8.439830000000002)]",62.952380952380956,13.0
80248703,303.620329,14374.0,"[(41.12624, -8.4426), (41.1263, -8.44238), (41.12644, -8.44216), (41.12655, -8.44199), (41.12661000000001, -8.44176), (41.126760000000004, -8.440900000000001), (41.126810000000006, -8.440710000000001), (41.126920000000005, -8.440520000000001), (41.127050000000004, -8.440410000000002), (41.127190000000006, -8.440350000000002), (41.12747, -8.440290000000003), (41.12783, -8.440230000000003), (41.12803, -8.440130000000003), (41.128150000000005, -8.439950000000003), (41.12821, -8.439790000000004), (41.128280000000004, -8.439540000000004), (41.12848, -8.438900000000004), (41.12868, -8.438270000000005), (41.12876, -8.437980000000005), (41.12878, -8.437770000000006)]",123.10344827586206,30.0
80253277,1821.721973,5991.0,"[(41.09861, -8.58396), (41.09877, -8.58371), (41.09894, -8.58346), (41.099289999999996, -8.582980000000001), (41.099639999999994, -8.582490000000002), (41.099779999999996, -8.582310000000001), (41.09994, -8.58214), (41.100139999999996, -8.581940000000001), (41.10028, -8.581780000000002), (41.10041, -8.581590000000002), (41.1005, -8.581430000000003), (41.10057, -8.581250000000004), (41.10056, -8.580930000000006), (41.10053, -8.580730000000006), (41.10051, -8.580540000000006), (41.10052, -8.580280000000007), (41.10056, -8.580050000000007), (41.100680000000004, -8.579470000000008), (41.10072, -8.579250000000007), (41.1008, -8.579010000000007), (41.10091, -8.578830000000007), (41.10114, -8.578500000000007)]",160.14285714285714,32.0
537289567,664.650224,4450.0,"[(41.16796, -8.65834), (41.16897, -8.657490000000001), (41.169760000000004, -8.656820000000002)]",67.0,14.0
537297135,664.650224,11856.0,"[(41.23847, -8.53265), (41.238659999999996, -8.53253), (41.2388, -8.532449999999999), (41.23899, -8.53241), (41.23905, -8.53241)]",105.88888888888887,2.0
537297148,664.650224,11921.0,"[(41.23905, -8.53241), (41.23948, -8.532290000000001), (41.24009, -8.532130000000002), (41.240300000000005, -8.532030000000002)]",108.0,6.0
537297210,1163.137892,11788.0,"[(41.23831, -8.53334), (41.2384, -8.533460000000002), (41.238499999999995, -8.533640000000002), (41.23862999999999, -8.533870000000002), (41.23875999999999, -8.533930000000002), (41.238879999999995, -8.53409), (41.23893999999999, -8.534260000000002), (41.23893999999999, -8.534440000000002), (41.23892999999999, -8.534490000000002), (41.238829999999986, -8.534710000000002), (41.23881999999998, -8.534840000000003)]",113.33333333333331,11.0
537297465,110.77503700000001,8912.0,"[(41.22127, -8.56316), (41.22127, -8.56301), (41.22132, -8.56294)]",75.66666666666667,1.0
537325890,664.650224,4039.0,"[(41.162, -8.56574), (41.16218, -8.56556)]",66.0,0.0
537325892,332.325112,4060.0,"[(41.16218, -8.56556), (41.16228, -8.5655), (41.16241, -8.56537), (41.162569999999995, -8.56517), (41.162659999999995, -8.56509)]",64.16666666666667,6.0
537326081,664.650224,5237.0,"[(41.14805, -8.54863), (41.148149999999994, -8.548369999999998), (41.148199999999996, -8.548279999999998)]",58.0,0.0
537326091,332.325112,5272.0,"[(41.14776, -8.54799), (41.14785, -8.54815), (41.14792, -8.548219999999999)]",59.5,1.0
