,linkid,Region_of_Origin,District_of_Origin,County_of_Origin,Average_Daily_SeniorPopulation_Travelling,key_bus_road,distance_bus_road,key_cascais,distance_cascais,key_metro,distance_metro,key_train,distance_train,key_oeiras,distance_oeiras,linkid_county
0,80216810,R1 - AM Lisboa,Setúbal,Palmela,7688.296396,80216810,0.0,84,17.73333511039765,Olaias,0.026675050742123386,rossio,3.1939982310400508,1032,8.001439279813356,Lisboa
1,80216810,R1 - AM Lisboa,Lisboa,Oeiras,220.647248,80216810,0.0,84,17.73333511039765,Olaias,0.026675050742123386,rossio,3.1939982310400508,1032,8.001439279813356,Lisboa
2,80216810,R1 - AM Lisboa,Lisboa,Vila Franca de Xira,233.203075,80216810,0.0,84,17.73333511039765,Olaias,0.026675050742123386,rossio,3.1939982310400508,1032,8.001439279813356,Lisboa
3,80216812,R1 - AM Lisboa,Lisboa,Lisboa,261.606014,80216812,0.0,84,17.192477864796615,Intendente,0.6485883348947917,rossio,1.3492532083081736,1032,7.462906130388315,Lisboa
4,80216824,R1 - AM Lisboa,Lisboa,Oeiras,136.035127,80216824,1.4146481319698977e-12,84,20.353752190426047,Cabo Ruivo,1.4927584202976445,sacavem,4.8863641675150165,1032,10.686563176503046,Lisboa
5,80216828,R1 - AM Lisboa,Lisboa,Vila Franca de Xira,346.73139,765322528,0.03320923843856065,84,12.709983056572325,Alto dos Moinhos,0.6580994210673924,benfica,1.3407086459010429,951,3.44272122071154,Lisboa
6,80216829,R1 - AM Lisboa,Lisboa,Sintra,181.380169,765322528,0.0715411824052871,84,12.74197502502493,Alto dos Moinhos,0.6178136323071162,benfica,1.3674915308457831,951,3.4810824397984264,Lisboa
7,80216835,R1 - AM Lisboa,Lisboa,Oeiras,185.21976,537277435,0.07954215034116305,84,14.312488955152945,Rato,0.7222228322126335,santos,1.2036101454905757,1032,4.678007714674897,Lisboa
8,80216835,R1 - AM Lisboa,Lisboa,Lisboa,1138.843337,537277435,0.07954215034116305,84,14.312488955152945,Rato,0.7222228322126335,santos,1.2036101454905757,1032,4.678007714674897,Lisboa
9,80216926,R1 - AM Lisboa,Setúbal,Seixal,96.024796,1212948168,0.06648243570644607,84,13.833995467543087,Jardim Zoológico,0.13540033434551604,benfica,2.620846286664035,1032,4.25298727481091,Lisboa
10,80216926,R1 - AM Lisboa,Lisboa,Vila Franca de Xira,128.419033,1212948168,0.06648243570644607,84,13.833995467543087,Jardim Zoológico,0.13540033434551604,benfica,2.620846286664035,1032,4.25298727481091,Lisboa
11,80217199,R1 - AM Lisboa,Lisboa,Lisboa,7224.213685,80217199,0.0,84,12.296858807415376,Colégio Militar,0.6457542642180241,benfica,0.9034558415322232,951,3.2157353059969074,Lisboa
12,80217199,R1 - AM Lisboa,Lisboa,Vila Franca de Xira,1742.842568,80217199,0.0,84,12.296858807415376,Colégio Militar,0.6457542642180241,benfica,0.9034558415322232,951,3.2157353059969074,Lisboa
13,80217199,R1 - AM Lisboa,Setúbal,Almada,22.383268,80217199,0.0,84,12.296858807415376,Colégio Militar,0.6457542642180241,benfica,0.9034558415322232,951,3.2157353059969074,Lisboa
14,80217199,R1 - AM Lisboa,Setúbal,Seixal,163.242152,80217199,0.0,84,12.296858807415376,Colégio Militar,0.6457542642180241,benfica,0.9034558415322232,951,3.2157353059969074,Lisboa
16,80218773,R1 - AM Lisboa,Lisboa,Oeiras,136.035127,80218773,1.3785885896543117e-13,84,20.899091756346614,Moscavide,0.4946426339689863,sacavem,2.2516654828163074,1032,11.600281320017658,Lisboa
22,80228605,R1 - AM Lisboa,Lisboa,Sintra,2057.399477,80228605,1.3793072576996897e-13,84,15.247419974432221,São Sebastião,0.4346534334507083,rossio,2.824792994761625,1032,5.54264779644828,Lisboa
23,80228605,R1 - AM Lisboa,Lisboa,Lisboa,6952.771521,80228605,1.3793072576996897e-13,84,15.247419974432221,São Sebastião,0.4346534334507083,rossio,2.824792994761625,1032,5.54264779644828,Lisboa
