linkid,api_county,api_city,api_district
575143936,Porto,Matosinhos,Matosinhos
575143938,Porto,Matosinhos,Matosinhos
575143939,Porto,Matosinhos,Matosinhos
575143940,Porto,Matosinhos,Matosinhos
576716805,Porto,Maia,Maia
575143942,Porto,Matosinhos,Matosinhos
575143943,Porto,Matosinhos,Matosinhos
575143948,Porto,Matosinhos,Matosinhos
576716818,Porto,Maia,Maia
575143957,Porto,Matosinhos,Matosinhos
575143958,Porto,Matosinhos,Matosinhos
576716823,Porto,Maia,Maia
576716824,Porto,Maia,Maia
1198784537,Porto,Vila Nova de Gaia,Vila Nova de Gaia
575143962,Porto,Matosinhos,Matosinhos
575143959,Porto,Matosinhos,Matosinhos
575143966,Porto,Matosinhos,Matosinhos
576716834,Porto,Maia,Maia
575143972,Porto,Matosinhos,Matosinhos
576716843,Porto,Maia,Maia
575143980,Porto,Matosinhos,Matosinhos
576716855,Porto,Maia,Maia
575143994,Porto,Matosinhos,Matosinhos
576716858,Porto,Maia,Maia
723517498,Porto,Valongo,Valongo
576716861,Porto,Maia,Maia
576716860,Porto,Maia,Maia
576716863,Porto,Maia,Maia
913309761,Lisboa,Amadora,Amadora
913309762,Lisboa,Amadora,Amadora
576716867,Porto,Maia,Maia
576716868,Porto,Maia,Maia
913309764,Lisboa,Amadora,Amadora
913309766,Lisboa,Amadora,Amadora
1232076868,Lisboa,Lisboa,Lisboa
913309768,Lisboa,Amadora,Amadora
913309769,Lisboa,Amadora,Amadora
913309770,Lisboa,Amadora,Amadora
913309771,Lisboa,Amadora,Amadora
913309772,Lisboa,Amadora,Amadora
1232076869,Lisboa,Lisboa,Lisboa
575144010,Porto,Matosinhos,Matosinhos
575144011,Porto,Porto,Porto
576716876,Porto,Maia,Maia
907804753,Porto,Vila Nova de Gaia,Vila Nova de Gaia
907804754,Porto,Vila Nova de Gaia,Vila Nova de Gaia
835977301,Aveiro,Santa Maria da Feira,Santa Maria da Feira
835977302,Aveiro,Santa Maria da Feira,Santa Maria da Feira
576716888,Porto,Maia,Maia
1201930328,Lisboa,Lisboa,Lisboa
1201930329,Lisboa,Lisboa,Lisboa
575144027,Porto,Matosinhos,Matosinhos
575144029,Porto,Matosinhos,Matosinhos
575144030,Porto,Matosinhos,Matosinhos
576716893,Porto,Maia,Maia
576716895,Porto,Maia,Maia
576716894,Porto,Maia,Maia
575144032,Porto,Matosinhos,Matosinhos
576716896,Porto,Maia,Maia
576716900,Porto,Maia,Maia
576716905,Porto,Maia,Maia
916193387,Setúbal,Almada,Almada
916193388,Setúbal,Almada,Almada
916193389,Setúbal,Almada,Almada
916193390,Setúbal,Almada,Almada
1196163183,Lisboa,Lisboa,Lisboa
575144046,Porto,Matosinhos,Matosinhos
855375985,Lisboa,Odivelas,Odivelas
855375986,Lisboa,Odivelas,Odivelas
576716913,Porto,Maia,Maia
576716919,Porto,Maia,Maia
575144060,Porto,Matosinhos,Matosinhos
575144063,Porto,Matosinhos,Matosinhos
576716927,Porto,Maia,Maia
576716928,Porto,Maia,Maia
576716930,Porto,Maia,Maia
576716931,Porto,Maia,Maia
575144070,Porto,Matosinhos,Matosinhos
575144071,Porto,Matosinhos,Matosinhos
576716937,Porto,Maia,Maia
575144078,Porto,Matosinhos,Matosinhos
576716943,Porto,Vila do Conde,Vila do Conde
576716944,Porto,Maia,Maia
575144083,Porto,Matosinhos,Matosinhos
576716947,Porto,Maia,Maia
576716952,Porto,Maia,Maia
576716953,Porto,Maia,Maia
575144090,Porto,Matosinhos,Matosinhos
575144091,Porto,Matosinhos,Matosinhos
575144092,Porto,Matosinhos,Matosinhos
1007419549,Lisboa,Loures,Loures
1007419550,Lisboa,Loures,Loures
743964831,Porto,Porto,Porto
576716960,Porto,Maia,Maia
576716961,Porto,Maia,Maia
576716962,Porto,Maia,Maia
1212940448,Lisboa,Lisboa,Lisboa
1212940449,Lisboa,Lisboa,Lisboa
576716965,Porto,Maia,Maia
575144094,Porto,Matosinhos,Matosinhos
576716967,Porto,Maia,Maia
575144104,Porto,Matosinhos,Matosinhos
575144096,Porto,Matosinhos,Matosinhos
575144097,Porto,Matosinhos,Matosinhos
576716976,Porto,Maia,Maia
743964850,Lisboa,Lisboa,Lisboa
575144121,Porto,Matosinhos,Matosinhos
575144122,Porto,Matosinhos,Matosinhos
576716990,Porto,Maia,Maia
576716995,Porto,Maia,Maia
575144131,Porto,Matosinhos,Matosinhos
576716998,Porto,Maia,Maia
575144135,Porto,Matosinhos,Matosinhos
576717000,Porto,Maia,Maia
575144139,Porto,Matosinhos,Matosinhos
576717003,Porto,Maia,Maia
576717004,Porto,Maia,Maia
575144145,Porto,Matosinhos,Matosinhos
575144150,Porto,Matosinhos,Matosinhos
575144160,Porto,Matosinhos,Matosinhos
576717027,Porto,Maia,Maia
813433059,Setúbal,Setúbal,Setúbal
813433060,Setúbal,Setúbal,Setúbal
813433061,Setúbal,Setúbal,Setúbal
575144174,Porto,Matosinhos,Matosinhos
575144175,Porto,Matosinhos,Matosinhos
932708599,Porto,Gondomar,Gondomar
575144186,Porto,Matosinhos,Matosinhos
576717050,Porto,Maia,Maia
576717051,Porto,Maia,Maia
576717057,Porto,Maia,Maia
576717059,Porto,Maia,Maia
576717060,Porto,Maia,Maia
576717061,Porto,Maia,Maia
576717062,Porto,Maia,Maia
576717063,Porto,Maia,Maia
576717064,Porto,Maia,Maia
575144201,Porto,Matosinhos,Matosinhos
576717065,Porto,Maia,Maia
575144203,Porto,Matosinhos,Matosinhos
