station_name,latitude,longitude,description
Chelas,38.7549445533084,-9.11391723740532,Linha Vermelha
Alvalade,38.7531285992408,-9.14401263737641,Linha Verde
Intendente,38.7230823966241,-9.13523921600122,Linha Verde
Alto dos Moinhos,38.7498812634593,-9.18001577188089,Linha Azul
São Sebastião,38.7343309951123,-9.15385312166352,Linha Azul; Linha Vermelha
Restauradores,38.7157559240403,-9.14201189879583,Linha Azul
Martim Moniz,38.7174124048768,-9.13588206928316,Linha Verde
Praça de Espanha,38.7376847455753,-9.15933173907052,Linha Azul
Cabo Ruivo,38.7629321504256,-9.10513419058189,Linha Vermelha
Colégio Militar,38.7532005829673,-9.18927301868156,Linha Azul
Campo Pequeno,38.7407804662788,-9.14664781561795,Linha Amarela
Olivais,38.7608901884673,-9.11181636092509,Linha Vermelha
Parque,38.7294785733962,-9.15078654906632,Linha Azul
Baixa-Chiado,38.7105109024855,-9.14023897746289,Linha Verde / Linha Azul
Rato,38.7201001145348,-9.15479163475995,Linha Amarela
Ameixoeira,38.7795719226158,-9.15958938577547,Linha Amarela
Entrecampos,38.746810948503,-9.14817403711601,Linha Amarela
Rossio,38.7140175952169,-9.13811167703858,Linha Verde
Arroios,38.7326955674285,-9.13430953424232,Linha Verde
Marquês de Pombal,38.7245582934613,-9.14952295722811,Linha Amarela / Linha Azul
Olaias,38.7396726627463,-9.12382138439832,Linha Vermelha
Avenida,38.7194083036329,-9.14513450919877,Linha Azul
Quinta das Conchas,38.7673684605358,-9.15555892986158,Linha Amarela
Anjos,38.7270577774147,-9.13483062358246,Linha Verde
Telheiras,38.7599590497268,-9.16644828258285,Linha Verde
Bela Vista,38.7475646343437,-9.11760935095229,Linha Vermelha
Jardim Zoológico,38.7417733264907,-9.1686745378256,Linha Azul
Saldanha,38.7348912277587,-9.14527928797817,Linha Amarela / Linha Vermelha
Campo Grande,38.7601721970066,-9.15787081521218,Linha Amarela / Linha Verde
Terreiro do Paço,38.7070176344074,-9.13443704740198,Linha Azul
Santa Apolónia,38.7138246261135,-9.12229125522879,Linha Azul
Moscavide,38.7749093040881,-9.10291585039507,
Encarnação,38.7750855004156,-9.11539280020956,
Lumiar,38.7732344542826,-9.15939314880167,Linha Amarela
Oriente,38.7678561232975,-9.09963710111767,Linha Vermelha
Aeroporto,38.7684811006271,-9.1282870004055,
Picoas,38.730388310721,-9.14686550885233,"Linha Amarela. Umas das entradas para a Rua Andrade Corvo é designada por ""Acesso Guimard"". Trata-se de uma peça de mobiliário urbano Arte Nova e deve o nome ao seu autor, Hector Guimard, grande vulto da Arte Nova, que no início do séc. XX, 1900, criou um conjunto de acessos para ornamentar as entradas do Metropolitano de Paris. No âmbito de um programa de intercâmbio cultural entre redes de metropolitano, esta peça foi oferecida pelo Metropolitano de Paris (RATP) ao Metropolitano de Lisboa, encontrando-se instalada no átrio Sul da estação de metro das Picoas, que dá acesso à Rua Andrade Corvo."
Laranjeiras,38.7486838780651,-9.17268513648015,Linha Azul
Carnide,38.7591735411034,-9.19265468794108,Linha Azul
Cidade Universitária,38.75144635994,-9.15911912401247,Linha Amarela
Roma,38.7480585031517,-9.14126962177487,Linha Verde
Areeiro,38.7424493431537,-9.13351579363707,Linha Verde
Cais do Sodré,38.7060565524877,-9.14658325549512,Linha Verde
Alameda,38.7372988092368,-9.13274740977733,Linha vermelha / Linha Verde
