X,Y,gid,Estado de Conservação,Tipo de Abrigo,Abrigo com Publicidade?,Tem Bolsa?,Operadora,Carreira,Código de Rua,Nome da Rua,Freguesia,Observações,Data da Observação
-9.28148703163653,38.7081267299578,298,Bom,Aberto dos Lados,Não,Não,LT,158,890,Rua Fernando Vaz,"Oeiras e São Julião da Barra, Paço de Arcos e Caxias",n/a,2012/07
-9.28166604469389,38.7084007905094,297,Bom,Aberto dos Lados,Não,Não,LT,158,890,Rua Fernando Vaz,"Oeiras e São Julião da Barra, Paço de Arcos e Caxias",n/a,2012/07
-9.23486221722999,38.7143479704522,18,Bom,Fechado dos Lados,Não,Não,Vimeca,11,443,Rua Doutor Agostinho de Campos,"Algés, Linda-a-Velha e Cruz Quebrada-Dafundo",n/a,2012/07
-9.2692316250577,38.7382258345448,733,Bom,Sem Abrigo,Não,Não,LT,"101,102,171",993,Rua do Trabalho,Barcarena,n/a,2012/07
-9.2692316250577,38.7382258345448,149,Bom,Sem Abrigo,Não,Não,Vimeca,12,993,Rua do Trabalho,Barcarena,n/a,2012/07
-9.26924275826137,38.7382969777886,148,Bom,Sem Abrigo,Não,Não,LT,"101,171",993,Rua do Trabalho,Barcarena,n/a,2012/07
-9.31920569878768,38.6809884418723,587,Razoável,Fechado dos Lados,Sim,Não,SCoTTURB,471,491,Rua de Aljubarrota,"Oeiras e São Julião da Barra, Paço de Arcos e Caxias",n/a,2012/07
-9.32415849912691,38.6919004289457,927,Bom,Sem Abrigo,Não,Não,SCoTTURB,"470,485,489",550,Alameda Conde de Oeiras,"Oeiras e São Julião da Barra, Paço de Arcos e Caxias",n/a,2012/07
-9.32354434079236,38.6908369109995,515,Bom,Sem Abrigo,Não,Não,SCoTTURB,"470,485,489",550,Alameda Conde de Oeiras,"Oeiras e São Julião da Barra, Paço de Arcos e Caxias",n/a,2012/07
-9.31096360870795,38.6948372215041,920,Bom,Fechado dos Lados,Sim,Não,LT,111,551,Avenida Copacabana,"Oeiras e São Julião da Barra, Paço de Arcos e Caxias",n/a,2012/07
-9.31045788148657,38.6937372371975,517,Bom,Fechado dos Lados,Sim,Não,LT,111,551,Avenida Copacabana,"Oeiras e São Julião da Barra, Paço de Arcos e Caxias",n/a,2012/07
-9.23168408791049,38.7149002413122,13,Bom,Fechado dos Lados,Sim,Não,Carris,"201,748,751",124,Avenida José Gomes Ferreira,"Algés, Linda-a-Velha e Cruz Quebrada-Dafundo",n/a,2012/07
-9.23137041799585,38.7149664232968,23,Bom,Sem Abrigo,Não,Não,Carris,"201,748,751",124,Avenida José Gomes Ferreira,"Algés, Linda-a-Velha e Cruz Quebrada-Dafundo",n/a,2012/07
-9.23137041799585,38.7149664232968,646,Bom,Sem Abrigo,Não,Não,Vimeca,10,124,Avenida José Gomes Ferreira,"Algés, Linda-a-Velha e Cruz Quebrada-Dafundo",n/a,2012/07
-9.23168408791049,38.7149002413122,642,Bom,Fechado dos Lados,Sim,Não,Vimeca,10,124,Avenida José Gomes Ferreira,"Algés, Linda-a-Velha e Cruz Quebrada-Dafundo",n/a,2012/07
-9.31405771723418,38.6917139033131,918,Bom,Fechado dos Lados,Sim,Não,SCoTTURB,471,559,Rua Desembargador Faria,"Oeiras e São Julião da Barra, Paço de Arcos e Caxias",n/a,2012/07
-9.31405771723418,38.6917139033131,917,Razoável,Fechado dos Lados,Sim,Não,COMBUS,n/a,559,Rua Desembargador Faria,"Oeiras e São Julião da Barra, Paço de Arcos e Caxias",n/a,2012/07
-9.31405771723418,38.6917139033131,501,Bom,Fechado dos Lados,Sim,Não,LT,"106,111,112,115,122",559,Rua Desembargador Faria,"Oeiras e São Julião da Barra, Paço de Arcos e Caxias",n/a,2012/07
-9.27633355094108,38.7265108911612,787,Bom,Sem Abrigo,Não,Não,LT,117,201,Estrada do Cacém,Barcarena,n/a,2012/07
-9.2807138307572,38.7333897255632,770,Bom,Fechado dos Lados,Sim,Não,LT,"117,171",201,Estrada do Cacém,Barcarena,n/a,2012/07
-9.27526899398754,38.7225193182123,218,Bom,Sem Abrigo,Não,Não,LT,117,201,Estrada do Cacém,Barcarena,n/a,2012/07
-9.2753456771001,38.7226485513706,217,Bom,Sem Abrigo,Não,Não,LT,117,201,Estrada do Cacém,Barcarena,n/a,2012/07
-9.27643326136795,38.720602519761,216,Bom,Sem Abrigo,Não,Não,LT,117,201,Estrada do Cacém,Barcarena,n/a,2012/07
