County_of_Origin,linkid_county,linkid,Average_Daily_SeniorPopulation_Travelling
Maia,Vila do Conde,139454895864,127834.39309699998
Oeiras,Vila do Conde,97189921712,11557.054136000015
Seixal,Vila do Conde,27835616082,8774.265709999998
Barreiro,Vila do Conde,12318839977,3498.046124999999
Odivelas,Vila do Conde,12161381275,2744.9568470000004
Gondomar,Vila do Conde,3635062104,553.8751850000001
Vila Franca de Xira,Vila do Conde,2911337467,370.439519
Sintra,Vila do Conde,2160970160,82.645911
Porto,Vila Nova de Gaia,290106660467,456078.17493499944
Maia,Vila Nova de Gaia,236722518602,145115.29892100018
Gondomar,Vila Nova de Gaia,175948920540,129724.74032999999
Lisboa,Vila Nova de Gaia,90977792411,48827.077251000104
Vila Franca de Xira,Vila Nova de Gaia,117802847072,25612.717601000048
Cascais,Vila Nova de Gaia,62091275939,25310.307064000033
Barreiro,Vila Nova de Gaia,60027174682,16459.450189000003
Oeiras,Vila Nova de Gaia,54188885742,5934.400953000001
Seixal,Vila Nova de Gaia,12834571425,3824.530431999998
Odivelas,Vila Nova de Gaia,22420233748,3467.3139040000005
Mafra,Vila Nova de Gaia,34262620076,3302.203719999998
Palmela,Vila Nova de Gaia,1999214603,2448.632286
Sintra,Vila Nova de Gaia,1094009231,210.140236
Maia,Vila Nova de Famalicão,591158321,664.650224
Lisboa,Vila Nova de Famalicão,916968746,144.47141299999998
Oeiras,Vila Nova de Famalicão,1624844762,107.29316200000001
Vila Franca de Xira,Vila Franca de Xira,2053746712808,3653816.794409988
Lisboa,Vila Franca de Xira,131033788746,71800.11357300008
Barreiro,Vila Franca de Xira,106357325216,62669.43966200002
Oeiras,Vila Franca de Xira,180923965817,48754.09373300001
Cascais,Vila Franca de Xira,40659894521,43160.059104999964
Mafra,Vila Franca de Xira,172729145000,35535.50296600003
Palmela,Vila Franca de Xira,27424172117,35097.062769
Sintra,Vila Franca de Xira,96963084118,24112.152426999968
Porto,Vila Franca de Xira,17379757161,20038.941713999997
Seixal,Vila Franca de Xira,46692573514,11653.675876000007
Loures,Vila Franca de Xira,40818302615,10729.493239000001
Odivelas,Vila Franca de Xira,28080555777,5021.184202000002
Amadora,Vila Franca de Xira,14629214467,4188.295045999999
Sesimbra,Vila Franca de Xira,2348535557,1038.813699
Maia,Valongo,306070714507,318644.3949409995
Porto,Valongo,107968552239,61106.84305299993
Gondomar,Valongo,85316873858,27660.52682899995
Matosinhos,Valongo,14519956221,17945.556048
Lisboa,Valongo,14934548240,1657.4522519999994
Cascais,Valongo,9338777281,1632.4215240000003
Oeiras,Valongo,8420414691,421.175675
Seixal,Valongo,1756488916,326.484304
Vila Franca de Xira,Vale de Cambra,176141251776,95325.90713600004
Oeiras,Vale de Cambra,48102921306,17961.18634299999
Matosinhos,Vale de Cambra,16531346515,16616.25560000001
Lisboa,Vale de Cambra,3577970434,722.3570649999999
Palmela,Vale de Cambra,80261204,96.024796
Porto,Trofa,66375962321,38256.161455999994
Maia,Trofa,51778901098,36799.467406000025
Sintra,Trofa,5345055592,2285.390135
Seixal,Trofa,7573049336,1632.4215279999999
Oeiras,Trofa,15843266758,878.1098249999999
Lisboa,Trofa,2900521968,722.3570649999999
Mafra,Trofa,1175101631,192.62855
Lisboa,Torres Vedras,1637043038,1359.0556980000001
Maia,Torres Vedras,1090063735,664.650224
Barreiro,Torres Vedras,546979303,420.472211
Oeiras,Torres Vedras,546979303,278.379143
Mafra,Torres Vedras,1090063735,115.57713000000001
Odivelas,Torres Vedras,546979303,115.57713000000001
Vila Franca de Xira,São João da Madeira,62699124243,15912.494179999998
Sintra,São João da Madeira,956850874,55.097275
Vila Franca de Xira,Sobral de Monte Agraço,1424419366,925.8181620000001
Mafra,Sobral de Monte Agraço,3219413591,441.294496
Lisboa,Sobral de Monte Agraço,877442005,432.35970499999996
Oeiras,Sobral de Monte Agraço,1977671856,317.24632199999996
Setúbal,Sobral de Monte Agraço,877442005,272.070254
Sintra,Sobral de Monte Agraço,877442005,210.97412599999998
Seixal,Sobral de Monte Agraço,877442005,136.035127
Odivelas,Sobral de Monte Agraço,877442005,115.57713000000001
Sintra,Sintra,3412284383262,3695020.766212968
Vila Franca de Xira,Sintra,980049135680,256707.4027860013
Oeiras,Sintra,1214515595220,253670.51418899972
Cascais,Sintra,510339422672,211406.49175499933
Odivelas,Sintra,437025780049,161296.74986299998
Lisboa,Sintra,319822951166,113945.4793670001
Amadora,Sintra,354533068238,82865.0785980002
Barreiro,Sintra,362155435256,81777.48900800009
Mafra,Sintra,242742888473,54175.05100800003
Santa Maria da Feira,Sintra,60429137953,21632.948455000005
Maia,Sintra,22711269630,20770.319500000016
Palmela,Sintra,38328148287,13739.547827000008
Porto,Sintra,38606418144,11077.503746999992
Loures,Sintra,21707882589,4237.828095000002
Montijo,Sintra,22929819103,3595.7329250000025
Seixal,Sintra,5360835554,1038.813699
Setúbal,Setúbal,720708987712,647460.975161003
Palmela,Setúbal,266197224979,194022.9402119999
Porto,Setúbal,66447896650,112035.90137099994
Sintra,Setúbal,144303463543,39729.12921299996
Barreiro,Setúbal,126040585010,37506.827858999975
Oeiras,Setúbal,217904848436,31294.474621999918
Lisboa,Setúbal,56630161571,18459.40429500001
Vila Franca de Xira,Setúbal,126964454269,17486.92455999999
Seixal,Setúbal,60981523754,14362.265242000018
Cascais,Setúbal,80268038418,14108.785987000036
Montijo,Setúbal,19927380448,6301.7054229999985
Odivelas,Setúbal,10785667233,1466.9405000000002
Almada,Setúbal,19106672376,620.7626360000003
Sesimbra,Sesimbra,420521394758,435470.30933000095
Loures,Sesimbra,158800690248,34441.98474000003
Barreiro,Sesimbra,88055249710,34280.85200399994
Maia,Sesimbra,41599259684,33897.16142400003
Lisboa,Sesimbra,123843729622,26945.586246999956
Seixal,Sesimbra,65765241686,23929.81554399998
Odivelas,Sesimbra,87593379232,20212.238575
Montijo,Sesimbra,98955164326,14331.564119999975
Almada,Sesimbra,176533126982,10384.852948999993
Sintra,Sesimbra,120274246069,8054.077567000012
Mafra,Sesimbra,33177094207,6159.880023000005
Oeiras,Sesimbra,16574038568,5104.213180000001
Palmela,Sesimbra,6562308639,2798.4368999999997
Setúbal,Sesimbra,6774470615,1668.2989200000002
