OBJECTID,ACTIVETRANSPORTID,STATUS,CATEGORY,SUBCATEGORY,FEATURE_TYPE,SURFACE_MATERIAL,ROUTE_NAME_1,ROUTE_NAME_2,ROUTE_NAME_PROPOSED,WIDTH_M,GRADE,RAILING,CURBCUT,STREET,ROADSEGMENTID,ROADSEGMENT_SIDE,WARD,OWNERSHIP,MAINTAINED_BY,INSTALLATION_YEAR,LAST_INSPECTION_YEAR,SURFACE_CONDITION,WAYFINDING,WINTER_MAINTAINED_BY,SIDEWALKER_PROGRAM,UPGRADE_YEAR,FACILITY_TYPE,Shape__Length
21282,306976,ACTIVE,SIDEWALKS AND WALKWAYS,SIDEWALK,SURFACE,CONCRETE,,,,1.5,UNKNOWN,N,N,CARLYLE DR,21781,RIGHT,4,KITCHENER,UNKNOWN,1976,2020,UNKNOWN,X,,Y,,NA,18.6581744549826
21288,306987,ACTIVE,SIDEWALKS AND WALKWAYS,SIDEWALK,SURFACE,CONCRETE,,,,1.5,UNKNOWN,N,N,WINDY RIDGE DR,21791,LEFT,4,KITCHENER,UNKNOWN,1976,2020,UNKNOWN,X,,Y,,NA,4.58557002178713
21323,306110,ACTIVE,SIDEWALKS AND WALKWAYS,SIDEWALK,SURFACE,CONCRETE,,,,1.5,UNKNOWN,N,N,LAURENTIAN DR,6527,LEFT,6,KITCHENER,UNKNOWN,1968,2020,UNKNOWN,X,,Y,,NA,38.7596061323632
21324,306112,ACTIVE,SIDEWALKS AND WALKWAYS,SIDEWALK,SURFACE,CONCRETE,,,,1.5,UNKNOWN,N,N,LAURENTIAN DR,6527,RIGHT,6,KITCHENER,UNKNOWN,1968,2020,UNKNOWN,X,,Y,,NA,36.1333904663858
21395,386009,ACTIVE,SIDEWALKS AND WALKWAYS,SIDEWALK,SURFACE,CONCRETE,,,,1.5,UNKNOWN,Y,N,DOON VILLAGE RD,22076,RIGHT,4,KITCHENER,UNKNOWN,,2020,UNKNOWN,X,,Y,,NA,14.4744664249397
21396,386010,ACTIVE,SIDEWALKS AND WALKWAYS,SIDEWALK,SURFACE,CONCRETE,,,,1.5,UNKNOWN,Y,N,DOON VILLAGE RD,22076,RIGHT,4,KITCHENER,UNKNOWN,,2020,UNKNOWN,X,,Y,,NA,18.4797981367216
21398,386241,ACTIVE,SIDEWALKS AND WALKWAYS,SIDEWALK,BRIDGE,CONCRETE,,,,1.5,UNKNOWN,Y,N,DOON VILLAGE RD,22076,RIGHT,4,KITCHENER,UNKNOWN,,2020,UNKNOWN,X,,Y,,NA,20.4571805678178
21399,11255,ACTIVE,SIDEWALKS AND WALKWAYS,WALKWAY,SURFACE,CONCRETE,,,,1.5,UNKNOWN,N,N,BUSH CLOVER CRES,40050,LEFT,5,UNKNOWN,UNKNOWN,1999,2020,UNKNOWN,X,PARKS AND CEMETERIES,Y,,NA,46.7403798116953
21413,207646,ACTIVE,SIDEWALKS AND WALKWAYS,SIDEWALK,SURFACE,CONCRETE,,,,1.5,UNKNOWN,N,N,MISTYWOOD ST,601479,LEFT,4,KITCHENER,UNKNOWN,2014,2019,UNKNOWN,X,,N,,NA,66.2331739646678
21414,311043,ACTIVE,SIDEWALKS AND WALKWAYS,SIDEWALK,SURFACE,CONCRETE,,,,1.5,UNKNOWN,N,N,BLAIR CREEK DR,602362,RIGHT,4,KITCHENER,UNKNOWN,,,UNKNOWN,X,,N,,NA,104.018910507847
