OBJECTID,CATEGORY,NUM_SPACES,SUBCATEGORY,PARKING_COST,CREATE_DATE,UPDATE_DATE,SOURCE_DATE,SOURCE,PAYMENT_METHOD,PARKING_ACCESS,MAX_RATE,HOURS,DAYS,STREET,OWNERSHIP,WARDID,PLANNINGCOMMUNITYID,PARKINGONSTREETID,STATUS,Shape__Area,Shape__Length
126,PARKING,3,ON STREET,2 HOURS FREE,2003/07/02 15:07:59+00,2017/04/12 13:59:44+00,2011/12/12 12:43:59+00,INFRASTRUCTURE SERVICES - PARKING, ,PUBLIC,,,,COLLEGE ST,KITCHENER,10,1,1956,ACTIVE,48.686279296875,44.8080958976898
127,PARKING,4,ON STREET,2 HOURS FREE,2003/07/02 15:08:00+00,2017/04/12 13:59:44+00,2011/12/13 15:46:55+00,INFRASTRUCTURE SERVICES - PARKING, ,PUBLIC,,,,COLLEGE ST,KITCHENER,10,1,1963,ACTIVE,52.055419921875,47.5736752863289
128,PARKING,8,ON STREET,2 HOURS FREE,2003/07/02 15:08:02+00,2017/04/12 13:59:44+00,2013/03/12 16:01:28+00,INFRASTRUCTURE SERVICES - PARKING, ,PUBLIC,,,,QUEEN ST N,KITCHENER,10,1,2009,ACTIVE,112.453369140625,97.1109505412951
130,PARKING,3,ON STREET,2 HOURS FREE,2003/07/02 15:08:02+00,2017/05/01 09:59:43+00,2013/05/16 10:09:18+00,INFRASTRUCTURE SERVICES - PARKING, ,PUBLIC,,,,KING ST W,KITCHENER,9,1,2018,ACTIVE,55.600830078125,47.500733433199
131,PARKING,3,ON STREET,30 MINS FREE,2003/07/02 15:08:02+00,2017/04/12 13:59:44+00,2011/12/12 12:43:59+00,INFRASTRUCTURE SERVICES - PARKING, ,PUBLIC,,,,ONTARIO ST N,KITCHENER,10,1,2026,ACTIVE,46.908935546875,43.353834401176
132,PARKING,3,ON STREET,30 MINS FREE,2003/07/02 15:08:03+00,2017/04/12 13:59:44+00,2011/12/12 12:43:59+00,INFRASTRUCTURE SERVICES - PARKING, ,PUBLIC,,,,ONTARIO ST N,KITCHENER,10,1,2039,ACTIVE,49.05859375,45.1154008951288
133,PARKING,5,ON STREET,2 HOURS FREE,2003/07/02 15:08:06+00,2017/04/12 13:59:44+00,2013/05/08 10:37:26+00,INFRASTRUCTURE SERVICES - PARKING, ,PUBLIC,,,,EBY ST,KITCHENER,10,1,2089,ACTIVE,67.38427734375,58.9078816150974
134,PARKING,15,ON STREET,2 HOURS FREE,2003/07/02 15:08:07+00,2017/04/12 13:59:44+00,2011/12/13 13:23:00+00,INFRASTRUCTURE SERVICES - PARKING, ,PUBLIC,,,,CHARLES ST E,KITCHENER,9,1,2118,ACTIVE,227.96044921875,191.844008089382
135,PARKING,10,ON STREET,2 HOURS FREE,2014/09/12 16:16:45+00,2017/04/12 13:59:44+00,2013/03/12 16:01:28+00,INFRASTRUCTURE SERVICES - PARKING, ,PUBLIC,,,,FRANCIS ST S,KITCHENER,9,1,7352,ACTIVE,213.542236328125,90.9345212674572
136,PARKING,3,ON STREET,2 HOURS FREE,2003/07/02 15:08:04+00,2017/04/12 13:59:44+00,2011/12/12 12:44:42+00,INFRASTRUCTURE SERVICES - PARKING, ,PUBLIC,,,,KING ST E,KITCHENER,9,1,2063,ACTIVE,39.17578125,45.1275755055675
137,PARKING,2,ON STREET,2 HOURS FREE,2003/07/02 15:08:04+00,2017/04/12 13:59:44+00,2011/12/12 12:43:59+00,INFRASTRUCTURE SERVICES - PARKING, ,PUBLIC,,,,KING ST E,KITCHENER,10,1,2062,ACTIVE,25.1064453125,31.1288605891914
140,PARKING,7,ON STREET,2 HOURS FREE,2003/07/02 15:08:06+00,2017/04/12 13:59:44+00,2012/11/06 15:18:52+00,INFRASTRUCTURE SERVICES - PARKING, ,PUBLIC,,,,KING ST E,KITCHENER,9,1,2106,ACTIVE,119.916748046875,107.379837013717
141,PARKING,4,ON STREET,2 HOURS FREE,2003/07/02 15:08:07+00,2017/04/12 13:59:44+00,2012/11/05 15:47:30+00,INFRASTRUCTURE SERVICES - PARKING, ,PUBLIC,,,,KING ST E,KITCHENER,10,1,2123,ACTIVE,73.40283203125,66.8532273694993
142,PARKING,7,ON STREET,2 HOURS FREE,2003/07/02 15:08:07+00,2017/04/12 13:59:44+00,2012/11/05 15:47:30+00,INFRASTRUCTURE SERVICES - PARKING, ,PUBLIC,,,,KING ST E,KITCHENER,9,1,2122,ACTIVE,122.919677734375,106.39601216593
143,PARKING,4,ON STREET,2 HOURS FREE,2003/07/02 15:08:02+00,2017/05/01 16:42:05+00,2011/12/12 12:44:42+00,INFRASTRUCTURE SERVICES - PARKING, ,PUBLIC,,,,KING ST W,KITCHENER,9,1,2031,ACTIVE,46.14892578125,57.544319014143
144,PARKING,4,ON STREET,2 HOURS FREE,2003/07/02 15:08:03+00,2017/04/12 13:59:44+00,2011/12/12 12:43:59+00,INFRASTRUCTURE SERVICES - PARKING, ,PUBLIC,,,,KING ST W,KITCHENER,10,1,2035,ACTIVE,53.8505859375,58.2078281911372
145,PARKING,4,ON STREET,2 HOURS FREE,2003/07/02 15:08:02+00,2017/04/12 13:59:44+00,2011/12/12 12:43:59+00,INFRASTRUCTURE SERVICES - PARKING, ,PUBLIC,,,,KING ST W,KITCHENER,10,1,2030,ACTIVE,36.087158203125,41.6116670465711
147,PARKING,4,ON STREET,2 HOURS FREE,2003/07/02 15:08:03+00,2017/04/12 13:59:44+00,2011/12/12 12:43:59+00,INFRASTRUCTURE SERVICES - PARKING, ,PUBLIC,,,,KING ST W,KITCHENER,10,1,2046,ACTIVE,43.9228515625,58.0409334437962
148,PARKING,3,ON STREET,2 HOURS FREE,2015/05/01 11:09:29+00,2017/04/12 13:59:44+00,2011/12/14 13:33:51+00,INFRASTRUCTURE SERVICES - PARKING, ,PUBLIC,,,,KING ST W,KITCHENER,9,1,8157,ACTIVE,41.5654296875,42.6901477918925
149,PARKING,7,ON STREET,2 HOURS FREE,2003/07/02 15:08:07+00,2017/04/12 13:59:44+00,2013/03/13 13:20:34+00,INFRASTRUCTURE SERVICES - PARKING, ,PUBLIC,,,,KING ST E,KITCHENER,9,3,2145,ACTIVE,98.62939453125,120.53833292869
151,PARKING,4,ON STREET,2 HOURS FREE,2003/07/02 15:08:07+00,2017/04/12 13:59:44+00,2011/12/14 12:22:55+00,INFRASTRUCTURE SERVICES - PARKING, ,PUBLIC,,,,FRANCIS ST S,KITCHENER,9,1,2141,ACTIVE,93.557373046875,66.4212984761964
152,PARKING,5,ON STREET,2 HOURS FREE,2003/07/02 15:07:59+00,2017/04/12 13:59:44+00,2013/03/12 16:01:28+00,INFRASTRUCTURE SERVICES - PARKING, ,PUBLIC,,,,DUKE ST W,KITCHENER,10,1,1940,ACTIVE,73.2060546875,64.9194019897312
154,PARKING,4,ON STREET,2 HOURS FREE,2003/07/02 15:08:00+00,2017/04/12 13:59:44+00,2011/12/14 14:13:52+00,INFRASTRUCTURE SERVICES - PARKING, ,PUBLIC,,,,WATER ST N,KITCHENER,10,1,1982,ACTIVE,74.849365234375,69.7117623169763
156,PARKING,2,ON STREET,2 HOURS FREE,2003/07/02 15:08:01+00,2017/05/01 10:56:22+00,2011/12/12 12:43:59+00,INFRASTRUCTURE SERVICES - PARKING, ,PUBLIC,,,,WATER ST N,KITCHENER,10,1,1986,ACTIVE,31.089599609375,36.1335955150976
157,PARKING,3,ON STREET,2 HOURS FREE,2003/07/02 15:08:01+00,2017/05/01 09:59:43+00,2013/03/12 16:01:28+00,INFRASTRUCTURE SERVICES - PARKING, ,PUBLIC,,,,WATER ST N,KITCHENER,10,1,1994,ACTIVE,40.81689453125,47.7911210125481
160,PARKING,5,ON STREET,2 HOURS FREE,2003/07/02 15:08:01+00,2017/05/01 09:43:37+00,2011/12/14 13:28:13+00,INFRASTRUCTURE SERVICES - PARKING, ,PUBLIC,,,,KING ST W,KITCHENER,9,1,2006,ACTIVE,44.579833984375,42.1314145385042
171,PARKING,3,ON STREET,2 HOURS FREE,2003/07/02 15:08:02+00,2017/05/01 09:59:43+00,2013/05/16 10:09:18+00,INFRASTRUCTURE SERVICES - PARKING, ,PUBLIC,,,,KING ST W,KITCHENER,9,1,2016,ACTIVE,58.987060546875,47.6842044773652
173,PARKING,3,ON STREET,2 HOURS FREE,2003/07/02 15:08:07+00,2017/04/12 13:59:44+00,2011/12/14 12:22:31+00,INFRASTRUCTURE SERVICES - PARKING, ,PUBLIC,,,,FRANCIS ST S,KITCHENER,9,1,2140,ACTIVE,60.328857421875,56.4667359984912
