OBJECTID,PARKINGFACILITYID,PARKING_FACILITY,CATEGORY,SUBCATEGORY,NUM_SPACES,PARKING_COST,PAYMENT_METHOD,LOT_NUMBER,PARKING_ACCESS,MAX_RATE,HOURS,DAYS,PROPERTYUNITID,CIVIC_NO,STREET,OWNERSHIP,BUILDINGID,STATUS,STATUS_DATE,LOCATION_DESCRIPTION,MUNICIPAL_FACILITY,DIVISION_RESPONSIBLE,CREATE_DATE,UPDATE_DATE,SOURCE,SOURCE_DATE,ACCESSIBLE_SPACES,CITY_FACILITY,PARKING_URL,MAP_LABEL,NUM_SPACES_2015,PLOW_ROUTE,Shape__Area,Shape__Length
1687,5850,DOON PIONEER PARK CC AND LIBRARY,PARKING LOT,SURFACE LOT,80,FREE,FREE,NA,PUBLIC,,6:00 - 14:30,,1019633,150,PIONEER DR,KITCHENER,,ACTIVE,2008/09/17 14:14:15+00,DOON PIONEER PARK COMMUNITY CENTRE AND LIBRARY,Y,COMMUNITY PROGRAMS & SERVICES,2008/09/17 14:14:15+00,2021/04/13 11:15:29+00,ORTHO 2019,1970/01/01 00:00:00+00,2,Y,,,80,14-1,4549.0244140625,599.410878581074
1689,5844,BRIDGEPORT COMMUNITY CENTRE,PARKING LOT,SURFACE LOT,24,FREE FOR USE WHILE AT FACILITY,FREE,NA,PUBLIC,,,,1000636,20,TYSON DR,KITCHENER,,ACTIVE,2010/04/27 15:31:31+00,BRIDGEPORT COMMUNITY CENTRE,Y,COMMUNITY PROGRAMS & SERVICES,2010/04/27 15:31:31+00,2021/04/06 15:42:49+00,ORTHO 2019,2010/04/27 00:00:00+00,2,Y,,,24,1-1,1062.71655273438,228.879856424525
1994,2152,GREEN ST,PARKING LOT,SURFACE LOT,78,2.75 PER HOUR / SUNDAYS FREE,HOURLY / MONTHLY,LOT 12,PUBLIC,13.5,8:00-24:00 M-S/12:00-24:00 SU,Monday - Sunday,1003162,787,KING ST W,KITCHENER,,ACTIVE,2012/10/01 11:43:04+00,GREEN ST BETWEEN KING AND PARK,Y,AGREEMENT - INS - PARKING,2012/10/01 11:43:04+00,2021/04/13 10:56:46+00,https://tinyurl.com/ybzargzt,2017/03/30 00:00:00+00,4,N,http://app.kitchener.ca/parking/parking_detail.aspx?tid=12234,12,78,NA,3030.87939453125,281.047886806672
2002,5861,ROCKWAY COMMUNITY CENTRE,PARKING LOT,SURFACE LOT,114,FREE FOR USE WHILE AT FACILITY,FREE,NA,PUBLIC,,,,4003605,1405,KING ST E,KITCHENER,,ACTIVE,2010/04/19 10:04:27+00,ROCKWAY COMMUNITY CENTRE,Y,COMMUNITY PROGRAMS & SERVICES,2010/04/19 10:04:27+00,2021/04/06 15:42:49+00,ORTHO 2019,2010/04/19 00:00:00+00,6,Y,,,114,6-1,4043.69384765625,556.585573142981
2004,6612,COUNTRY HILLS COMMUNITY CENTRE,PARKING LOT,SURFACE LOT,63,FREE FOR USE WHILE AT FACILITY,FREE,NA,PUBLIC,,,,1007205,100,RITTENHOUSE RD,KITCHENER,,ACTIVE,2013/11/04 12:05:47+00,RITTENHOUSE RD,Y,COMMUNITY PROGRAMS & SERVICES,2013/11/04 12:05:47+00,2021/04/06 15:42:49+00,ORTHO 2019,1970/01/01 00:00:00+00,,Y,,,63,NA,2439.86962890625,367.646401238315
2006,2085,KITCHENER MARKET GARAGE,PARKING LOT,UNDERGROUND,320,FIRST 2 HRS 3.20 EACH .5 HR THEREAFTER $1.65 / SUNDAY FREE,HOURLY / MONTHLY,MARKET,PUBLIC,14.5,6:00 - 22:00,Monday - Saturday,4003183,300,KING ST E,KITCHENER,2082409,ACTIVE,2003/07/02 15:08:05+00,MARKET,Y,TRANSPORTATION PLANNING,2003/07/02 15:08:05+00,2019/11/15 10:05:32+00,https://tinyurl.com/ybzargzt,2017/03/30 00:00:00+00,10,Y,http://app.kitchener.ca/parking/parking_detail.aspx?tid=12248,C,320,NA,11422.9875488281,430.244275361209
2010,2899,SCHNEIDER PARK,PARKING LOT,SURFACE LOT,,FREE,FREE,NA,PUBLIC,,,Monday - Saturday,1048642,3595,KING ST E,KITCHENER,,ACTIVE,2004/06/08 13:04:07+00,SCHNEIDER PARK - WB (FREEPORT),Y,OPERATIONS,2004/06/08 13:04:07+00,2019/11/15 10:05:32+00,OPERATIONS,1970/01/01 00:00:00+00,,Y,,,,15-1 SAND,781.531494140625,152.578930165667
2012,5848,CHANDLER MOWAT COMMUNITY CENTRE,PARKING LOT,SURFACE LOT,36,FREE FOR USE WHILE AT FACILITY,FREE,NA,PUBLIC,,,,1051650,222,CHANDLER DR,KITCHENER,,ACTIVE,2008/09/17 14:14:14+00,CHANDLER MOWAT COMMUNITY CENTRE,Y,COMMUNITY PROGRAMS & SERVICES,2008/09/17 14:14:14+00,2021/04/06 15:42:49+00,ORTHO 2019,1970/01/01 00:00:00+00,3,Y,,,36,9-1,1500.49829101563,218.255485121909
2018,2895,WALTER BEAN TRAIL,PARKING LOT,SURFACE LOT,,FREE,FREE,NA,PUBLIC,,,Monday - Saturday,1004757,,RIVERBEND DR,KITCHENER,,ACTIVE,2004/06/04 11:49:30+00,WALTER BEAN - ECONOMICAL INSURANCE TRAILWAY,Y,OPERATIONS,2004/06/04 11:49:30+00,2019/11/15 10:05:32+00,OPERATIONS,1970/01/01 00:00:00+00,,Y,,SECONDARY ROUTE,,NA,818.63232421875,167.889855474031
2019,2903,WALTER BEAN TRAIL,PARKING LOT,SURFACE LOT,25,FREE,FREE,NA,PUBLIC,,,,40261360,,SHIRLEY DR,KITCHENER,,ACTIVE,2004/06/09 13:37:56+00,STANLEY PARK OPTIMIST NATURAL AREA,Y,OPERATIONS,2004/06/09 13:37:56+00,2019/11/15 10:05:32+00,ORTHO 2016,2016/05/10 00:00:00+00,,Y,,SECONDARY ROUTE,25,NA,847.425537109375,145.570918001737
2020,2897,CHERRY PARK,PARKING LOT,SURFACE LOT,,FREE,FREE,NA,PUBLIC,,,Monday - Saturday,1060056,84,STRANGE ST,KITCHENER,,ACTIVE,2004/06/08 09:46:00+00,CHERRY PARK,Y,OPERATIONS,2004/06/08 09:46:00+00,2019/11/15 10:05:32+00,ORTHO 2012,2012/04/15 00:00:00+00,,Y,,,,NA,653.6220703125,109.844666608435
2021,2901,STECKLE WOODS LOT,PARKING LOT,SURFACE LOT,20,FREE,FREE,NA,PUBLIC,,,,1054343,,BLEAMS RD,KITCHENER,,ACTIVE,2004/06/09 09:22:00+00,STECKLE WOODS,Y,OPERATIONS,2004/06/09 09:22:00+00,2019/11/15 10:05:32+00,ORTHO 2016,2016/05/10 00:00:00+00,,Y,,,20,8-2,494.6083984375,87.8843857417389
2023,5857,MILL COURTLAND COMMUNITY CENTRE,PARKING LOT,SURFACE LOT,50,FREE FOR USE WHILE AT FACILITY,FREE,NA,PUBLIC,,,,1068329,216,MILL ST,KITCHENER,,ACTIVE,2011/11/23 09:12:23+00,MILL COURTLAND COMMUNITY CENTRE,Y,COMMUNITY PROGRAMS & SERVICES,2011/11/23 09:12:23+00,2021/04/06 15:42:49+00,ORTHO 2019,1970/01/01 00:00:00+00,4,Y,,,50,5-2,2519.00561523438,424.635352606115
2024,5899,KINGSDALE COMMUNITY CENTRE,PARKING LOT,SURFACE LOT,67,FREE FOR USE WHILE AT FACILITY,FREE,NA,PUBLIC,,,,1063346,72,WILSON AVE,KITCHENER,,ACTIVE,2011/12/08 09:20:38+00,KINGSDALE COMMUNITY CENTRE,Y,COMMUNITY PROGRAMS & SERVICES,2011/12/08 09:20:38+00,2021/04/06 15:42:49+00,ORTHO 2019,1970/01/01 00:00:00+00,2,Y,,,67,NA,3608.57788085938,637.780640557309
