X,Y,OBJECTID,ROADSANDBOXID,CREATE_DATE,UPDATE_DATE,STATUS,STATUS_DATE,SOURCE,SOURCE_DATE,ROAD_SAND_BOX_NUM,ADDRESS,LOCATION,DATE_CHECKED,FILLED,STREET,CATEGORY,PUBLIC_ACCESS
-80.5029071818237,43.4545013490293,3,59901,2016/01/20 12:01:30+00,2020/11/27 00:35:50+00,ACTIVE,2016/01/20 12:01:30+00,OPERATIONS,2016/01/20 12:01:30+00,150,648 King St W,638 King St W at Wellington St N,1970/01/01 00:00:00+00,Y,KING ST W,SAND,Y
-80.5010647659002,43.4544331920995,4,59985,2016/01/20 15:26:06+00,2020/11/27 00:35:50+00,ACTIVE,2019/02/21 15:45:55+00,OPERATIONS,2016/01/20 15:26:06+00,186,21 Moore Ave,Laneway next to McDonald's driveway on Moore Ave,1970/01/01 00:00:00+00,Y,MOORE AVE,SAND,Y
-80.505353777282,43.4555878519002,5,59986,2016/01/20 15:26:44+00,2020/11/27 00:35:50+00,ACTIVE,2019/02/21 14:26:20+00,OPERATIONS,2016/01/20 15:26:44+00,241,10 Shanley St,Open Area - beside 10 Shanley St,1970/01/01 00:00:00+00,Y,SHANLEY ST,SAND,Y
-80.5061264082636,43.4583610362712,6,59987,2016/01/20 15:37:02+00,2020/11/27 00:35:50+00,ACTIVE,2019/02/21 10:34:32+00,OPERATIONS,2016/01/20 15:37:02+00,161,Linwood Ave,"Mt Hope Cemetery, off of Linwood Ave",1970/01/01 00:00:00+00,Y,LINWOOD AVE,SAND,Y
-80.5005233336677,43.4571981956428,7,59988,2016/01/20 15:47:00+00,2020/11/27 00:35:50+00,ACTIVE,2019/02/21 14:26:20+00,OPERATIONS,2016/01/20 15:47:00+00,242,106 Shanley St,Beside 93 Waterloo St,1970/01/01 00:00:00+00,Y,SHANLEY ST,SAND,Y
-80.4960139304467,43.4546420754103,9,59990,2016/01/20 15:48:41+00,2020/11/27 00:35:50+00,ACTIVE,2019/02/21 10:34:32+00,OPERATIONS,2016/01/20 15:48:41+00,76,Duke St W,Near railway tracks,1970/01/01 00:00:00+00,Y,DUKE ST W,SAND,Y
-80.5017440218837,43.4596735778674,10,59991,2016/01/20 15:51:18+00,2020/11/27 00:35:50+00,ACTIVE,2019/02/21 10:34:32+00,OPERATIONS,2016/01/20 15:51:18+00,77,528 Duke St W,Across the street,1970/01/01 00:00:00+00,Y,DUKE ST W,SAND,Y
-80.5018874340424,43.4590804731085,11,59992,2016/01/20 15:52:26+00,2020/11/27 00:35:50+00,ACTIVE,2019/02/21 10:34:32+00,OPERATIONS,2016/01/20 15:52:26+00,26,Bismark Ave,Beside 154 Waterloo St,1970/01/01 00:00:00+00,Y,BISMARK AVE,SAND,Y
-80.5045975511682,43.4612830903786,12,59993,2016/01/20 15:53:43+00,2020/11/27 00:35:50+00,ACTIVE,2019/02/21 10:34:32+00,OPERATIONS,2016/01/20 15:53:43+00,85,Ferdinand Ave,Beside NO EXIT post,1970/01/01 00:00:00+00,Y,FERDINAND AVE,SAND,Y
-80.5027554074194,43.4598824267342,13,59994,2016/01/20 16:01:13+00,2020/11/27 00:35:50+00,ACTIVE,2019/02/21 10:34:32+00,OPERATIONS,2016/01/20 16:01:13+00,113,Guelph St,Beside 184 Waterloo St,1970/01/01 00:00:00+00,Y,GUELPH ST,SAND,Y
-80.4999746119395,43.4601265724648,14,59995,2016/01/20 16:02:59+00,2020/11/27 00:35:50+00,ACTIVE,2019/02/21 10:34:32+00,OPERATIONS,2016/01/20 16:02:59+00,30,5 Blucher St,Near railway tracks,1970/01/01 00:00:00+00,Y,BLUCHER ST,SAND,Y
-80.4908775187981,43.4597169373956,15,59996,2016/01/20 16:04:37+00,2020/11/27 00:35:50+00,ACTIVE,2019/02/21 14:54:39+00,OPERATIONS,2016/01/20 16:04:37+00,170,136 Margaret Ave,"On Louisa St, Church side",1970/01/01 00:00:00+00,Y,MARGARET AVE,SAND,Y
-80.4960453399144,43.4576274843198,321,60035,2016/01/21 08:44:24+00,2020/11/27 00:35:50+00,ACTIVE,2019/02/21 15:39:53+00,OPERATIONS,2016/01/21 08:44:24+00,162,183 Louisa St,On boulevard in front of house,1970/01/01 00:00:00+00,Y,LOUISA ST,SAND,Y
-80.4892608904399,43.4635373464782,322,60036,2016/01/21 09:27:04+00,2020/11/27 00:35:50+00,ACTIVE,2019/02/21 10:34:32+00,OPERATIONS,2016/01/21 09:27:04+00,256,St Leger St,Beside 279 Blucher St,1970/01/01 00:00:00+00,Y,ST LEGER ST,SAND,Y
-80.4931740542914,43.4657362668105,323,60044,2016/01/21 10:21:48+00,2020/11/27 00:35:50+00,ACTIVE,2019/02/21 10:34:32+00,OPERATIONS,2016/01/21 10:21:48+00,89,Floyd St,By hydro pole on Floyd St,1970/01/01 00:00:00+00,Y,FLOYD ST,SAND,Y
-80.4966387332608,43.4655900529159,324,60045,2016/01/21 10:28:13+00,2020/11/27 00:35:50+00,ACTIVE,2019/02/21 10:34:32+00,OPERATIONS,2016/01/21 10:28:13+00,171,250 Margaret Ave,At entrance outbound,1970/01/01 00:00:00+00,Y,MARGARET AVE,SAND,Y
-80.4926418667781,43.4712091198725,337,60046,2016/01/21 10:46:52+00,2020/11/27 00:35:50+00,ACTIVE,2019/02/21 10:34:32+00,OPERATIONS,2016/01/21 10:46:52+00,169,87 Maplewood Pl,"Beside driveway, in front of house",1970/01/01 00:00:00+00,Y,MAPLEWOOD PL,SAND,Y
-80.4923870424728,43.4684537524676,338,60047,2016/01/21 10:48:17+00,2020/11/27 00:35:50+00,ACTIVE,2019/02/21 10:34:32+00,OPERATIONS,2016/01/21 10:48:17+00,257,St Leger St,"On St Leger St, beside hydro pole across from 442 St. Leger St",1970/01/01 00:00:00+00,Y,ST LEGER ST,SAND,Y
-80.4856700403571,43.4633374224345,339,60048,2016/01/21 10:48:57+00,2020/11/27 00:35:50+00,ACTIVE,2019/02/21 10:34:32+00,OPERATIONS,2016/01/21 10:48:57+00,258,St Vincent St,At the park across from #64,1970/01/01 00:00:00+00,Y,ST VINCENT ST,SAND,Y
-80.4838323784396,43.4627203639294,340,60049,2016/01/21 10:51:03+00,2020/11/27 00:35:50+00,ACTIVE,2019/02/21 14:26:20+00,OPERATIONS,2016/01/21 10:51:03+00,153,120 Lancaster St W,At the truck turning sign,1970/01/01 00:00:00+00,Y,LANCASTER ST W,SAND,Y
-80.4669414239179,43.4798139934659,341,60050,2016/01/21 10:51:37+00,2020/11/27 00:35:50+00,ACTIVE,2019/02/21 14:26:20+00,OPERATIONS,2016/01/21 10:51:37+00,268,120 Tagge St,Across from Schueller St,1970/01/01 00:00:00+00,Y,TAGGE ST,SAND,Y
