OBJECTID,ACCIDENTNUM,ACCIDENTDATE,LOCATION,ACCIDENT_LOCATION,IMPACT_LOCATION,ENVIRONMENT_CONDITION,LIGHT,COLLISION_TYPE,TRAFFICCOLLISIONSID
1,13-118637,20130525,CEDAR ST N @ KING ST E / CEDAR ST S,02-Intersection related,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
2,13-019811,20130124,GLASGOW ST @ BELMONT AVE W,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
3,12-089689,20120418,CEDAR ST N @ KING ST E / CEDAR ST S,01-Non intersection,09-Right shoulder,01-Clear,01-Daylight,INTERSECTION,
4,12-127500,20120601,BELMONT AVE W @ ARGYLE ST,03-At intersection,01-Within intersection,02-Rain,01-Daylight,INTERSECTION,
5,13-012564,20130115,STRASBURG RD @ HURON RD,03-At intersection,01-Within intersection,01-Clear,"08-Dark, artificial",INTERSECTION,
6,12-044704,20120225,DRIFTWOOD DR @ HIGHVIEW DR,03-At intersection,11-Not on roadway - right side,03-Snow,,INTERSECTION,
7,12-276180,20121124,KINZIE AVE @ RIVER RD E,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
8,12-120208,20120523,WILSON AVE @ FAIRWAY RD S,01-Non intersection,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
9,12-061905,20120317,WELLINGTON ST N @ SHIRLEY AVE / RIVERBEND DR,03-At intersection,02-Thru lane,"07-Fog, mist, smoke, dust",03-Dawn,INTERSECTION,
10,12-033280,20120210,STIRLING AVE S @ GREENBROOK DR,02-Intersection related,11-Not on roadway - right side,03-Snow,"08-Dark, artificial",INTERSECTION,
11,12-138183,20120614,KING ST E @ SCOTT ST,02-Intersection related,09-Right shoulder,01-Clear,01-Daylight,INTERSECTION,
12,13-055667,20130311,QUEEN ST N @ DUKE ST E / DUKE ST W,01-Non intersection,09-Right shoulder,02-Rain,01-Daylight,INTERSECTION,
13,12-022056,20120128,KING ST E @ CAMERON ST S / CAMERON ST N,03-At intersection,01-Within intersection,03-Snow,01-Daylight,INTERSECTION,
14,12-024820,20120131,QUEEN ST S @ CHARLES ST W / CHARLES ST E,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
15,13-049484,20130303,UNION BLVD @ PARK ST,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
16,13-036172,20130215,TRILLIUM DR @ STRASBURG RD,03-At intersection,01-Within intersection,06-Strong wind,03-Dawn,INTERSECTION,
17,12-021184,20120127,WESTHEIGHTS DR @ MCGARRY DR,03-At intersection,01-Within intersection,04-Freezing Rain,01-Daylight,INTERSECTION,
18,12-121232,20120525,MANCHESTER RD @ RIVER RD E,03-At intersection,01-Within intersection,02-Rain,01-Daylight,INTERSECTION,
19,12-210265,20120906,GLASGOW ST @ BELMONT AVE W,02-Intersection related,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
20,12-120591,20120524,BELMONT AVE W @ GAGE AVE,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
21,13-034974,20130213,WABANAKI DR @ WILSON AVE,03-At intersection,01-Within intersection,01-Clear,05-Dusk,INTERSECTION,
22,13-147695,20130627,KING ST W @ COLLEGE ST,01-Non intersection,02-Thru lane,01-Clear,"08-Dark, artificial",INTERSECTION,
23,13-050014,20130304,GLASGOW ST @ BELMONT AVE W,03-At intersection,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
24,13-037518,20130216,WILSON AVE @ TRAYNOR AVE,03-At intersection,02-Thru lane,03-Snow,01-Daylight,INTERSECTION,
25,13-031163,20130208,BLOCK LINE RD @ STRASBURG RD,01-Non intersection,02-Thru lane,01-Clear,"08-Dark, artificial",INTERSECTION,
26,12-056709,20120310,CEDAR ST N @ KING ST E / CEDAR ST S,01-Non intersection,02-Thru lane,01-Clear,07-Dark,INTERSECTION,
27,13-024596,20130131,CARYNDALE DR @ CHAPEL HILL DR,01-Non intersection,02-Thru lane,03-Snow,01-Daylight,INTERSECTION,
28,13-062307,20130319,CEDAR ST N @ KING ST E / CEDAR ST S,02-Intersection related,02-Thru lane,03-Snow,07-Dark,INTERSECTION,
