X,Y,OBJECTID,CATEGORY,SUBCATEGORY,STATUS,STATUS_DATE,SOURCE,SOURCE_DATE,CREATE_DATE,UPDATE_DATE,TRAFFICCONTROLID,INSTALLATION_DATE,OWNERSHIP
-80.4782844850976,43.4437043656902,1,TRAFFIC SIGNAL,TRAFFIC SIGNAL,ACTIVE,2008/09/23 00:00:00+00,DTS TRANSPORTATION PLANNING,2008/04/21 09:44:31+00,2008/04/21 09:44:31+00,2014/08/11 14:57:44+00,99,1970/01/01 00:00:00+00,REGION
-80.4770804475554,43.4442927041278,2,TRAFFIC SIGNAL,TRAFFIC SIGNAL,ACTIVE,2008/09/23 00:00:00+00,DTS TRANSPORTATION PLANNING,2008/04/21 09:44:31+00,2008/04/21 09:44:31+00,2013/08/16 09:32:46+00,100,1970/01/01 00:00:00+00,REGION
-80.4743676877193,43.4421278622581,3,TRAFFIC SIGNAL,TRAFFIC SIGNAL,ACTIVE,2008/09/23 00:00:00+00,DTS TRANSPORTATION PLANNING,2008/04/21 09:44:31+00,2008/04/21 09:44:31+00,2013/08/16 09:32:46+00,101,1970/01/01 00:00:00+00,REGION
-80.4737794777805,43.4428249766711,4,TRAFFIC SIGNAL,TRAFFIC SIGNAL,ACTIVE,2008/09/23 00:00:00+00,DTS TRANSPORTATION PLANNING,2008/04/21 09:44:31+00,2008/04/21 09:44:31+00,2013/08/16 09:32:46+00,102,1970/01/01 00:00:00+00,REGION
-80.4716671867795,43.4418994023412,5,TRAFFIC SIGNAL,TRAFFIC SIGNAL,ACTIVE,2008/09/23 00:00:00+00,DTS TRANSPORTATION PLANNING,2008/04/21 09:44:31+00,2008/04/21 09:44:31+00,2013/08/16 09:32:46+00,103,1970/01/01 00:00:00+00,REGION
-80.4722884827736,43.4412219905976,6,TRAFFIC SIGNAL,TRAFFIC SIGNAL,ACTIVE,2008/09/23 00:00:00+00,DTS TRANSPORTATION PLANNING,2008/04/21 09:44:31+00,2008/04/21 09:44:31+00,2013/08/16 09:32:46+00,104,1970/01/01 00:00:00+00,REGION
-80.4770054873891,43.4368840129571,7,TRAFFIC SIGNAL,TRAFFIC SIGNAL,ACTIVE,2008/09/23 00:00:00+00,DTS TRANSPORTATION PLANNING,2008/04/21 09:44:31+00,2008/04/21 09:44:31+00,2013/08/16 09:32:46+00,105,1970/01/01 00:00:00+00,REGION
-80.4665370199093,43.4398531325906,8,TRAFFIC SIGNAL,TRAFFIC SIGNAL,ACTIVE,2008/09/23 00:00:00+00,DTS TRANSPORTATION PLANNING,2008/04/21 09:44:31+00,2008/04/21 09:44:31+00,2014/08/11 14:24:13+00,106,1970/01/01 00:00:00+00,REGION
-80.5348736855042,43.418459357772,9,TRAFFIC SIGNAL,TRAFFIC SIGNAL,ACTIVE,2008/09/23 00:00:00+00,DTS TRANSPORTATION PLANNING,2008/04/21 09:44:31+00,2008/04/21 09:44:31+00,2014/08/12 15:53:54+00,107,1970/01/01 00:00:00+00,REGION
-80.4308189009193,43.4369140416197,10,TRAFFIC SIGNAL,TRAFFIC SIGNAL,ACTIVE,2008/09/23 00:00:00+00,DTS TRANSPORTATION PLANNING,2008/04/21 09:44:31+00,2008/04/21 09:44:31+00,2014/08/11 16:46:16+00,108,1970/01/01 00:00:00+00,REGION
-80.4281674668892,43.4344647226756,11,TRAFFIC SIGNAL,TRAFFIC SIGNAL,ACTIVE,2008/09/23 00:00:00+00,DTS TRANSPORTATION PLANNING,2008/04/21 09:44:31+00,2008/04/21 09:44:31+00,2013/08/16 09:32:46+00,109,1970/01/01 00:00:00+00,REGION
-80.4318838899838,43.4300977990708,12,TRAFFIC SIGNAL,TRAFFIC SIGNAL,ACTIVE,2008/09/23 00:00:00+00,DTS TRANSPORTATION PLANNING,2008/04/21 09:44:31+00,2008/04/21 09:44:31+00,2013/08/16 09:32:46+00,110,1970/01/01 00:00:00+00,REGION
-80.436906383887,43.4301453191931,13,TRAFFIC SIGNAL,TRAFFIC SIGNAL,ACTIVE,2008/09/23 00:00:00+00,DTS TRANSPORTATION PLANNING,2008/04/21 09:44:31+00,2008/04/21 09:44:31+00,2014/08/11 14:24:13+00,111,1970/01/01 00:00:00+00,REGION
-80.4417988311934,43.4334948172087,14,TRAFFIC SIGNAL,TRAFFIC SIGNAL,ACTIVE,2008/09/23 00:00:00+00,DTS TRANSPORTATION PLANNING,2008/04/21 09:44:31+00,2008/04/21 09:44:31+00,2013/08/16 09:32:46+00,112,1970/01/01 00:00:00+00,REGION
-80.432191375453,43.4284759249473,15,TRAFFIC SIGNAL,TRAFFIC SIGNAL,ACTIVE,2008/09/23 00:00:00+00,DTS TRANSPORTATION PLANNING,2008/04/21 09:44:31+00,2008/04/21 09:44:31+00,2013/08/16 09:32:46+00,113,1970/01/01 00:00:00+00,REGION
-80.5236125051702,43.4287401036708,16,TRAFFIC SIGNAL,TRAFFIC SIGNAL,ACTIVE,2008/09/23 00:00:00+00,DTS TRANSPORTATION PLANNING,2008/04/21 09:44:31+00,2008/04/21 09:44:31+00,2014/08/11 16:51:35+00,114,1970/01/01 00:00:00+00,REGION
-80.5189921176618,43.4234482141792,17,TRAFFIC SIGNAL,TRAFFIC SIGNAL,ACTIVE,2008/09/23 00:00:00+00,DTS TRANSPORTATION PLANNING,2008/04/21 09:44:31+00,2008/04/21 09:44:31+00,2013/08/16 09:32:46+00,115,1970/01/01 00:00:00+00,REGION
-80.5157175401686,43.4206514119393,18,TRAFFIC SIGNAL,TRAFFIC SIGNAL,ACTIVE,2008/09/23 00:00:00+00,DTS TRANSPORTATION PLANNING,2008/04/21 09:44:31+00,2008/04/21 09:44:31+00,2014/08/11 16:51:35+00,116,1970/01/01 00:00:00+00,REGION
-80.5211504670749,43.4255903138042,19,TRAFFIC SIGNAL,TRAFFIC SIGNAL,ACTIVE,2008/09/23 00:00:00+00,DTS TRANSPORTATION PLANNING,2008/04/21 09:44:31+00,2008/04/21 09:44:31+00,2014/08/11 16:51:35+00,117,1970/01/01 00:00:00+00,REGION
-80.4996329484192,43.461306571772,21,TRAFFIC SIGNAL,TRAFFIC SIGNAL,ACTIVE,2008/09/23 00:00:00+00,DTS TRANSPORTATION PLANNING,2008/04/21 09:44:31+00,2008/04/21 09:44:31+00,2013/08/16 09:32:46+00,119,1970/01/01 00:00:00+00,REGION
-80.4951390174548,43.4570148981634,22,TRAFFIC SIGNAL,TRAFFIC SIGNAL,ACTIVE,2008/09/23 00:00:00+00,DTS TRANSPORTATION PLANNING,2008/04/21 09:44:31+00,2008/04/21 09:44:31+00,2013/08/16 09:32:46+00,120,1970/01/01 00:00:00+00,REGION
-80.4937601967699,43.4548118773459,23,TRAFFIC SIGNAL,TRAFFIC SIGNAL,ACTIVE,2008/09/23 00:00:00+00,DTS TRANSPORTATION PLANNING,2008/04/21 09:44:31+00,2008/04/21 09:44:31+00,2013/08/16 09:32:46+00,121,1970/01/01 00:00:00+00,REGION
-80.4890365673072,43.4563827898903,24,TRAFFIC SIGNAL,TRAFFIC SIGNAL,ACTIVE,2008/09/23 00:00:00+00,DTS TRANSPORTATION PLANNING,2008/04/21 09:44:31+00,2008/04/21 09:44:31+00,2013/08/16 09:32:46+00,122,1970/01/01 00:00:00+00,REGION
-80.4904137021344,43.4585849158904,25,TRAFFIC SIGNAL,TRAFFIC SIGNAL,ACTIVE,2008/09/23 00:00:00+00,DTS TRANSPORTATION PLANNING,2008/04/21 09:44:31+00,2008/04/21 09:44:31+00,2013/08/16 09:32:46+00,123,1970/01/01 00:00:00+00,REGION
-80.4941703402572,43.4630973591197,26,TRAFFIC SIGNAL,TRAFFIC SIGNAL,ACTIVE,2008/09/23 00:00:00+00,DTS TRANSPORTATION PLANNING,2008/04/21 09:44:31+00,2008/04/21 09:44:31+00,2013/08/16 09:32:46+00,124,1970/01/01 00:00:00+00,REGION
