OBJECTID,TRAFFICMARKINGID,CREATE_DATE,UPDATE_DATE,STATUS,STATUS_DATE,SOURCE,SOURCE_DATE,CATEGORY,SUBCATEGORY,LOCATION_DESCRIPTION,LAST_YEAR_PAINTED,TIME_OF_WORK,ROADSEGMENTID,OWNERSHIP,Shape__Length
1,1,2012/03/26 14:58:06+00,2019/11/27 08:43:01+00,ACTIVE,2012/03/26 00:00:00+00,ORTHO 2010,2012/03/23 00:00:00+00,SCHOOL CROSSWALK LINE,,ACTIVA AVE AT W.T. TOWNSHEND SCHOOL,2012,DAY,,KITCHENER,26.4671759362657
6,6,2012/03/26 15:38:38+00,2019/11/27 08:43:04+00,ACTIVE,2012/03/26 00:00:00+00,ORTHO 2010,2012/03/23 00:00:00+00,STOP LINE,,AHRENS ST AT BLUCHER ST,2012,DAY,,KITCHENER,5.58807169217015
7,7,2012/03/26 15:39:45+00,2019/11/27 08:43:24+00,ACTIVE,2012/03/26 00:00:00+00,ORTHO 2010,2012/03/23 00:00:00+00,STOP LINE,,AHRENS ST AT BLUCHER ST,2012,DAY,,KITCHENER,5.00348598026152
8,8,2012/03/26 15:40:55+00,2019/11/27 08:43:16+00,ACTIVE,2012/03/26 00:00:00+00,ORTHO 2010,2012/03/23 00:00:00+00,STOP LINE,,AHRENS ST AT BLUCHER ST,2012,DAY,,KITCHENER,6.09296711515074
9,9,2012/03/26 15:41:53+00,2019/11/27 08:43:26+00,ACTIVE,2012/03/26 00:00:00+00,ORTHO 2010,2012/03/23 00:00:00+00,STOP LINE,,AHRENS ST AT BLUCHER ST,2012,DAY,,KITCHENER,4.59159067628853
10,10,2012/03/26 15:52:04+00,2019/11/27 08:43:26+00,ACTIVE,2012/03/26 00:00:00+00,ORTHO 2010,2012/03/23 00:00:00+00,STOP LINE,,AHRENS ST AT LOUISA ST,2012,DAY,,KITCHENER,5.11590673800654
11,11,2012/03/26 15:53:15+00,2019/11/27 08:43:04+00,ACTIVE,2012/03/26 00:00:00+00,ORTHO 2010,2012/03/23 00:00:00+00,STOP LINE,,AHRENS ST AT LOUISA ST,2012,DAY,,KITCHENER,4.81552403176
13,13,2012/03/26 15:55:30+00,2019/11/27 08:43:04+00,ACTIVE,2012/03/26 00:00:00+00,ORTHO 2010,2012/03/23 00:00:00+00,STOP LINE,,BREITHAUPT ST AT AHRENS ST,2012,DAY,,KITCHENER,5.21632548285864
14,14,2012/03/26 15:56:29+00,2019/11/27 08:43:07+00,ACTIVE,2012/03/26 00:00:00+00,ORTHO 2010,2012/03/23 00:00:00+00,STOP LINE,,BREITHAUPT ST AT AHRENS ST,2012,DAY,,KITCHENER,5.96296496713354
15,15,2012/03/26 16:01:50+00,2019/11/27 08:43:26+00,ACTIVE,2014/07/16 11:56:51+00,ORTHO 2012,2012/03/23 00:00:00+00,RR TRACK STOP LINE,,BREITHAUPT ST AT AHRENS ST W,2012,DAY,,KITCHENER,4.83838448644985
19,19,2012/03/26 16:16:03+00,2019/11/27 08:43:26+00,ACTIVE,2012/03/26 00:00:00+00,ORTHO 2010,2012/03/23 00:00:00+00,STOP LINE,,BIEHN SR AT CARYNDALE DR,2016,DAY,,KITCHENER,5.71052364883845
20,20,2012/03/26 16:16:51+00,2019/11/27 08:43:07+00,ACTIVE,2012/03/26 00:00:00+00,ORTHO 2010,2012/03/26 00:00:00+00,STOP LINE,,BIEHN DR AT CARYNDALE DR,2016,DAY,,KITCHENER,6.72647479021951
21,21,2012/03/26 16:17:38+00,2019/11/27 08:43:07+00,ACTIVE,2012/03/26 00:00:00+00,ORTHO 2010,2012/03/23 00:00:00+00,STOP LINE,,BIEHN DR AT CARYNDALE DR,2016,DAY,,KITCHENER,7.07198735429876
23,23,2012/03/27 08:12:52+00,2019/11/27 08:43:16+00,ACTIVE,2012/03/27 00:00:00+00,ORTHO 2010,2012/03/23 00:00:00+00,STOP LINE,,BIRCHCLIFF AVE AT GREENBROOK DR,2012,DAY,,KITCHENER,6.43067347783827
24,24,2012/03/27 08:27:38+00,2019/11/27 08:43:13+00,ACTIVE,2012/03/27 00:00:00+00,ORTHO 2010,2012/03/23 00:00:00+00,SCHOOL CROSSWALK LINE,,BIRCHCLIFF AVE AT ST PAUL'S SCHOOL,2012,DAY,,KITCHENER,11.948645235509
26,26,2012/03/27 08:42:42+00,2019/11/27 08:43:07+00,ACTIVE,2012/03/27 00:00:00+00,ORTHO 2016,2016/05/10 00:00:00+00,STOP LINE,,PRUETER AVE AT BOEHMER ST,2012,DAY,10431,KITCHENER,5.97444998462015
28,28,2012/03/27 09:01:23+00,2019/11/27 08:43:04+00,ACTIVE,2012/03/27 00:00:00+00,ORTHO 2010,2012/03/23 00:00:00+00,STOP LINE,,BRADLEY DR AT BRADLEY PL,2012,DAY,,KITCHENER,6.92169154401337
30,30,2012/03/27 09:08:33+00,2019/11/27 08:43:01+00,ACTIVE,2012/03/27 00:00:00+00,ORTHO 2010,2012/03/23 00:00:00+00,CROSSWALK LINE,,BUTTONWOOD DR AT WARREN RD,2012,DAY,,KITCHENER,18.0203161637741
31,31,2012/03/27 09:09:29+00,2019/11/27 08:43:07+00,ACTIVE,2012/03/27 00:00:00+00,ORTHO 2010,2012/03/23 00:00:00+00,STOP LINE,,BUTTONWOOD DR AT WARREN RD,2012,DAY,,KITCHENER,6.80784060603653
32,32,2012/03/27 09:10:51+00,2019/11/27 08:43:13+00,ACTIVE,2012/03/27 00:00:00+00,ORTHO 2010,2012/03/23 00:00:00+00,SCHOOL CROSSWALK LINE,,BUTTONWOOD DR AT SCHOOL CROSSING,2012,DAY,,KITCHENER,12.0465999498443
321,33,2012/03/27 09:14:33+00,2019/11/27 08:43:01+00,ACTIVE,2012/03/27 00:00:00+00,ORTHO 2010,2012/03/23 00:00:00+00,SCHOOL CROSSWALK LINE,,BYRON AVE AT MAYWOOD RD,2015,DAY,,KITCHENER,14.5232799201706
322,34,2012/03/27 09:15:26+00,2019/11/27 08:43:18+00,ACTIVE,2012/03/27 00:00:00+00,ORTHO 2010,2012/03/23 00:00:00+00,CROSSWALK LINE,,BYRON AVE AT MAYWOOD RD,2015,DAY,,KITCHENER,17.6039800319555
323,35,2012/03/27 09:16:28+00,2019/11/27 08:43:18+00,ACTIVE,2012/03/27 00:00:00+00,ORTHO 2010,2012/03/23 00:00:00+00,STOP LINE,,BYRON AVE AT MAYWOOD RD,2015,DAY,,KITCHENER,6.10422628004191
324,36,2012/03/27 09:18:50+00,2019/11/27 08:43:26+00,ACTIVE,2012/03/27 00:00:00+00,ORTHO 2010,2012/03/23 00:00:00+00,STOP LINE,,CARLIN AVE AT DIXON ST,2012,DAY,,KITCHENER,5.87237230507736
325,37,2012/03/27 09:21:03+00,2019/11/27 08:43:01+00,ACTIVE,2012/03/27 00:00:00+00,ORTHO 2010,2012/03/23 00:00:00+00,CROSSWALK LINE,,CARSON DR AT CHAMPLAIN CRES,2016,DAY,,KITCHENER,14.8079727555902
326,38,2012/03/27 09:22:09+00,2019/11/27 08:43:13+00,ACTIVE,2012/03/27 00:00:00+00,ORTHO 2010,2012/03/23 00:00:00+00,STOP LINE,,CARSON DR AT CHAMPLAIN CRES,2012,DAY,,KITCHENER,7.08314322306628
327,39,2012/03/27 09:25:59+00,2019/11/27 08:43:04+00,ACTIVE,2012/03/27 00:00:00+00,ORTHO 2010,2012/03/23 00:00:00+00,STOP LINE,,CARYNDALE DR AT CHAPEL HILL DR,2012,DAY,,KITCHENER,6.69839500185186
330,42,2012/03/27 09:55:15+00,2019/11/27 08:43:04+00,ACTIVE,2012/03/27 00:00:00+00,ORTHO 2010,2012/03/23 00:00:00+00,SCHOOL CROSSWALK LINE,,CONFEDERATION DR AT HALIFAX DR,2012,DAY,,KITCHENER,27.6895823290157
332,44,2012/03/27 09:59:36+00,2019/11/27 08:43:24+00,ACTIVE,2012/03/27 00:00:00+00,ORTHO 2010,2012/03/23 00:00:00+00,STOP LINE,,CONFEDERATION DR AT HALIFAX DR,2012,DAY,,KITCHENER,6.28303214413121
333,45,2012/03/27 10:03:19+00,2019/11/27 08:43:18+00,ACTIVE,2012/03/27 00:00:00+00,2014 ORTHO,2014/04/15 00:00:00+00,SCHOOL CROSSWALK LINE,,CONNAUGHT ST AT TRAYNOR AVE,2016,DAY,,KITCHENER,19.2951693326268
334,46,2012/03/27 10:05:27+00,2019/11/27 08:43:24+00,ACTIVE,2012/03/27 00:00:00+00,ORTHO 2010,2012/03/23 00:00:00+00,CROSSWALK LINE,,CONNAUGHT ST AT MUNROE ST,2012,DAY,,KITCHENER,16.5616019049665
335,47,2012/03/27 10:06:24+00,2019/11/27 08:43:01+00,ACTIVE,2012/03/27 00:00:00+00,2014 ORTHO,2014/04/15 00:00:00+00,SCHOOL CROSSWALK LINE,,CONNAUGHT ST AT MUNROE ST,2012,DAY,,KITCHENER,15.8300781465651
336,48,2012/03/27 10:07:30+00,2019/11/27 08:43:16+00,ACTIVE,2012/03/27 00:00:00+00,ORTHO 2010,2012/03/23 00:00:00+00,STOP LINE,,CONNAUGHT ST AT MUNROE ST,2012,DAY,,KITCHENER,5.82859380656782
337,49,2012/03/27 10:20:15+00,2019/11/27 08:43:01+00,ACTIVE,2012/03/27 00:00:00+00,ORTHO 2010,2012/03/23 00:00:00+00,CROSSWALK LINE,,COUNTRY HILL DR AT OLD COUNTRY DR,2012,DAY,,KITCHENER,20.24536233755
338,50,2012/03/27 10:21:21+00,2019/11/27 08:43:26+00,ACTIVE,2012/03/27 00:00:00+00,ORTHO 2010,2012/03/23 00:00:00+00,STOP LINE,,COUNTRY HILL DR AT OLD COUNTRY DR,2012,DAY,,KITCHENER,6.63506734306272
339,51,2012/03/27 10:27:48+00,2019/11/27 08:43:16+00,ACTIVE,2012/03/27 00:00:00+00,ORTHO 2014,2014/04/15 00:00:00+00,SCHOOL CROSSWALK LINE,,COUNTRY HILL DR BETWEEN OLD COUNTRY DR AND COACH HILL DR,2012,DAY,9298,KITCHENER,11.1131742376262
342,54,2012/03/27 10:33:35+00,2019/11/27 08:43:16+00,ACTIVE,2012/03/27 00:00:00+00,ORTHO 2010,2012/03/23 00:00:00+00,STOP LINE,,ROYAL ORCHARD DR AT DRIFTWOOD DR,2012,DAY,,KITCHENER,8.45951901018938
345,57,2012/03/27 10:43:59+00,2019/11/27 08:43:26+00,ACTIVE,2012/03/27 00:00:00+00,ORTHO 2010,2012/03/23 00:00:00+00,STOP LINE,,DRIFTWOOD DR AT YELLOW BIRCH DR,2012,DAY,,KITCHENER,7.86948899988345
347,59,2012/03/27 10:47:05+00,2019/11/27 08:43:13+00,ACTIVE,2012/03/27 00:00:00+00,ORTHO 2010,2012/03/23 00:00:00+00,STOP LINE,,DUNBAR RD AT BALMORAL DR,2012,DAY,,KITCHENER,6.40157725366149
352,64,2012/03/27 10:53:21+00,2019/11/27 08:43:16+00,ACTIVE,2012/03/27 00:00:00+00,ORTHO 2016,2016/05/10 00:00:00+00,STOP LINE,,ELIZABETH ST AT EDWIN ST,2012,DAY,10423,KITCHENER,6.3433062854607
353,65,2012/03/27 10:54:09+00,2019/11/27 08:43:04+00,ACTIVE,2012/03/27 00:00:00+00,ORTHO 2016,2016/05/10 00:00:00+00,STOP LINE,,ELIZABETH ST AT EDWIN ST,2012,DAY,10434,KITCHENER,6.32052220852025
356,68,2012/03/27 11:10:26+00,2019/11/27 08:43:04+00,ACTIVE,2012/03/27 00:00:00+00,ORTHO 2010,2012/03/23 00:00:00+00,STOP LINE,,EDWIN ST AT LEONARD ST,2012,DAY,,KITCHENER,7.16341163291542
358,70,2012/03/27 11:17:15+00,2019/11/27 08:43:18+00,ACTIVE,2012/03/27 00:00:00+00,ORTHO 2016,2016/05/10 00:00:00+00,CROSSWALK LINE,,EDWIN ST AT GUELPH ST,2016,DAY,11234,KITCHENER,22.8409203505971
360,72,2012/03/27 11:19:58+00,2019/11/27 08:43:13+00,ACTIVE,2012/03/27 00:00:00+00,ORTHO 2010,2012/03/23 00:00:00+00,STOP LINE,,EIGHTH AVE AT GREENFIELD AVE,2012,DAY,,KITCHENER,6.47843384520247
361,73,2012/03/27 11:21:26+00,2019/11/27 08:43:26+00,ACTIVE,2012/03/27 00:00:00+00,ORTHO 2010,2012/03/23 00:00:00+00,STOP LINE,,EIGHTH AVE AT GREENFIELD AVE,2012,DAY,,KITCHENER,6.82236230365765
362,74,2012/03/27 11:22:20+00,2019/11/27 08:43:18+00,ACTIVE,2012/03/27 00:00:00+00,ORTHO 2010,2012/03/23 00:00:00+00,STOP LINE,,EIGHTH AVE AT GREENFIELD AVE,2012,DAY,,KITCHENER,6.77129513805929
363,75,2012/03/27 11:23:30+00,2019/11/27 08:43:01+00,ACTIVE,2012/03/27 00:00:00+00,ORTHO 2010,2012/03/23 00:00:00+00,STOP LINE,,EIGHTH AVE AT GREENFIELD AVE,2012,DAY,,KITCHENER,6.30877850781236
365,77,2012/03/27 11:35:56+00,2019/11/27 08:43:07+00,ACTIVE,2012/03/27 00:00:00+00,ORTHO 2016,2016/05/10 00:00:00+00,STOP LINE,,OXFORD ST AT ELIZABETH ST,2012,DAY,10379,KITCHENER,6.58148525944425
367,79,2012/03/27 11:41:19+00,2019/11/27 08:43:13+00,ACTIVE,2012/03/27 00:00:00+00,ORTHO 2016,2016/05/10 00:00:00+00,STOP LINE,,ELIZABETH ST AT BOEHMER ST,2012,DAY,10434,KITCHENER,6.03717154429709
368,80,2012/03/27 12:22:25+00,2019/11/27 08:43:18+00,ACTIVE,2012/03/27 00:00:00+00,ORTHO 2010,2012/03/23 00:00:00+00,STOP LINE,,ERINBROOK DR,2012,DAY,,KITCHENER,13.3579182674339
369,81,2012/03/27 12:23:58+00,2019/11/27 08:43:04+00,ACTIVE,2012/03/27 00:00:00+00,ORTHO 2010,2012/03/23 00:00:00+00,STOP LINE,,ERINBROOK DR AT UXBRIDGE CRES,2012,DAY,,KITCHENER,5.69754845597717
370,82,2012/03/27 12:25:02+00,2019/11/27 08:43:16+00,ACTIVE,2012/03/27 00:00:00+00,ORTHO 2010,2012/03/23 00:00:00+00,STOP LINE,,ERINBROOK DR AT UXBRIDGE CRES,2012,DAY,,KITCHENER,6.73568934255915
374,86,2012/03/27 12:32:20+00,2019/11/27 08:43:13+00,ACTIVE,2012/03/27 00:00:00+00,ORTHO 2010,2012/03/23 00:00:00+00,STOP LINE,,ERINBROOK DR AT THE COUNTRY WAY,2012,DAY,,KITCHENER,7.50860030040836
375,87,2012/03/27 12:35:07+00,2019/11/27 08:43:18+00,ACTIVE,2012/03/27 00:00:00+00,ORTHO 2010,2012/03/23 00:00:00+00,STOP LINE,,FAIRFIELD AVE AT ST. LEGER ST,2012,DAY,,KITCHENER,6.86277664919203
376,88,2012/03/27 12:35:59+00,2019/11/27 08:43:18+00,ACTIVE,2012/03/27 00:00:00+00,ORTHO 2010,2012/03/23 00:00:00+00,STOP LINE,,FAIRFIELD AVE AT ST. LEGER ST,2012,DAY,,KITCHENER,5.58902031059633
377,89,2012/03/27 12:38:25+00,2019/11/27 08:43:07+00,ACTIVE,2012/03/27 00:00:00+00,ORTHO 2010,2012/03/23 00:00:00+00,SCHOOL CROSSWALK LINE,,FOREST HILL DR AT BIRCHCLIFF AVE,2016,DAY,,KITCHENER,29.9087681268237
379,91,2012/03/27 12:40:17+00,2019/11/27 08:43:04+00,ACTIVE,2012/03/27 00:00:00+00,ORTHO 2010,2012/03/23 00:00:00+00,STOP LINE,,FOREST HILL DR AT BIRCHCLIFF AVE,2012,DAY,,KITCHENER,6.23039670493893
380,92,2012/03/27 12:41:57+00,2019/11/27 08:43:01+00,ACTIVE,2012/03/27 00:00:00+00,ORTHO 2010,2012/03/23 00:00:00+00,CROSSWALK LINE,,DEERPARK CRES AT FOREST HILL DR,2012,DAY,,KITCHENER,30.6051417519809
382,94,2012/03/27 12:43:43+00,2019/11/27 08:43:07+00,ACTIVE,2012/03/27 00:00:00+00,ORTHO 2010,2012/03/23 00:00:00+00,STOP LINE,,DEERPARK CRES AT FOREST HILL DR,2012,DAY,,KITCHENER,6.3793777136008
383,95,2012/03/27 12:46:15+00,2019/11/27 08:43:18+00,ACTIVE,2012/03/27 00:00:00+00,ORTHO 2010,2012/03/23 00:00:00+00,SCHOOL CROSSWALK LINE,,FORESTWOOD DR AT MEADOWLANE PUBLIC SCHOOL,2016,DAY,,KITCHENER,14.7584035205422
