OBJECTID,ROADSEGMENTID,CARTO_CLASS,SUBCATEGORY,STREET,FROM_STREET,TO_STREET,FROM_LEFT_ADDRESS,TO_LEFT_ADDRESS,FROM_RIGHT_ADDRESS,TO_RIGHT_ADDRESS,REGIONAL_ROAD,LANES,OWNERSHIP,FLOW_DIRECTION,SOURCE,SOURCE_DATE,SPEED_LIMIT,AADT,AADT_YEAR,TRUCK_ACCESS,Shape__Length
52802,23084,Arterial,MAJOR,FAIRWAY RD N,NORTH HILL PL,OLD CHICOPEE TRAIL,324,324,,,REGIONAL RD 53,4,REG,TwoWay,REG PLAN 1664,2003/05/30 00:00:00+00,,,,NO ACCESS,171.547721626542
52824,10165,Arterial,MAJOR,WEBER ST E,SIMEON ST,SIMEON ST,,,257,257,REGIONAL RD  8,4,REG,TwoWay,REG PLAN 339,2003/04/22 00:00:00+00,,,,7-7 MON-FRI,65.2201045783067
52828,10189,Arterial,MAJOR,WEBER ST E,EAST AVE,EAST AVE,,,,,REGIONAL RD  8,5,REG,TwoWay,REG PLAN 51,2003/04/22 00:00:00+00,50,16947,2015,7-7 MON-FRI,32.6100777595395
52829,10015,Arterial,MAJOR,WEBER ST E,JACKSON AVE,MONTGOMERY RD,724,760,721,825,REGIONAL RD  8,4,REG,TwoWay,REG PLAN 657,2003/04/22 00:00:00+00,,,,7-7 MON-FRI,431.493839536387
52849,6813,Arterial,MAJOR,CHARLES ST E,CHARLES ST W,BENTON ST,4,4,,,REGIONAL RD 64,3,REG,TwoWay,GIS,2009/05/06 00:00:00+00,,,,24HR,146.716566475212
52858,102911,Arterial,MAJOR,NEW DUNDEE RD,ROBERT FERRIE DR,REICHERT DR,,,628,628,REGIONAL RD 12,2,REG,TwoWay,PLAN 675,2004/02/09 00:00:00+00,80,6798,2015,24HR,152.797022220078
52872,16202,Arterial,MAJOR,SPORTSWORLD DR,KING ST BYPASS OFFRAMP,KING ST BYPASS OFFRAMP,,,,,REGIONAL RD 38,2,REG,TwoWay,REG PLAN 1725,2003/04/22 00:00:00+00,50,26345,2015,NO ACCESS,114.180360210574
52875,12592,Arterial,MAJOR,BRIDGEPORT RD,LANG CRES,LEANDER PL,,,431,435,REGIONAL RD  9,4,REG,TwoWay,,1970/01/01 00:00:00+00,,,,24HR,85.0072153342131
52876,12609,Arterial,MAJOR,BRIDGE ST W,LANCASTER ST W,WOOLWICH ST,25,31,6,30,REGIONAL RD 52,2,REG,TwoWay,,1970/01/01 00:00:00+00,,,,24HR,150.813947192343
52885,40196,Arterial,MAJOR,FISCHER HALLMAN RD,WESTMOUNT RD E,ROCKWOOD RD,1188,1188,1191,1191,REGIONAL RD 58,6,REG,TwoWay,58M-78,2002/08/13 00:00:00+00,50,20203,2015,24HR,321.931618346659
52889,6302,Arterial,MAJOR,FISCHER HALLMAN RD,C_PKY WAT ONRAMP,C_PKY WAT OFFRAMP,,,,,REGIONAL RD 58,6,REG,TwoWay,REG PLAN 748,2003/04/22 00:00:00+00,50,30616,2007,24HR,10.3383984990703
52893,11451,Arterial,MAJOR,COURTLAND AVE E,MILL ST,CARWOOD AVE,,,,,REGIONAL RD 53,4,REG,TwoWay,REG PLAN 384,2003/04/22 00:00:00+00,,,,24HR,204.266872090724
52895,9235,Arterial,MAJOR,OTTAWA ST S,KING ST E,CHARLES ST E,21,21,14,22,REGIONAL RD  4,3,REG,TwoWay,REG PLAN 404,2003/04/22 00:00:00+00,,,,24HR,91.2137248502848
52911,9226,Arterial,MAJOR,CHARLES ST E,BORDEN AVE S,OTTAWA ST S,512,564,,,REGIONAL RD 64,3,REG,TwoWay,,1970/01/01 00:00:00+00,,,,24HR,191.82103014586
52924,11578,Arterial,MAJOR,OTTAWA ST N,CROSBY DR,RIVER RD E,,,1005,1015,REGIONAL RD  4,5,REG,TwoWay,REG PLAN 1055,2003/12/18 00:00:00+00,,,,7-7 MON-SAT,162.081218187785
52933,602309,Roundabout,MAJOR,FISCHER HALLMAN RD,SEABROOK DR,FISCHER HALLMAN RD,,,,,REGIONAL RD 58,2,REG,FromTo,REGION,2007/10/04 00:00:00+00,50,4295,2018,24HR,30.353884770781
52934,602311,Roundabout,MAJOR,FISCHER HALLMAN RD,FISCHER HALLMAN RD,SEABROOK DR,,,,,REGIONAL RD 58,2,REG,FromTo,REGION,2007/10/04 00:00:00+00,50,4295,2018,24HR,33.9751811861718
52936,102899,Roundabout,MAJOR,IRA NEEDLES BLVD,IRA NEEDLES BLVD,IRA NEEDLES BLVD,,,,,REGIONAL RD 70,2,REG,FromTo,58R-16748,2010/03/01 00:00:00+00,,,,24HR,69.8723793148199
52942,13115,Arterial,MAJOR,LANCASTER ST W,JONES PL,BRIDGE ST W,611,623,610,624,REGIONAL RD 29,4,REG,TwoWay,REG PLAN 2718,2003/02/10 00:00:00+00,,,,24HR,86.2029671590217
