ACCIDENTNU,ACCIDENTDA,ACCIDENT_L,IMPACT_LOC,COLLISION_,ENVIRONMEN,LIGHT,geo,N_SIGNS,TRAFFIC_VOLUME,ADVANCE CROSSING MARKING,BIKE BOX,BIKE/EDGE LINE,CENTRE LINE,CROSSWALK LINE,GREEN SHARED-USE,LANE DIVIDER,RR TRACK STOP LINE,SCHOOL CROSSWALK LINE,SHARROW,SPEED HUMP,STOP LINE,TRAIL CROSSING,TURNING ARROW,TWO WAY LEFT TURN,YIELD LINE,TOTAL_MARKINGS,avg_lanes,avg_pav_with,avg_row_width,avg_off_class,avg_speed_limit,avg_shape_length
05-152171,2005-01-01,03-At intersection,01-Within intersection,INTERSECTION,02-Rain,07-Dark,MULTIPOINT (-80.51655643793821 43.4567952246049),1,0,2,0,0,36,3,0,24,2,0,4,0,61,0,50,0,0,182,68,238.0,505.0,134,1200,3176.9017866941394
06-037684,2005-01-01,04-At/near private drive,02-Thru lane,MIDBLOCK,01-Clear,01-Daylight,MULTIPOINT (-80.4980630163728 43.4191423078746),0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,0,0,0,7,8,35.0,75.0,24,200,847.8450423870086
05-000584,2005-01-02,03-At intersection,01-Within intersection,INTERSECTION,02-Rain,01-Daylight,MULTIPOINT (-80.4963066588839 43.4077802830626),0,0,0,0,24,50,2,0,2,0,0,0,0,46,0,1,0,0,125,94,442.0,842.0,153,1990,4376.289813897939
05-000455,2005-01-02,03-At intersection,02-Thru lane,INTERSECTION,04-Freezing Rain,01-Daylight,MULTIPOINT (-80.43336555253759 43.4297180667495),0,0,0,0,0,13,2,0,0,0,0,0,20,12,0,0,0,0,47,20,90.0,196.0,60,500,1506.3094595864948
05-000870,2005-01-03,04-At/near private drive,02-Thru lane,INTERSECTION,01-Clear,01-Daylight,MULTIPOINT (-80.509765542994 43.4565745307324),8,24794.0,1,0,0,20,13,0,5,0,0,14,0,36,0,18,0,0,107,43,202.0,348.0,97,850,2508.06149428013
05-001023,2005-01-03,02-Intersection related,01-Within intersection,INTERSECTION,01-Clear,01-Daylight,MULTIPOINT (-80.43520425592899 43.4337950740454),0,0,0,0,0,21,3,0,2,0,0,0,16,24,0,2,0,0,68,26,118.0,250.0,60,650,1326.3967572825313
05-000952,2005-01-03,04-At/near private drive,02-Thru lane,MIDBLOCK,01-Clear,"08-Dark, artificial",MULTIPOINT (-80.4435913661316 43.4251127822334),0,0,2,0,6,49,6,0,10,0,1,0,20,54,0,15,0,0,163,58,271.0,528.0,158,1400,4931.138114839613
05-001288,2005-01-04,01-Non intersection,02-Thru lane,MIDBLOCK,01-Clear,01-Daylight,MULTIPOINT (-80.48659394644839 43.4219310683861),9,45744.0,2,0,39,62,24,0,61,1,2,0,24,73,0,60,0,11,359,256,981.0,2427.0,392,3720,15344.235134270915
05-001345,2005-01-04,01-Non intersection,02-Thru lane,INTERSECTION,01-Clear,"08-Dark, artificial",MULTIPOINT (-80.44839082076911 43.3941456537778),0,0,0,0,9,26,0,0,10,0,1,0,12,24,0,22,0,0,104,42,167.0,369.0,63,700,2767.134774396386
05-001294,2005-01-04,04-At/near private drive,02-Thru lane,INTERSECTION,01-Clear,01-Daylight,MULTIPOINT (-80.43039522023901 43.3964647668738),0,0,0,0,9,28,0,0,10,0,1,0,12,26,0,22,0,0,108,45,180.0,366.0,69,750,3166.3543567747147
05-001097,2005-01-04,01-Non intersection,02-Thru lane,MIDBLOCK,01-Clear,07-Dark,MULTIPOINT (-80.4424187992597 43.4234002432573),0,0,2,0,6,61,9,0,27,0,0,0,0,68,0,38,0,0,211,95,411.0,718.0,229,1880,7226.19814017365
05-001306,2005-01-04,04-At/near private drive,02-Thru lane,MIDBLOCK,01-Clear,01-Daylight,MULTIPOINT (-80.51961668735311 43.4323893660952),0,0,0,0,0,25,1,0,0,0,0,0,0,22,0,0,0,0,48,34,161.0,346.0,102,850,1855.9847754376829
05-001671,2005-01-05,03-At intersection,01-Within intersection,INTERSECTION,01-Clear,01-Daylight,MULTIPOINT (-80.4479935936824 43.4580311822662),0,0,0,0,49,18,2,0,6,0,0,0,0,19,0,13,0,0,107,42,155.0,304.0,48,600,1451.0209622240836
05-001739,2005-01-05,03-At intersection,01-Within intersection,INTERSECTION,01-Clear,01-Daylight,MULTIPOINT (-80.47834436490351 43.4529667231561),0,0,0,0,0,19,3,0,0,0,0,0,0,31,0,0,0,0,53,32,118.0,320.0,96,800,1886.1092446014754
05-002024,2005-01-06,01-Non intersection,11-Not on roadway - right side,INTERSECTION,03-Snow,"08-Dark, artificial",MULTIPOINT (-80.5157489793564 43.4314337231086),0,0,0,1,26,27,17,4,14,0,0,0,0,45,0,37,14,0,185,99,437.0,887.0,132,1790,4247.302175052977
05-001982,2005-01-06,01-Non intersection,02-Thru lane,MIDBLOCK,01-Clear,01-Daylight,MULTIPOINT (-80.4884842293406 43.4342759653252),0,0,0,0,2,10,0,0,0,0,0,0,0,10,0,0,0,0,22,17,87.0,196.0,54,450,1338.8154823525283
05-002013,2005-01-06,01-Non intersection,02-Thru lane,INTERSECTION,01-Clear,01-Daylight,MULTIPOINT (-80.5217049439768 43.4292899188602),0,0,0,1,26,37,17,4,14,0,0,0,0,48,0,37,14,0,198,105,473.0,953.0,150,1940,4710.367895047482
05-002382,2005-01-07,04-At/near private drive,02-Thru lane,MIDBLOCK,01-Clear,01-Daylight,MULTIPOINT (-80.4263473184607 43.3959097995067),0,0,0,0,1,21,0,0,0,0,0,0,4,19,0,0,0,0,45,30,131.0,279.0,94,660,3782.57112354429
05-002261,2005-01-07,01-Non intersection,02-Thru lane,MIDBLOCK,01-Clear,01-Daylight,MULTIPOINT (-80.5326355379789 43.4345012367522),3,21994.0,1,2,2,29,31,3,16,2,0,5,0,47,0,12,0,3,153,129,426.0,818.0,199,1750,6074.7205123083795
05-002733,2005-01-08,04-At/near private drive,11-Not on roadway - right side,MIDBLOCK,03-Snow,01-Daylight,MULTIPOINT (-80.4152001380308 43.4319073513283),0,0,0,0,0,28,0,0,1,1,0,0,4,27,0,1,0,0,62,42,201.0,435.0,100,1050,3795.489416392163
05-003392,2005-01-08,02-Intersection related,02-Thru lane,INTERSECTION,03-Snow,01-Daylight,MULTIPOINT (-80.45488528930041 43.4352661853232),0,0,2,0,6,19,4,0,10,0,0,0,0,25,0,12,0,0,78,28,136.0,228.0,78,650,3120.003744352723
05-002781,2005-01-08,01-Non intersection,02-Thru lane,INTERSECTION,01-Clear,01-Daylight,MULTIPOINT (-80.457399085253 43.4587929454273),7,6402.0,0,0,22,74,10,0,38,0,0,0,0,80,0,52,0,0,276,125,559.0,1307.0,264,2200,8422.560069228291
05-118612,2005-01-09,03-At intersection,01-Within intersection,INTERSECTION,02-Rain,01-Daylight,MULTIPOINT (-80.4925352337721 43.4567007548369),0,0,13,0,0,37,12,0,0,4,0,0,0,36,0,1,0,0,103,44,181.0,429.0,138,1120,3511.9509287516216
05-003036,2005-01-09,02-Intersection related,01-Within intersection,INTERSECTION,04-Freezing Rain,03-Dawn,MULTIPOINT (-80.51284019796751 43.406299113387),0,0,0,0,1,26,0,0,3,0,1,0,0,32,0,4,0,0,67,62,309.0,692.0,156,1590,4018.2213796831325
05-003087,2005-01-09,03-At intersection,01-Within intersection,INTERSECTION,01-Clear,01-Daylight,MULTIPOINT (-80.4492069946382 43.4572485228279),7,6402.0,0,0,71,56,10,0,40,0,0,0,0,63,0,57,0,0,297,123,497.0,1075.0,192,1800,7255.954876161937
05-003323,2005-01-10,04-At/near private drive,02-Thru lane,INTERSECTION,01-Clear,01-Daylight,MULTIPOINT (-80.4766828677807 43.4398598501878),0,1738.0,2,0,0,8,4,0,1,0,0,2,0,7,0,0,0,0,24,15,78.0,160.0,46,400,1291.8097323630072
05-003873,2005-01-11,03-At intersection,01-Within intersection,INTERSECTION,01-Clear,01-Daylight,MULTIPOINT (-80.52942700179869 43.4203158683219),0,0,0,0,15,36,2,0,4,0,0,0,0,32,0,6,0,0,95,92,345.0,627.0,126,1250,3691.24033335651
05-003905,2005-01-11,04-At/near private drive,02-Thru lane,MIDBLOCK,01-Clear,"08-Dark, artificial",MULTIPOINT (-80.48531396557399 43.4481846206201),15,247638.0,2,0,1,54,22,0,27,0,0,25,0,72,0,42,0,0,245,191,747.0,2369.0,310,2800,9833.214637541083
05-003641,2005-01-11,03-At intersection,01-Within intersection,INTERSECTION,01-Clear,01-Daylight,MULTIPOINT (-80.4965221101718 43.4553789810708),1,722.0,7,0,0,37,14,0,3,1,0,8,0,44,0,10,0,0,124,56,256.0,504.0,153,1300,3500.47925299766
05-003728,2005-01-11,04-At/near private drive,02-Thru lane,MIDBLOCK,01-Clear,01-Daylight,MULTIPOINT (-80.5155464138856 43.4496553023184),0,0,1,4,59,72,39,12,39,2,0,0,1,89,0,116,15,0,449,124,518.0,1014.0,169,2150,9162.044783952555
