LOCATION,ACCIDENT_LOCATION,IMPACT_LOCATION,ENVIRONMENT_CONDITION,LIGHT,COLLISION_TYPE,DAY_OF_WEEK,MONTH,IS_WEEKEND,STREET,LANES,CATEGORY,SUBCATEGORY,PAVEMENT_WIDTH,ROW_WIDTH,SHOULDER,FLOW_DIRECTION,SURFACE_LAYER_TYPE,OFFICIAL_ROAD_CLASSIFICATION,SPEED_LIMIT_KM,TRUCK_ACCESS,BUS_ROUTE,SERVICE_YEAR,Shape__Length
RIVER RD E,01-Non intersection,02-Thru lane,01-Clear,"08-Dark, artificial",MIDBLOCK,Monday,January,0,RIVER RD E,2,ROAD,LOCAL,7.0,7.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,1981.0,128.050596664391
RIVER RD E,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,Saturday,March,1,RIVER RD E,2,ROAD,LOCAL,7.0,7.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,1981.0,128.050596664391
RIVER RD E,01-Non intersection,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,Tuesday,April,0,RIVER RD E,2,ROAD,LOCAL,7.0,7.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,1981.0,128.050596664391
RIVER RD E,01-Non intersection,02-Thru lane,02-Rain,"08-Dark, artificial",MIDBLOCK,Monday,December,0,RIVER RD E,2,ROAD,LOCAL,7.0,7.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,1981.0,128.050596664391
RIVER RD E,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,Saturday,June,1,RIVER RD E,2,ROAD,LOCAL,7.0,7.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,1981.0,128.050596664391
RIVER RD E,01-Non intersection,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,Friday,September,0,RIVER RD E,2,ROAD,LOCAL,7.0,7.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,1981.0,128.050596664391
RIVER RD E,04-At/near private drive,02-Thru lane,02-Rain,01-Daylight,MIDBLOCK,Saturday,February,1,RIVER RD E,2,ROAD,LOCAL,7.0,7.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,1981.0,128.050596664391
RIVER RD E,01-Non intersection,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,Friday,November,0,RIVER RD E,2,ROAD,LOCAL,7.0,7.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,1981.0,128.050596664391
RIVER RD E,04-At/near private drive,03-Left turn lane,01-Clear,"04-Dawn, artificial",MIDBLOCK,Thursday,March,0,RIVER RD E,2,ROAD,LOCAL,7.0,7.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,1981.0,128.050596664391
RIVER RD E,04-At/near private drive,02-Thru lane,01-Clear,"08-Dark, artificial",MIDBLOCK,Wednesday,October,0,RIVER RD E,2,ROAD,LOCAL,7.0,7.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,1981.0,128.050596664391
RIVER RD E,04-At/near private drive,03-Left turn lane,01-Clear,01-Daylight,MIDBLOCK,Saturday,December,1,RIVER RD E,2,ROAD,LOCAL,7.0,7.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,1981.0,128.050596664391
RIVER RD E,01-Non intersection,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,Thursday,September,0,RIVER RD E,2,ROAD,LOCAL,7.0,7.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,1981.0,128.050596664391
