,STREET,LANES,CATEGORY,SUBCATEGORY,PAVEMENT_WIDTH,ROW_WIDTH,SHOULDER,FLOW_DIRECTION,SURFACE_LAYER_TYPE,OFFICIAL_ROAD_CLASSIFICATION,SPEED_LIMIT_KM,TRUCK_ACCESS,BUS_ROUTE,SERVICE_YEAR,Shape__Length
0,FAIRWAY RD N,4,ROAD,MAJOR,15.0,51.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,,171.547721626542
1,BLACK WALNUT DR,2,ROAD,MINOR,10.0,26.0,PAVED,TwoWay,PAVED,4,50,NO ACCESS,Y,1976.0,153.43319967805098
2,BECHTEL DR,2,ROAD,MINOR,10.0,26.0,PAVED,TwoWay,PAVED,4,40,NO ACCESS,Y,1971.0,320.10547660152696
3,ANVIL ST,2,ROAD,LOCAL,9.0,20.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,1980.0,101.994933653926
4,EBY ST S,2,ROAD,LOCAL,7.0,12.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,2005.0,34.417291734467696
5,EBY ST S,2,ROAD,LOCAL,7.0,12.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,2005.0,65.8781974555466
6,PEBBLECREEK DR,2,ROAD,LOCAL,12.0,22.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,2007.0,146.08896834183702
7,COLTON CIR,2,ROAD,LOCAL,10.0,20.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,2006.0,86.917018324979
8,COLTON CIR,2,ROAD,LOCAL,10.0,20.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,2006.0,169.607253508149
9,CLARK AVE,2,ROAD,LOCAL,9.0,20.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,2008.0,408.046692595579
10,DIXON ST,2,ROAD,MINOR,9.0,20.0,PAVED,TwoWay,PAVED,4,50,NO ACCESS,N,2005.0,288.6906715372
11,SHELLEY DR,2,ROAD,LOCAL,10.0,20.0,PAVED,TwoWay,PAVED,4,50,NO ACCESS,N,2005.0,59.0727543769844
12,BONIFACE AVE,2,ROAD,LOCAL,9.0,20.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,1955.0,283.270446128699
13,CLARK AVE,2,ROAD,LOCAL,9.0,20.0,PAVED,TwoWay,PAVED,6,40,NO ACCESS,N,2008.0,102.61641506154
14,MURRAYHILL CRT,1,BULB,LOCAL,9.0,43.0,PAVED,FromTo,PAVED,6,50,NO ACCESS,N,1971.0,83.4150966371971
15,DINISON CRES,2,ROAD,LOCAL,9.0,20.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,1979.0,505.59563418288496
