address_street,signal_count
 King Street East,13
 King Street West,8
 Weber Street East,7
 Fairway Road South,7
 River Road East,7
 Victoria Street North,7
 Fischer-Hallman Road,6
 Kitchener,6
 Courtland Avenue East,6
 Ottawa Street South,5
 Belmont Avenue West,5
 Lancaster Street West,5
 Weber Street West,4
 Strasburg Road,4
 Frederick Street,4
 Queen Street South,4
 Ottawa Street North,4
 Margaret Avenue,4
 Queen's Boulevard,3
 Highland Road West,3
 Doon,3
 Sportsworld Drive,3
 Westmount Road West,3
 Victoria Street South,3
 Trussler Road,3
 Water Street North,2
 Edna Street,2
 Manitou Drive,2
 Westmount Road East,2
 Westheights Drive,2
 Wellington Street North,2
 Park Street,2
 Queen Street North,2
 Benton Street,2
 Region of Waterloo,2
 Scott Street,2
 Joseph Street,2
 Trillium Drive,2
 Doon Village Road,2
 Charles Street West,2
 Eastforest Trail,2
 Stonehaven Drive,2
 Bruce Street,2
 Charles Street East,2
 Stirling Avenue South,2
 Wilson Avenue,1
 Ontario Street North,1
 Lawrence Avenue,1
 McGarry Drive,1
 Mill Street,1
 New Dundee Road,1
 Windflower Drive,1
 Young Street,1
 Strange Street,1
 Shelley Drive,1
 Ontario Street South,1
 Overlea Crescent,1
 Stoke Drive,1
 Patricia Avenue,1
 Pioneer Drive,1
 Water Street South,1
 Tremaine Drive,1
 Kinzie Avenue,1
 Union Boulevard,1
 Spadina Road East,1
 Templewood Drive,1
 105,1
 Kingswood Drive,1
 Duke Street West,1
 Century Hill Drive,1
 Cedar Street South,1
 Cedar Street North,1
 Carwood Avenue,1
 Cameron Street South,1
 Cameron Street North,1
 Bramblewood Street,1
 Borden Avenue South,1
 Borden Avenue North,1
 Bleams Road,1
 Beasley Drive,1
 Battler Road,1
 99,1
 911,1
 787,1
 777,1
 760,1
 371,1
 255,1
 250,1
 1250,1
 Dominion Street,1
 Eagen Drive,1
 Kingsway Drive,1
 East Avenue,1
 King Street South,1
 Keewatin Avenue,1
 Jubilee Drive,1
 11,1
 Howland Drive,1
 Homer Watson Boulevard,1
 Holborn Drive,1
 Hoffman Street,1
 Highland Crescent,1
 Highbrook Street,1
 Heritage Drive,1
 Hazelglen Drive,1
 Greenbrook Drive,1
 Gaukel Street,1
 Freeport,1
 Franklin Street South,1
 Franklin Street North,1
 Forwell Road,1
 Fergus Avenue,1
 Fairway Road North,1
 Elm Ridge Drive,1
 Zeller Drive,1
