STREET,TOT_CARS
BENTON ST,1028.0
BLEAMS RD,20472.0
BLOOMINGDALE RD,2046.0
BORDEN AVE S,1738.0
BRIDGE ST E,2610.0
BRIDGE ST W,296.0
BRIDGEPORT RD,4006.0
BRUCE ST,540.0
CHARLES ST E,4670.0
CHARLES ST W,622.0
COURTLAND AVE E,16866.0
DUKE ST E,68.0
DUKE ST W,722.0
EDNA ST,426.0
FAIRWAY RD N,6572.0
FAIRWAY RD S,3968.0
FISCHER HALLMAN RD,39210.0
FRANCIS ST N,0.0
FREDERICK ST,20318.0
HAYWARD AVE,530.0
HIGHLAND RD W,36024.0
HOMER WATSON BLVD,9580.0
HOMER WATSON OFFRAMP,0.0
HOMER WATSON ONRAMP,0.0
HURON RD,0.0
IRA NEEDLES BLVD,910.0
KING ST E,247638.0
KING ST W,24794.0
LACKNER BLVD,0.0
LANCASTER ST W,26388.0
MANITOU DR,5774.0
NEW DUNDEE RD,4630.0
OTTAWA ST N,6208.0
OTTAWA ST S,45744.0
QUEEN ST S,8890.0
RIVER RD E,6402.0
SPORTSWORLD DR,120.0
TRUSSLER RD,0.0
VICTORIA ST N,60358.0
VICTORIA ST S,21994.0
WEBER ST E,58274.0
WEBER ST W,8464.0
WESTMOUNT RD E,10938.0
WESTMOUNT RD W,8566.0
