,index,geometry,center_of_mass,tipologia,DESIGNACAO,coordinates,freguesia,concelho,cidade
0,0,"[[[-9.09361178250349, 38.7829591923676], [-9.0935614328301, 38.7829206039074], [-9.09347785537272, 38.7827986957197], [-9.09335035209456, 38.7825851811743], [-9.09322055990903, 38.7823297992722], [-9.09318687847576, 38.7822554920381]]]",[-9.09340148 38.78264149],Percurso Ciclopedonal,Passeio dos Heróis do Mar,"(38.782641494079876, -9.093401476864278)",Parque das Nações,Lisboa,Lisboa
1,1,"[[[-9.14832243430936, 38.747977409217], [-9.14818764389761, 38.7479979655773], [-9.14813108237407, 38.7480064001218]]]",[-9.14821372 38.74799392],Pista Ciclável Bidirecional,Campo Grande,"(38.747993924972036, -9.14821372019368)",Alvalade,Lisboa,Lisboa
2,2,"[[[-9.21314651900988, 38.6934096000848], [-9.21314619381973, 38.6934085077131], [-9.21310666345566, 38.6932761006397], [-9.21306746097666, 38.6931447913061], [-9.21302880826662, 38.6930153201234], [-9.21299092271783, 38.6928884169904], [-9.21295192325807, 38.6927577870545], [-9.21291294715454, 38.6926272340059], [-9.21287468521164, 38.692499070225], [-9.21283561927656, 38.6923682159121], [-9.21282933645946, 38.6923471681661], [-9.21282614474528, 38.6923324587895], [-9.21282537848232, 38.6923146321065], [-9.21282845341555, 38.6922949095147], [-9.21283455387464, 38.6922780062345], [-9.21284445151242, 38.6922608806863], [-9.21285642605517, 38.6922463641079], [-9.21286687975012, 38.6922365865905], [-9.21288360638071, 38.6922244398901], [-9.21290101573093, 38.6922149961166], [-9.21291856970991, 38.6922079453632], [-9.21293700852943, 38.6922027239068], [-9.21294429835794, 38.6922012087238], [-9.21295035390128, 38.6922001100233], [-9.21327086470981, 38.6921421656427], [-9.21360668191248, 38.6920814530743], [-9.21379324582731, 38.6920474150295], [-9.21396595951708, 38.6920161675488], [-9.21416572507336, 38.6919800246172], [-9.21432480233713, 38.6919518144952], [-9.21436185963923, 38.6919452426024], [-9.21458308684592, 38.6919051830004], [-9.21468285014814, 38.6918874662918]]]",[-9.21324434 38.69239135],Pista Ciclável Bidirecional,Troço da Frente Ribeirinha,"(38.69239134565385, -9.213244342304932)",Belém,Lisboa,Lisboa
3,3,"[[[-9.13893726920884, 38.7440916456877], [-9.13884750056252, 38.744121944163], [-9.13869381139381, 38.7441726508509], [-9.13860371845564, 38.7442023761691], [-9.13845002928696, 38.7442530827999], [-9.1383599363488, 38.744282807384], [-9.13820624628178, 38.7443335132571], [-9.13811721335566, 38.7443628888902], [-9.1379375485022, 38.7444221648973], [-9.1379074675166, 38.7444320887175], [-9.13786971941003, 38.7444445425353], [-9.13778748852726, 38.7444715345578]]]",[-9.13830983 38.74429927],30+Bici,Rua Edison,"(38.744299269992474, -9.13830982907084)",None,Lisboa,Lisboa
4,4,"[[[-9.14813716486685, 38.7323037927639], [-9.14780439385133, 38.7321852612268]]]",[-9.14797078 38.73224453],30+Bici,Rua Latino Coelho,"(38.73224452699535, -9.147970779359088)",São Sebastião da Pedreira,Lisboa,Lisboa
5,5,"[[[-9.14840220560491, 38.7479658836126], [-9.14838699802548, 38.7479045171465], [-9.14837999026792, 38.7478756747281]]]",[-9.14838973 38.74791536],Pista Ciclável Bidirecional,Avenida da República,"(38.74791535849573, -9.148389731299437)",None,Lisboa,Lisboa
6,6,"[[[-9.13551586836263, 38.7411797133255], [-9.13551859924111, 38.7411794736968], [-9.13555177851613, 38.7411770458797], [-9.13555185127967, 38.7411770409751], [-9.13557645793193, 38.7411752402564], [-9.13566385592423, 38.7411688445518], [-9.13585350824702, 38.7411812653067], [-9.1360337920397, 38.7411930652671], [-9.13605197843264, 38.741194128882], [-9.13615775560581, 38.7411977515933], [-9.13626363049674, 38.7411970156364], [-9.13631252232801, 38.741195846863], [-9.13636124502877, 38.7411924689981], [-9.13642842659466, 38.7411871646434], [-9.13649534104279, 38.7411800986933], [-9.13658853586363, 38.7411658316759], [-9.13668328027834, 38.7411469206214], [-9.1367419824872, 38.7411328883216], [-9.13678396435368, 38.7411208403143], [-9.13682807253247, 38.74110632735], [-9.13691278276543, 38.7410782073787], [-9.13694100872996, 38.7410699317684], [-9.13694670568518, 38.7410672177773], [-9.1369518618894, 38.7410639107852], [-9.13695637662782, 38.7410600753866], [-9.13696016171526, 38.7410557864973], [-9.13696314321857, 38.741051127891], [-9.13697223197644, 38.7410323764744], [-9.13698493814398, 38.7410149508903]]]",[-9.13639833 38.74113595],30+Bici,Avenida de Paris,"(38.74113595026556, -9.136398333011694)",None,Lisboa,Lisboa
7,7,"[[[-9.15995332204316, 38.728353719434], [-9.15992815843543, 38.7283916681484], [-9.15991337126754, 38.7284139267689], [-9.15989622577822, 38.7284357534402], [-9.15987747369046, 38.7284567606831], [-9.15985020892329, 38.7284815638638], [-9.15982313998882, 38.7285046122501], [-9.15979692535219, 38.7285289409774]]]",[-9.15987985 38.72844587],Pista Ciclável Unidirecional,Rua Marquês de Fronteira,"(38.72844586819574, -9.15987985318489)",Campolide,Lisboa,Lisboa
8,8,"[[[-9.13698493814398, 38.7410149508903], [-9.1369963108155, 38.7410117712484], [-9.13703050878004, 38.7410022091995], [-9.1370425605779, 38.7409982896489], [-9.13705040017537, 38.7409953664516], [-9.13709193917242, 38.740979880931], [-9.13712915008646, 38.7409660083512], [-9.1371355532778, 38.7409636211657], [-9.13715285303353, 38.7409571721912], [-9.13715926071646, 38.7409547836041], [-9.13717401823995, 38.740949281936], [-9.13719785952758, 38.7409403932236], [-9.13730217818658, 38.7409022164506]]]",[-9.13711135 38.740972  ],Pista Ciclável Bidirecional,Praça de Londres,"(38.740971995791696, -9.137111348517966)",None,Lisboa,Lisboa
9,9,"[[[-9.14538171748011, 38.7326710018643], [-9.14546738082559, 38.7327029330317]]]",[-9.14542455 38.73268697],Pista Ciclável Unidirecional,Avenida Fontes Pereira de Melo,"(38.732686967448004, -9.14542454915285)",Arroios,Lisboa,Lisboa
10,10,"[[[-9.10948611490842, 38.7682077462984], [-9.10951999909317, 38.7682301846475], [-9.10955041670124, 38.7682554628276], [-9.1095769786011, 38.7682832574529]]]",[-9.10953338 38.76824416],Pista Ciclável Bidirecional,Praça Baden Powell,"(38.7682441628066, -9.109533377325981)",Olivais,Lisboa,Lisboa
11,11,"[[[-9.1752983383366, 38.7576547781778], [-9.17528789362481, 38.7576393663211]]]",[-9.17529312 38.75764707],Percurso Ciclopedonal,Ponte ciclopedonal sobre a 2ª Circular,"(38.757647072249455, -9.175293115980704)",São Domingos de Benfica,Lisboa,Lisboa
12,13,"[[[-9.14007997026769, 38.7567452466715], [-9.13914945577054, 38.7570439516522]]]",[-9.13961471 38.7568946 ],30+Bici,Rua Ricardo Jorge,"(38.75689459916185, -9.139614713019114)",São João de Brito,Lisboa,Lisboa
13,14,"[[[-9.13349115284882, 38.7075571977731], [-9.13346881174771, 38.7075013281729], [-9.13346307600461, 38.7074864936301], [-9.13345988224972, 38.7074808437121], [-9.13345554409557, 38.7074756791428], [-9.13345017906825, 38.7074711398369], [-9.13344393251316, 38.7074673487703], [-9.13343697365742, 38.7074644086479], [-9.13342988443621, 38.7074630660038], [-9.13342261141814, 38.7074626241426], [-9.13341534132563, 38.7074630944083], [-9.13340826080599, 38.7074644647278], [-9.1333105312896, 38.7074885615775], [-9.13323049319441, 38.7075249013641], [-9.13314367551376, 38.7075462362591], [-9.13297367024456, 38.7075875390837], [-9.13292850834199, 38.70759788161], [-9.13281335510232, 38.7076257091252], [-9.13279252964963, 38.707632326665], [-9.13277293001624, 38.7076409270849], [-9.13270773568279, 38.7076773291828], [-9.13269539123921, 38.7076843808235], [-9.13268212291741, 38.7076903235685], [-9.13256505626623, 38.7077412790346], [-9.13220190602441, 38.7079031614142]]]",[-9.13312654 38.70756393],Pista Ciclável Bidirecional,Avenida Infante Dom Henrique,"(38.707563929830464, -9.133126542226153)",Alfama,Lisboa,Lisboa
14,15,"[[[-9.14858736185969, 38.733623300909], [-9.14871512205605, 38.7336712821563]]]",[-9.14865124 38.73364729],30+Bici,Rua Pinheiro Chagas,"(38.73364729153265, -9.14865124195787)",São Sebastião da Pedreira,Lisboa,Lisboa
15,16,"[[[-9.15729693996763, 38.7483912830437], [-9.15544186231207, 38.7489615191466]]]",[-9.1563694 38.7486764],30+Bici,Rua Branca Edmée Marques,"(38.74867640109515, -9.15636940113985)",None,Lisboa,Lisboa
16,17,"[[[-9.15223811517437, 38.7384360507867], [-9.15128487060556, 38.7385717368612]]]",[-9.15176149 38.73850389],30+Bici,Avenida Elias Garcia,"(38.73850389382395, -9.151761492889964)",São Sebastião da Pedreira,Lisboa,Lisboa
17,18,"[[[-9.1931279168395, 38.7549275625638], [-9.19313406311267, 38.7549270014363], [-9.19315233035398, 38.7549250763694], [-9.19318855132455, 38.7549204997818], [-9.19323215015855, 38.7549137802607], [-9.19327955695104, 38.7549047482763], [-9.19332024614183, 38.7548964308354], [-9.19337959423937, 38.7548829273389], [-9.19340640715397, 38.7548767402202], [-9.19345414632312, 38.7548673264398], [-9.19348748998985, 38.7548619323249], [-9.19352139061205, 38.754857420883], [-9.19354481957294, 38.7548549564026], [-9.19357164326734, 38.7548529143446], [-9.19358956825053, 38.7548520099545], [-9.19361274388654, 38.754851382976], [-9.19364014429934, 38.7548514285108], [-9.19365550638901, 38.7548518278155], [-9.19368731034331, 38.7548535083978], [-9.19371010329703, 38.7548554278623], [-9.19374033340299, 38.7548589060161], [-9.19376096680672, 38.7548618993998], [-9.19378874451193, 38.7548667421942], [-9.19384751768773, 38.7548811360728], [-9.19390436038397, 38.7549015804613], [-9.19393822956513, 38.7549140058326], [-9.19397170797913, 38.7549270385646], [-9.19404908616274, 38.754957162212], [-9.19412489678622, 38.7549866749818], [-9.19420693363289, 38.7550185401288], [-9.19428925165228, 38.7550505138442], [-9.1943880869948, 38.75508890372], [-9.19448780717786, 38.7551279191502], [-9.19456255689093, 38.7551576034795], [-9.19457823159435, 38.7551638459158], [-9.19462046768405, 38.7551774929681], [-9.19465193027856, 38.7551847084405], [-9.19469419062278, 38.755190337209], [-9.19472067295738, 38.7551916738226], [-9.19472421142128, 38.7551918524581], [-9.1947571670158, 38.7551904331818], [-9.19478939227997, 38.7551879869268], [-9.19479686087324, 38.7551868863922], [-9.19481471938111, 38.7551838909205], [-9.19482718170904, 38.7551814579754], [-9.19484034112962, 38.7551791357141], [-9.19484339180833, 38.755179212072], [-9.19484551003578, 38.7551800772282], [-9.19484754112662, 38.7551824576336], [-9.19485125835528, 38.7551979596888]]]",[-9.19403918 38.75500266],Pista Ciclável Bidirecional,Parque Quinta da Granja Norte - Parque Quinta Mata Mouros,"(38.755002658752005, -9.194039184608298)",Benfica,Lisboa,Lisboa
18,19,"[[[-9.16254444510658, 38.7411643420539], [-9.16246242353123, 38.7411633534102], [-9.16197869781873, 38.7411895962569], [-9.16160071728989, 38.74120301476], [-9.16132865442125, 38.7412155896561], [-9.1597106682203, 38.7412947020755], [-9.15970886619985, 38.741294789659]]]",[-9.1613335  38.74121791],30+Bici,Rua Filipe da Mata,"(38.74121791255309, -9.161333496083975)",São Sebastião da Pedreira,Lisboa,Lisboa
19,21,"[[[-9.12141700042122, 38.7709084003865], [-9.1210530264243, 38.771133136978], [-9.12066165920111, 38.7713767324898]]]",[-9.1210439  38.77113942],30+Bici,Alameda da Encarnação,"(38.771139423284765, -9.121043895348876)",Olivais,Lisboa,Lisboa
