,name,coordinates,freguesia,concelho,cidade
0,image0,"('38.73277225961562', '-9.172048739336')",Campolide,Lisboa,Lisboa
1,image1,"('38.76039827177381', '-9.190202095966573')",Carnide,Lisboa,Lisboa
2,image10,"('38.7439627', '-9.1136023')",Marvila,Lisboa,Lisboa
3,image100,"('38.77974496618023', '-9.124785817496566')",Olivais,Lisboa,Lisboa
4,image1000,"('38.7754189', '-9.1708593')",Lumiar,Lisboa,Lisboa
5,image1001,"('38.7342251', '-9.120122')",Beato,Lisboa,Lisboa
6,image1002,"('38.7634181', '-9.1512324')",Lumiar,Lisboa,Lisboa
7,image1003,"('38.74202677828567', '-9.164232173452977')",São Domingos de Benfica,Lisboa,Lisboa
8,image1004,"('38.74438405691944', '-9.173980870657665')",São Domingos de Benfica,Lisboa,Lisboa
9,image1005,"('38.7665441', '-9.177003')",Carnide,Lisboa,Lisboa
10,image1006,"('38.73234305868907', '-9.179882052284183')",None,Lisboa,Lisboa
11,image1007,"('38.78638497055522', '-9.130889335505106')",None,Lisboa,Sacavém e Prior Velho
12,image1008,"('38.7452703', '-9.1949057')",Benfica,Lisboa,Lisboa
13,image1009,"('38.76600867122635', '-9.19227103487446')",Carnide,Lisboa,Lisboa
14,image101,"('38.7768958', '-9.1763434')",None,Lisboa,Lisboa
15,image1010,"('38.75552804385156', '-9.149467158912639')",São João de Brito,Lisboa,Lisboa
16,image1011,"('38.7337782', '-9.1658066')",Campolide,Lisboa,Lisboa
17,image1012,"('38.73186759001884', '-9.159063310803841')",Campolide,Lisboa,Lisboa
18,image1013,"('38.74771236172261', '-9.15019991354848')",None,Lisboa,Lisboa
19,image1014,"('38.76120366859239', '-9.135915489428452')",São João de Brito,Lisboa,Lisboa
20,image1015,"('38.72496306807523', '-9.154511544692426')",None,Lisboa,Lisboa
21,image1016,"('38.75296407024631', '-9.188250732894584')",Carnide,Lisboa,Lisboa
