dicofre,name,population,n_cycle_roads,length_cycle_roads
110601,AJUDA,15617.0,2,1140.3094913212046
110602,ALCÂNTARA,13943.0,2,7589.482891601116
110607,BEATO,12737.0,1,4187.990979837777
110608,BENFICA,36985.0,11,17354.87505947041
110610,CAMPOLIDE,15460.0,9,10946.255796092863
110611,CARNIDE,19218.0,19,15195.671119279144
110618,LUMIAR,45605.0,17,8356.881461967034
110621,MARVILA,37793.0,29,18889.095185080638
110633,OLIVAIS,33788.0,18,10865.836201603539
110639,SÃO DOMINGOS DE BENFICA,33043.0,10,13341.463966489662
110654,ALVALADE,31813.0,21,10873.177093394313
110655,AREEIRO,20131.0,11,3227.284182346823
110656,ARROIOS,31653.0,8,5521.214499494677
110657,AVENIDAS NOVAS,21625.0,25,16769.66135754952
110658,BELÉM,16528.0,6,10636.591220354476
110659,CAMPO DE OURIQUE,22120.0,0,0.0
110660,ESTRELA,20128.0,3,9823.62766089105
110661,MISERICÓRDIA,13044.0,2,8579.510757032445
110662,PARQUE DAS NAÇÕES,21025.0,28,14661.707295951192
110663,PENHA DE FRANÇA,27967.0,1,4187.990979837777
110664,SANTA CLARA,22480.0,7,1845.8387822715858
110665,SANTA MARIA MAIOR,12822.0,3,3075.2769039125656
110666,SANTO ANTÓNIO,11836.0,2,1413.2161474136178
110667,SÃO VICENTE,15339.0,1,4187.990979837777
