desigcomercial,numbicicletas,numdocasvacias,position,add_data,add_hora
Avenida das Gaivotas - Rua dos Corvos,18,2,"{""coordinates"": [-9.180755, 38.769083], ""type"": ""Point""}",2020-09-24,10:52:51.
203 - Padrão dos Descobrimentos,1,21,"{""coordinates"": [-9.20633, 38.6935], ""type"": ""Point""}",2021-03-25,13:06:27.
407 - Praça Duque de Saldanha,1,16,"{""coordinates"": [-9.14446, 38.73434], ""type"": ""Point""}",2021-05-11,10:48:43.
225 - Martim Moniz,2,14,"{""coordinates"": [-9.13694, 38.71526], ""type"": ""Point""}",2021-05-11,10:48:18.
415 - Av. Duque de Ávila / Av. Conde Valbom,9,11,"{""coordinates"": [-9.148443, 38.735188], ""type"": ""Point""}",2021-05-11,10:48:41.
306 - Avenida da Liberdade / Rua Alexandre Herculano,7,9,"{""coordinates"": [-9.14854, 38.72281], ""type"": ""Point""}",2021-05-11,10:48:16.
462 - Campo Grande / Biblioteca Nacional,11,18,"{""coordinates"": [-9.15031, 38.75027], ""type"": ""Point""}",2021-05-11,10:48:40.
406 - Praça Duque de Saldanha,5,12,"{""coordinates"": [-9.145341, 38.734247], ""type"": ""Point""}",2021-05-11,10:48:38.
216 - Praça D. Luís I,9,12,"{""coordinates"": [-9.14655, 38.70663], ""type"": ""Point""}",2021-05-11,10:48:19.
474 - Av. do Brasil / Av. Rio de Janeiro,6,10,"{""coordinates"": [-9.1409, 38.75832], ""type"": ""Point""}",2021-05-11,10:49:10.
106 - Jardim Garcia da Orta,6,8,"{""coordinates"": [-9.092506, 38.769459], ""type"": ""Point""}",2021-05-11,10:49:14.
478 - Alameda da Universidade / Faculdade de Letras,0,32,"{""coordinates"": [-9.15717, 38.75359], ""type"": ""Point""}",2021-03-01,08:38:01.
479 - Rua Professor Oliveira Marques,0,14,"{""coordinates"": [-9.15724, 38.75491], ""type"": ""Point""}",2021-03-06,10:40:20.
304 - Avenida da Liberdade / São Jorge,5,11,"{""coordinates"": [-9.14637, 38.72026], ""type"": ""Point""}",2021-05-11,10:48:16.
473 - Av. do Brasil / Av. de Roma,6,8,"{""coordinates"": [-9.14697, 38.75643], ""type"": ""Point""}",2021-05-11,10:48:16.
108 - Rua do Bojador,9,6,"{""coordinates"": [-9.09235, 38.774289], ""type"": ""Point""}",2021-05-11,10:48:17.
459 - Rua Maria Amália Vaz de Carvalho / ES Rainha D. Leonor,6,14,"{""coordinates"": [-9.141741, 38.751481], ""type"": ""Point""}",2021-05-11,10:48:42.
419 - Av. António José de Almeida / Instituto Superior Técnico,14,11,"{""coordinates"": [-9.13956, 38.73811], ""type"": ""Point""}",2021-05-11,10:48:43.
452 - Rua Teixeira de Pascoais / Rua Dr. Gama Barros,2,8,"{""coordinates"": [-9.136681, 38.747751], ""type"": ""Point""}",2021-05-11,10:48:18.
471 - Rua Lopes de Mendonça / EB São João de Brito,6,4,"{""coordinates"": [-9.137337, 38.756487], ""type"": ""Point""}",2021-05-11,10:49:08.
412 - Av. Ressano Garcia / Av. António Augusto de Aguiar,0,16,"{""coordinates"": [-9.1546, 38.73448], ""type"": ""Point""}",2021-05-11,10:48:59.
109 - Alameda dos Oceanos / Rua Ilha dos Amores,6,8,"{""coordinates"": [-9.094672, 38.777589], ""type"": ""Point""}",2021-05-11,10:49:08.
110 - Rua de Moscavide,10,8,"{""coordinates"": [-9.097068, 38.778466], ""type"": ""Point""}",2021-05-11,10:48:43.
214 - Largo de Santos,9,15,"{""coordinates"": [-9.15424, 38.70673], ""type"": ""Point""}",2021-05-11,10:49:17.
461 - Rua Professora Teresa Ambrósio,0,32,"{""coordinates"": [-9.155564, 38.749141], ""type"": ""Point""}",2021-03-06,14:00:25.
205 - Av. Brasília / Cordoaria,0,10,"{""coordinates"": [-9.188, 38.697], ""type"": ""Point""}",2021-03-24,10:26:19.
112 - Alameda dos Oceanos / Passeio das Garças,8,6,"{""coordinates"": [-9.09622, 38.78069], ""type"": ""Point""}",2021-05-11,10:48:41.
488 - Rua Fernando Namora / Rua António Quadros,4,16,"{""coordinates"": [-9.17526, 38.76014], ""type"": ""Point""}",2021-05-11,10:48:41.
102 - Porta do Mar,12,3,"{""coordinates"": [-9.096439, 38.759156], ""type"": ""Point""}",2021-05-11,10:48:41.
430 - Av. Barbosa Du Bocage / Rua Arco do Cego,3,17,"{""coordinates"": [-9.14329, 38.74081], ""type"": ""Point""}",2021-05-11,10:48:17.
453 - Av. Roma / Av. EUA,0,14,"{""coordinates"": [-9.14207, 38.74873], ""type"": ""Point""}",2021-05-11,10:48:17.
308 - Marquês de Pombal,8,3,"{""coordinates"": [-9.14969, 38.7246], ""type"": ""Point""}",2021-05-11,10:48:40.
208 - Cais das Pombas,4,18,"{""coordinates"": [-9.14373, 38.70523], ""type"": ""Point""}",2021-05-11,10:48:43.
481 - Campo Grande / Museu da Cidade,8,12,"{""coordinates"": [-9.156169, 38.758207], ""type"": ""Point""}",2021-05-11,10:48:16.
421 - Alameda D. Afonso Henriques,2,18,"{""coordinates"": [-9.13416, 38.73736], ""type"": ""Point""}",2021-05-11,10:48:16.
487 - Rua Professor João Barreira,6,8,"{""coordinates"": [-9.17096, 38.76136], ""type"": ""Point""}",2021-05-11,10:48:39.
408 - Praça Duque de Saldanha,6,4,"{""coordinates"": [-9.144117, 38.733749], ""type"": ""Point""}",2021-05-11,10:48:15.
417 - Av. Duque de Ávila / Jardim Arco Do Cego,6,17,"{""coordinates"": [-9.142703, 38.735352], ""type"": ""Point""}",2021-05-11,10:48:59.
