orig_dicofre,dest_dicofre,travel_bike,travel_car,travel_other,travel_total,orig_name,dest_name
110601,110601,13.0,188.0,117.0,940.0,Ajuda,Ajuda
110602,110601,3.0,206.0,236.0,765.0,AlcÃ¢ntara,Ajuda
110607,110601,0.0,0.0,5.0,5.0,Beato,Ajuda
110608,110601,0.0,118.0,22.0,151.0,Benfica,Ajuda
110610,110601,0.0,53.0,62.0,115.0,Campolide,Ajuda
110611,110601,0.0,27.0,10.0,38.0,Carnide,Ajuda
110618,110601,0.0,30.0,0.0,30.0,Lumiar,Ajuda
110621,110601,0.0,33.0,289.0,322.0,Marvila,Ajuda
110633,110601,0.0,25.0,4.0,29.0,Olivais,Ajuda
110639,110601,0.0,112.0,33.0,145.0,SÃ£o Domingos de Benfica,Ajuda
110654,110601,0.0,57.0,30.0,87.0,Alvalade,Ajuda
110655,110601,3.0,299.0,35.0,337.0,Areeiro,Ajuda
110656,110601,0.0,20.0,22.0,44.0,Arroios,Ajuda
110657,110601,3.0,948.0,1596.0,3689.0,Avenidas Novas,Ajuda
110658,110601,0.0,245.0,74.0,494.0,BelÃ©m,Ajuda
110659,110601,0.0,10.0,0.0,80.0,Campo de Ourique,Ajuda
110660,110601,0.0,82.0,20.0,125.0,Estrela,Ajuda
110661,110601,0.0,28.0,71.0,99.0,MisericÃ³rdia,Ajuda
110662,110601,0.0,45.0,20.0,64.0,Parque das NaÃ§Ãµes,Ajuda
110663,110601,0.0,7.0,21.0,27.0,Penha de FranÃ§a,Ajuda
110664,110601,0.0,113.0,0.0,113.0,Santa Clara,Ajuda
110665,110601,28.0,11.0,52.0,98.0,Santa Maria Maior,Ajuda
110666,110601,0.0,54.0,21.0,83.0,Santo AntÃ³nio,Ajuda
110667,110601,0.0,0.0,3.0,6.0,SÃ£o Vicente,Ajuda
110601,110602,3.0,173.0,231.0,811.0,Ajuda,AlcÃ¢ntara
110602,110602,3.0,756.0,1637.0,11544.0,AlcÃ¢ntara,AlcÃ¢ntara
110607,110602,0.0,274.0,23.0,297.0,Beato,AlcÃ¢ntara
110608,110602,0.0,264.0,132.0,405.0,Benfica,AlcÃ¢ntara
110610,110602,0.0,192.0,164.0,360.0,Campolide,AlcÃ¢ntara
110611,110602,0.0,211.0,3.0,231.0,Carnide,AlcÃ¢ntara
110618,110602,0.0,827.0,62.0,931.0,Lumiar,AlcÃ¢ntara
110621,110602,0.0,3.0,288.0,291.0,Marvila,AlcÃ¢ntara
110633,110602,0.0,76.0,160.0,235.0,Olivais,AlcÃ¢ntara
110639,110602,0.0,205.0,31.0,258.0,SÃ£o Domingos de Benfica,AlcÃ¢ntara
110654,110602,18.0,325.0,50.0,398.0,Alvalade,AlcÃ¢ntara
110655,110602,13.0,104.0,91.0,219.0,Areeiro,AlcÃ¢ntara
110656,110602,0.0,150.0,216.0,372.0,Arroios,AlcÃ¢ntara
110657,110602,96.0,418.0,247.0,1799.0,Avenidas Novas,AlcÃ¢ntara
110658,110602,3.0,1086.0,150.0,1340.0,BelÃ©m,AlcÃ¢ntara
110659,110602,0.0,188.0,53.0,306.0,Campo de Ourique,AlcÃ¢ntara
110660,110602,0.0,1155.0,447.0,1870.0,Estrela,AlcÃ¢ntara
110661,110602,0.0,360.0,551.0,921.0,MisericÃ³rdia,AlcÃ¢ntara
110662,110602,0.0,47.0,227.0,293.0,Parque das NaÃ§Ãµes,AlcÃ¢ntara
110663,110602,0.0,32.0,454.0,486.0,Penha de FranÃ§a,AlcÃ¢ntara
110664,110602,0.0,0.0,2.0,2.0,Santa Clara,AlcÃ¢ntara
110665,110602,0.0,37.0,958.0,1006.0,Santa Maria Maior,AlcÃ¢ntara
110666,110602,0.0,193.0,335.0,555.0,Santo AntÃ³nio,AlcÃ¢ntara
110667,110602,0.0,43.0,0.0,43.0,SÃ£o Vicente,AlcÃ¢ntara
110601,110607,0.0,41.0,24.0,64.0,Ajuda,Beato
110602,110607,0.0,0.0,23.0,23.0,AlcÃ¢ntara,Beato
110607,110607,0.0,0.0,38.0,796.0,Beato,Beato
110608,110607,0.0,9.0,25.0,34.0,Benfica,Beato
110610,110607,0.0,304.0,0.0,304.0,Campolide,Beato
110611,110607,0.0,18.0,0.0,18.0,Carnide,Beato
110618,110607,0.0,28.0,290.0,332.0,Lumiar,Beato
110621,110607,0.0,1845.0,135.0,2598.0,Marvila,Beato
110633,110607,0.0,342.0,18.0,359.0,Olivais,Beato
110639,110607,0.0,45.0,289.0,334.0,SÃ£o Domingos de Benfica,Beato
110654,110607,0.0,168.0,106.0,325.0,Alvalade,Beato
110655,110607,0.0,84.0,388.0,2790.0,Areeiro,Beato
110656,110607,0.0,51.0,704.0,821.0,Arroios,Beato
110657,110607,0.0,349.0,354.0,741.0,Avenidas Novas,Beato
110658,110607,0.0,16.0,3.0,21.0,BelÃ©m,Beato
110659,110607,0.0,0.0,8.0,19.0,Campo de Ourique,Beato
110660,110607,0.0,0.0,293.0,293.0,Estrela,Beato
110661,110607,0.0,37.0,98.0,409.0,MisericÃ³rdia,Beato
110662,110607,0.0,956.0,728.0,1684.0,Parque das NaÃ§Ãµes,Beato
110663,110607,0.0,67.0,1144.0,1842.0,Penha de FranÃ§a,Beato
110665,110607,0.0,308.0,65.0,381.0,Santa Maria Maior,Beato
110666,110607,0.0,101.0,293.0,404.0,Santo AntÃ³nio,Beato
110667,110607,0.0,274.0,16.0,298.0,SÃ£o Vicente,Beato
110601,110608,0.0,139.0,377.0,524.0,Ajuda,Benfica
110602,110608,0.0,613.0,60.0,997.0,AlcÃ¢ntara,Benfica
110607,110608,0.0,61.0,25.0,86.0,Beato,Benfica
110608,110608,0.0,7910.0,3164.0,28740.0,Benfica,Benfica
110610,110608,0.0,475.0,583.0,1105.0,Campolide,Benfica
110611,110608,0.0,2177.0,248.0,3555.0,Carnide,Benfica
110618,110608,27.0,1659.0,666.0,2526.0,Lumiar,Benfica
110621,110608,0.0,264.0,33.0,297.0,Marvila,Benfica
110633,110608,0.0,116.0,101.0,270.0,Olivais,Benfica
110639,110608,0.0,1381.0,561.0,3858.0,SÃ£o Domingos de Benfica,Benfica
110654,110608,0.0,1278.0,257.0,1640.0,Alvalade,Benfica
110655,110608,0.0,615.0,94.0,788.0,Areeiro,Benfica
110656,110608,0.0,281.0,407.0,822.0,Arroios,Benfica
110657,110608,14.0,517.0,1544.0,2296.0,Avenidas Novas,Benfica
110658,110608,0.0,346.0,403.0,824.0,BelÃ©m,Benfica
110659,110608,0.0,178.0,18.0,206.0,Campo de Ourique,Benfica
110660,110608,0.0,125.0,32.0,192.0,Estrela,Benfica
110661,110608,0.0,78.0,81.0,188.0,MisericÃ³rdia,Benfica
110662,110608,0.0,169.0,83.0,275.0,Parque das NaÃ§Ãµes,Benfica
110663,110608,0.0,148.0,464.0,612.0,Penha de FranÃ§a,Benfica
110664,110608,0.0,20.0,0.0,92.0,Santa Clara,Benfica
110665,110608,0.0,234.0,312.0,546.0,Santa Maria Maior,Benfica
110666,110608,0.0,207.0,468.0,718.0,Santo AntÃ³nio,Benfica
110667,110608,0.0,12.0,33.0,61.0,SÃ£o Vicente,Benfica
110601,110610,0.0,49.0,64.0,112.0,Ajuda,Campolide
110602,110610,0.0,311.0,174.0,488.0,AlcÃ¢ntara,Campolide
110607,110610,0.0,293.0,0.0,293.0,Beato,Campolide
110608,110610,0.0,138.0,905.0,1123.0,Benfica,Campolide
110610,110610,0.0,4330.0,594.0,11144.0,Campolide,Campolide
110611,110610,0.0,346.0,12.0,359.0,Carnide,Campolide
110618,110610,0.0,2682.0,87.0,2837.0,Lumiar,Campolide
110621,110610,0.0,63.0,21.0,84.0,Marvila,Campolide
110633,110610,0.0,538.0,113.0,650.0,Olivais,Campolide
110639,110610,0.0,970.0,1646.0,2850.0,SÃ£o Domingos de Benfica,Campolide
110654,110610,91.0,489.0,1422.0,2148.0,Alvalade,Campolide
110655,110610,0.0,187.0,639.0,1206.0,Areeiro,Campolide
110656,110610,0.0,234.0,243.0,558.0,Arroios,Campolide
110657,110610,18.0,2102.0,346.0,2981.0,Avenidas Novas,Campolide
110658,110610,0.0,126.0,27.0,188.0,BelÃ©m,Campolide
110659,110610,0.0,586.0,89.0,2828.0,Campo de Ourique,Campolide
110660,110610,0.0,305.0,524.0,927.0,Estrela,Campolide
110661,110610,0.0,886.0,1216.0,2123.0,MisericÃ³rdia,Campolide
110662,110610,0.0,153.0,431.0,585.0,Parque das NaÃ§Ãµes,Campolide
110663,110610,0.0,113.0,55.0,168.0,Penha de FranÃ§a,Campolide
110664,110610,0.0,39.0,0.0,39.0,Santa Clara,Campolide
110665,110610,0.0,24.0,600.0,1115.0,Santa Maria Maior,Campolide
110666,110610,0.0,969.0,1381.0,5072.0,Santo AntÃ³nio,Campolide
110667,110610,0.0,58.0,75.0,132.0,SÃ£o Vicente,Campolide
110601,110611,0.0,54.0,7.0,61.0,Ajuda,Carnide
110602,110611,0.0,558.0,0.0,661.0,AlcÃ¢ntara,Carnide
110607,110611,0.0,18.0,0.0,18.0,Beato,Carnide
110608,110611,0.0,2181.0,372.0,3535.0,Benfica,Carnide
110610,110611,0.0,749.0,12.0,761.0,Campolide,Carnide
110611,110611,63.0,2116.0,1005.0,4795.0,Carnide,Carnide
110618,110611,0.0,1064.0,427.0,2079.0,Lumiar,Carnide
110621,110611,0.0,1183.0,602.0,1785.0,Marvila,Carnide
110633,110611,0.0,71.0,0.0,71.0,Olivais,Carnide
110639,110611,21.0,1798.0,154.0,2455.0,SÃ£o Domingos de Benfica,Carnide
110654,110611,18.0,1321.0,508.0,1914.0,Alvalade,Carnide
110655,110611,0.0,102.0,209.0,312.0,Areeiro,Carnide
