Green_Zone_name,Number of Museums in influence area,Number of parking lots in influence area,Number of tourist attractions in influence area,Green Zones Daily Average Demand,Resident,Daily average of people in influence area,Number of buildings in influence area,Number of families in influence area,Number of people resident in influence area,perc_senior_pop,perc_pop_until_19_yo,POINT_X,POINT_Y,area_ha,quiosque,fitness,restaurante,esplanada,parque_canino,parque_infantil,parque_merendas,estatuaria,lago
ESPAÇO JOGO E RECREIO HOMEM DO LEME,5,28,30,3.728677,1,17780.803013999997,4783,15352,38012,0.195123,0.196017,-8.68415,41.16001,,,,,,,,,,
ESPAÇO JOGO E RECREIO HOMEM DO LEME,5,28,30,3.728677,0,45787.629298,4783,15352,38012,0.195123,0.196017,-8.68415,41.16001,,,,,,,,,,
JARDIM AFONSO DE ALBUQUERQUE,93,129,78,10.259113000000001,0,42877.741202,1775,17185,41163,0.161747,0.20491700000000002,-9.199489999999999,38.696740000000005,"1,4 ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JARDIM AFONSO DE ALBUQUERQUE,93,129,78,10.259113000000001,1,17497.825376,1775,17185,41163,0.161747,0.20491700000000002,-9.199489999999999,38.696740000000005,"1,4 ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JARDIM ALAMEDA CIDADE UNIVERSITÁRIA,8,23,4,47.347815999999995,0,42877.741202,1775,17185,41163,0.161747,0.20491700000000002,-9.15757,38.75294,,,,,,,,,,
JARDIM ALAMEDA CIDADE UNIVERSITÁRIA,8,23,4,47.347815999999995,1,17497.825376,1775,17185,41163,0.161747,0.20491700000000002,-9.15757,38.75294,,,,,,,,,,
JARDIM ALAMEDA DOM AFONSO HENRIQUES,105,175,84,41.485945,0,6008.626849,5028,10598,27362,0.161501,0.209341,-9.13207,38.73757,"3,3 ",1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
JARDIM ALAMEDA DOM AFONSO HENRIQUES,105,175,84,41.485945,1,17235.051456999998,5028,10598,27362,0.161501,0.209341,-9.13207,38.73757,"3,3 ",1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
JARDIM AMÁLIA RODRIGUES,8,8,4,5.768512,0,32809.647241000006,2472,6729,15460,0.240815,0.163131,-9.154589999999999,38.73062,"5,7 ",0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0
JARDIM AMÁLIA RODRIGUES,8,8,4,5.768512,1,7104.740926,2472,6729,15460,0.240815,0.163131,-9.154589999999999,38.73062,"5,7 ",0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0
JARDIM AMÉLIA CARVALHEIRA,104,139,72,57.137086,0,491.636442,2041,4529,12701,0.104874,0.260294,-9.15018,38.73919,"0,2 ",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
JARDIM AMÉLIA CARVALHEIRA,104,139,72,57.137086,1,9928.080489,2041,4529,12701,0.104874,0.260294,-9.15018,38.73919,"0,2 ",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
JARDIM ANTÓNIO NOBRE,93,79,50,4.468216,0,42877.741202,1775,17185,41163,0.161747,0.20491700000000002,-9.14454,38.71502,"0,65",1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
JARDIM ANTÓNIO NOBRE,93,79,50,4.468216,1,17497.825376,1775,17185,41163,0.161747,0.20491700000000002,-9.14454,38.71502,"0,65",1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
JARDIM AVELAR BROTERO,10,3,3,2.669232,0,4306.692559,2837,6982,15584,0.295239,0.157662,-9.1843,38.70389,"0,4 ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
JARDIM AVELAR BROTERO,10,3,3,2.669232,1,1485.605277,2837,6982,15584,0.295239,0.157662,-9.1843,38.70389,"0,4 ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
JARDIM BASÍLIO TELES,38,112,65,640.4735519999999,1,41788.185885,9171,19608,50713,0.15852,0.202769,-8.683069999999999,41.18237,,,,,,,,,,
JARDIM BASÍLIO TELES,38,112,65,640.4735519999999,0,41882.736602,9171,19608,50713,0.15852,0.202769,-8.683069999999999,41.18237,,,,,,,,,,
JARDIM BENTO MARTINS,5,10,5,13.560460999999998,0,42877.741202,1775,17185,41163,0.161747,0.20491700000000002,-9.18699,38.75755,"0,3 ",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
JARDIM BENTO MARTINS,5,10,5,13.560460999999998,1,17497.825376,1775,17185,41163,0.161747,0.20491700000000002,-9.18699,38.75755,"0,3 ",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
