name,category,point_x,point_y,description,is_municipal,details_str,area_ha,quiosque,restaurante,esplanada,fitness,parque_infantil,parque_merendas,estatuaria,parque_canino,lago
Parque da Tapada da Ajuda ,Espaços Verdes e Lazer - Jardins / Parques Urbanos,-9.186534,38.71252,"a sua génese remonta a 1645 como tapada real de alcântara, quando o rei d. joão iv assim o determinou. depois da mudança de residência dos reis para os altos da ajuda, após o terramoto de 1755, passou a designar-se por tapada da ajuda. em tempos parque de caça e logradouro da família real, é atualmente um dos mais bonitos e frondosos parques botânicos de lisboa. possui diversos espaços verdes e infraestruturas abertas ao público, incluindo uma reserva botânica reconhecida internacionalmente pela sua floresta única de zambujeiros. este espaço, atualmente gerido pelo instituto superior de agronomia, aí instalado, é pontuado por alguns dos melhores exemplos de arquitetura civil da segunda metade do séc. xix, nomeadamente o pavilhão de exposições e o observatório astronómico de lisboa. a tapada da ajuda (conjunto intramuros) encontra-se classificada como imóvel de interesse público.

área: 100 ha

",1,área: 100 ha,100 ,0,0,0,0,0,0,0,0,0
Jardim Fialho de Almeida,Espaços Verdes e Lazer - Jardins / Parques Urbanos,-9.151643,38.715059,"pequena praça conhecida por praça das flores, mas também designada de jardim fialho de almeida, em homenagem ao escritor. 

área: 0,15 ha
equipamentos: quiosque com esplanada; parque infantil; lago
horário: 24 horas",1,"área: 0,15 ha
equipamentos: quiosque com esplanada; parque infantil; lago
horário: 24 horas","0,15 ",1,0,1,0,1,0,0,0,1
Jardim Botto Machado / Jardim de Santa Clara,Espaços Verdes e Lazer - Jardins / Parques Urbanos,-9.124189,38.715937,"pequeno espaço verde municipal, gradeado e com ruas asfaltadas com um estrato arbustivo e arbóreo bem desenvolvido. também conhecido como jardim de santa clara, foi construído em 1862, tendo mais tarde sofrido obras de beneficiação e passado para posse da cml em 1927. batizado com o nome de botto machado em homenagem ao político português pedro de amaral botto machado. é sobretudo conhecido por se inserir na zona onde atualmente se realiza a feira da ladra.	

área: 0,5 ha 
equipamentos: quiosque com esplanada; parque infantil;
horário: 24 horas
",1,"área: 0,5 ha 
equipamentos: quiosque com esplanada; parque infantil;
horário: 24 horas
","0,5  ",1,0,1,0,1,0,0,0,0
Parque José Gomes Ferreira - Mata de Alvalade,Espaços Verdes e Lazer - Jardins / Parques Urbanos,-9.132082,38.758482,"integrado na estrutura verde principal da cidade de lisboa, o parque josé gomes ferreira, ou mata de alvalade como é vulgarmente conhecido, funciona, pela sua localização e características, como um excelente local de descontração e lazer bem no centro da cidade. assim denominado em homenagem ao escritor e poeta, (1900-1985), o parque situa-se em terrenos que outrora foram antigas quintas, como as quintas de alvalade, charca e narigão. a quinta do narigão, prolongamento da mata de alvalade, foi alvo de obra de reabilitação e encontra-se aberta ao público. a mata é composta por uma zona densamente arborizada, com bastante vegetação nativa, com um estrato arbustivo bem desenvolvidos e uma clareira na zona de vale. para além da flora variada, esta mata serve de refúgio a várias espécies de aves. em 1951 a mata foi objeto de arranjo sendo o projeto do arquiteto paisagista gonçalo ribeiro telles. 

área: 11ha
equipamentos: parque de merendas; crcuito de manutenção; rede de caminhos pedonais; parque infantil; quiosque com esplanada; grelhadores; pista ciclável
horário: 24h
",1,"área: 11ha
equipamentos: parque de merendas; crcuito de manutenção; rede de caminhos pedonais; parque infantil; quiosque com esplanada; grelhadores; pista ciclável
horário: 24h
",11,1,0,1,0,1,1,0,0,0
Jardim Vasco da Gama,Espaços Verdes e Lazer - Jardins / Parques Urbanos,-9.203221,38.696281,"construído nos anos oitenta do século xx, projeto do arquiteto antónio saraiva, em homenagem ao grande navegador português vasco da gama que, em 1498, descobriu o caminho marítimo para a índia. situa-se na rua vieira portuense, num dos mais antigos conjuntos urbanos de lisboa, de conceção medieval. dispõe de amplos relvados.

área: 4,2 ha
equipamentos: equipamentos de fitness; estatuária; parque infantil e sala thai ¿ pavilhão tailandês
horário: 24 horas",0,"área: 4,2 ha
equipamentos: equipamentos de fitness; estatuária; parque infantil e sala thai ¿ pavilhão tailandês
horário: 24 horas","4,2 ",0,0,0,1,1,0,1,0,0
Parque da Mata de Madre de Deus,Espaços Verdes e Lazer - Jardins / Parques Urbanos,-9.11587,38.732703,"na zona adjacente ao bairro da madre de deus alguns terrenos baldios, que pela sua natureza agreste não foram urbanizados, ficaram votados ao abandono durante anos até serem recuperados e transformados pelo município na mata da madre de deus. com uma mata densa, aqui poderá desfrutar de amplas sombras ou poderá ver, nas zonas mais baixas ou entre as árvores, a zona do alto do pina e do cemitério do alto de são joão, recortados a meio pelo vale de chelas. 

área: 4ha
equipamentos: w.c; mesas de merenda; anfiteatro; polidesportivo; parque infantil; quiosque com esplanada; equipamentos de fitness
horário: 24 horas",1,"área: 4ha
equipamentos: w.c; mesas de merenda; anfiteatro; polidesportivo; parque infantil; quiosque com esplanada; equipamentos de fitness
horário: 24 horas",4,1,0,1,1,1,0,0,0,0
Jardim Zoológico de Lisboa,Espaços Verdes e Lazer - Jardins / Parques Urbanos,-9.170644,38.744885,"localizado no centro de lisboa, tem mais de 2000 animais e de 360 espécies diferentes, e muitas atrações tudo num só bilhete: baía dos golfinhos, teleférico, a quintinha, o reptilário, a alimentação de leões marinhos e pelicanos, o bosque encantado - apresentação de aves em voo livre, cobras & lagartos e o comboio do zoo.

horário: 
verão: das 10h00 às 20h00 
inverno: das 10h00 às 18h00",0,"horário: 
verão: das 10h00 às 20h00 
inverno: das 10h00 às 18h00",o: ,0,0,0,0,0,0,0,0,0
Jardim da Quinta de Santa Clara ,Espaços Verdes e Lazer - Jardins / Parques Urbanos,-9.161588,38.780181,"antiga quinta de recreio do século xviii, foi doada à câmara municipal de lisboa, entre 1974-1977 e depois recuperada e classificada como jardim público. posteriormente, procederam-se a várias reformas, tentando seguir a sua traça original: o estilo barroco. possui muito interesse do ponto de vista artístico, onde se destaca um painel de azulejo com a figura de d. celeste tavares de carvalho. alvo de obras de remodelação recentes, que incluíram a instalação de um quiosque e a construção de um parque infantil.

área: 1,8 ha
equipamentos: quiosque com esplanada; parque infantil; painel de azulejos
horário: 
abril - setembro: das 06h00 à 01h00 
outubro a março: das 06h00 às 23h00

",1,"área: 1,8 ha
equipamentos: quiosque com esplanada; parque infantil; painel de azulejos
horário: 
abril - setembro: das 06h00 à 01h00 
outubro a março: das 06h00 às 23h00","1,8 ",1,0,1,0,1,0,0,0,0
Jardins da Água - Parque das Nações,Espaços Verdes e Lazer - Jardins / Parques Urbanos,-9.093096,38.761448,"integrado no parque das nações, na frente ribeirinha do estuário do rio tejo, situa-se entre o teatro camões e o oceanário de lisboa. acompanhando um curso de água central, o visitante irá deambular por entre várias componentes de uma bacia hidrográfica natural: o glaciar, a corrente, o lago artificial, os meandros e o estuário. a sequência dos jardins da água é na direção poente-nascente, com a seguinte constituição: jardim das palmeiras, pomar do mediterrâneo, lago ulisses, edifício da cascata, jardim hidráulico e jardim das ondas.

área: 0,5 ha 
horário: 24 horas",1,"área: 0,5 ha 
horário: 24 horas","0,5  ",0,0,0,0,0,0,0,0,1
Eucaliptal de Benfica,Espaços Verdes e Lazer - Jardins / Parques Urbanos,-9.199671,38.755086,"o jardim do eucaliptal de benfica integrava a extensa e frondosa mata da quinta das palmeiras de guerreiro galla e foi um dos principais pulmões da freguesia de benfica. a junta de freguesia tem dinamizado o espaço com eventos variados.

área: 1,1 ha
equipamentos: parque infantil
horário: 24 h
",1,"área: 1,1 ha
equipamentos: parque infantil
horário: 24 h
","1,1 ",0,0,0,0,1,0,0,0,0
"Jardim Central Tejo - MAAT - Museu de Arte, Arquitetura e Tecnologia",Espaços Verdes e Lazer - Jardins / Parques Urbanos,-9.196443,38.695949,"este jardim serve de enquadramento ao edifício da central tejo, uma central termoelétrica, propriedade das companhias reunidas de gás e eletricidade, que abasteceu de eletricidade, toda a cidade e região de lisboa. 

área: 0,7 ha
equipamentos: aparelhos de fitness
horário: 24 horas",1,"área: 0,7 ha
equipamentos: aparelhos de fitness
horário: 24 horas","0,7 ",0,0,0,1,0,0,0,0,0
Jardim Pulido Garcia,Espaços Verdes e Lazer - Jardins / Parques Urbanos,-9.207658,38.706721,"pequeno jardim situado na avenida ilha da madeira, em são francisco xavier. a cml prestou homenagem a josé pulido garcia, engenheiro agrónomo e silvicultor, funcionário desta autarquia, atribuindo o seu nome a um jardim da cidade.

área: 0,6 ha
horário: 24 horas
",1,"área: 0,6 ha
horário: 24 horas
","0,6 ",0,0,0,0,0,0,0,0,0
Jardim Prof. António de Sousa Franco - Jardim da Urbanização da Aldeia de Telheiras,Espaços Verdes e Lazer - Jardins / Parques Urbanos,-9.167274,38.760227,"inaugurado em 2008, este jardim cujo nome representa uma pequena homenagem ao professor de direito, estadista e jurisconsulto, situa-se junto ao metro de telheiras.

horário: 24 horas",1,horário: 24 horas,o: 24 horas,0,0,0,0,0,0,0,0,0
Jardim Irmã Lúcia,Espaços Verdes e Lazer - Jardins / Parques Urbanos,-9.138323,38.741219,"espaço verde situado em frente à igreja são joão de deus.

área: 5,5 ha
equipamentos: estatuária; parque infantil
horário: 24 horas",1,"área: 5,5 ha
equipamentos: estatuária; parque infantil
horário: 24 horas","5,5 ",0,0,0,0,1,0,1,0,0
