,PanelID,X,Y,Max_Visibi,Average_Da,freguesia,concelho,distrito
0,3,-8.501357,40.126293,180,3032.0,Condeixa-a-Nova,Condeixa-A-Nova,Coimbra
1,4,-9.103966,38.808856,180,22893.0,Bobadela,Loures,Lisbon
2,5,-8.622777,41.241615,180,20946.0,Maia,Maia,Porto
3,6,-9.166976,38.647052,180,8443.0,Corroios,Seixal,Setubal
4,7,-8.501363,40.126291,180,2264.0,Condeixa-a-Nova,Condeixa-A-Nova,Coimbra
5,8,-9.103967,38.808854,180,8894.0,Bobadela,Loures,Lisbon
6,9,-8.622777,41.241611,180,14633.0,Maia,Maia,Porto
7,10,-9.166975,38.647051,180,16854.0,Corroios,Seixal,Setubal
8,11,-9.02617,38.914507,180,16711.0,Sobralinho,Vila Franca de Xira,Lisbon
9,12,-9.03995,38.578221,180,4742.0,Santo Antonio da Charneca,Barreiro,Setubal
10,13,-8.57519,41.22081,180,7154.0,Milheiros,Maia,Porto
11,14,-9.026172,38.914506,180,17770.0,Sobralinho,Vila Franca de Xira,Lisbon
12,15,-9.039943,38.578221,180,11224.0,Santo Antonio da Charneca,Barreiro,Setubal
13,16,-8.575191,41.220806,180,5364.0,Milheiros,Maia,Porto
14,18,-9.119019,38.796014,180,21489.0,Sacavem,Loures,Lisbon
15,19,-8.57731,41.212608,180,3000.0,Aguas Santas,Maia,Porto
16,20,-9.145386,38.63099,180,7491.0,Corroios,Seixal,Setubal
17,22,-9.119027,38.796016,180,11090.0,Sacavem,Loures,Lisbon
18,23,-8.577312,41.212608,180,19025.0,Aguas Santas,Maia,Porto
19,24,-9.145385,38.630989,180,30313.0,Corroios,Seixal,Setubal
20,25,-8.73016,39.262903,180,10721.0,Santarem,Santarem,Santarem
21,26,-9.111269,38.787187,180,10873.0,Sacavem,Loures,Lisbon
22,27,-8.689868,41.204368,180,3743.0,Leca da Palmeira,Matosinhos,Porto
23,28,-8.730171,39.26289,180,8863.0,Santarem,Santarem,Santarem
24,29,-9.111289,38.787195,180,21457.0,Sacavem,Loures,Lisbon
25,30,-8.689869,41.204376,180,21321.0,Leca da Palmeira,Matosinhos,Porto
26,31,-8.676582,39.308127,180,11003.0,Santarem,Santarem,Santarem
27,33,-8.502016,41.196457,180,14809.0,Valongo,Valongo,Porto
28,34,-8.676584,39.308125,180,15351.0,Santarem,Santarem,Santarem
29,35,-9.115445,38.789662,180,14927.0,Sacavem,Loures,Lisbon
30,36,-8.50201,41.196456,180,7891.0,Valongo,Valongo,Porto
31,38,-8.592359,41.192752,180,11358.0,Pedroucos,Maia,Porto
32,40,-8.592355,41.192752,180,9253.0,Pedroucos,Maia,Porto
33,43,-8.590715,41.193992,180,10033.0,Pedroucos,Maia,Porto
34,44,-8.231496,37.830861,180,2879.0,Aljustrel,Aljustrel,Beja
35,47,-8.59072,41.193987,180,9776.0,Pedroucos,Maia,Porto
36,48,-8.231499,37.830854,180,764.0,Aljustrel,Aljustrel,Beja
37,51,-8.592872,41.183076,180,12414.0,Pedroucos,Maia,Porto
38,52,-8.300444,37.127951,162,3545.0,Guia,Albufeira,Faro
39,55,-8.592872,41.18307,180,11647.0,Pedroucos,Maia,Porto
40,56,-8.300456,37.12795,162,18031.0,Guia,Albufeira,Faro
41,58,-9.128074,38.800185,180,9941.0,Camarate,Loures,Lisbon
42,59,-9.167539,38.649347,180,9873.0,Corroios,Seixal,Setubal
43,61,-9.12807,38.800184,180,14876.0,Camarate,Loures,Lisbon
44,62,-9.167538,38.649344,180,19232.0,Corroios,Seixal,Setubal
45,63,-8.96702,39.009347,180,3204.0,Carregado,Alenquer,Lisbon
