WKT;ADDRESS;OPEN YEAR;OPEN MONTH;TYPE;Description;Merchandise Type
POINT (1396322.217 4990301.69);VIA CLAUDIO LUIGI BERTHOLLET 24;1977;1;EXTRALIMENTARI;PICCOLE STRUTTURE;Extralimentari
POINT (1396322.217 4990301.69);VIA CLAUDIO LUIGI BERTHOLLET 24;1985;6;ALIMENTARI;PICCOLE STRUTTURE;Panificio
POINT (1396303.762 4990325.001);VIA CLAUDIO LUIGI BERTHOLLET 25/F;2017;9;ALTRO;DIA di somministrazione;Nessuna
POINT (1396434.395 4990540.6);CORSO VITTORIO EMANUELE II 21/A;2013;10;ALTRO;DIA di somministrazione;Nessuna
POINT (1396434.395 4990540.6);CORSO VITTORIO EMANUELE II 21/A;2009;2;ALTRO;DIA di somministrazione;Nessuna
POINT (1396346.317 4990465.903);VIA PRINCIPE TOMMASO 3/G;2012;11;ALTRO;Somministrazione;Nessuna
POINT (1396323.163 4990446.922);VIA PRINCIPE TOMMASO 6/E;2016;4;.;Somministrazione;Nessuna
POINT (1396326.293 4990453.035);VIA PRINCIPE TOMMASO 6;1998;5;ALTRO;DIA di somministrazione;Nessuna
POINT (1396009.149 4990467.107);VIA CLAUDIO LUIGI BERTHOLLET 2/G;2017;3;MISTA;PICCOLE STRUTTURE;Gastronomia
POINT (1396357.532 4990581.082);CORSO VITTORIO EMANUELE II 25/G;2017;4;EXTRALIMENTARI;PICCOLE STRUTTURE;Mobili
POINT (1396304.914 4990384.561);VIA PRINCIPE TOMMASO 9;2017;5;.;Acconciatori/estetisti;Nessuna
POINT (1396009.149 4990467.107);VIA CLAUDIO LUIGI BERTHOLLET 2/G;2017;3;MISTA;PICCOLE STRUTTURE;Extralimentari
POINT (1396357.532 4990581.082);CORSO VITTORIO EMANUELE II 25/G;2007;2;EXTRALIMENTARI;PICCOLE STRUTTURE;Mobili
POINT (1396299.102 4990373.548);VIA PRINCIPE TOMMASO 11/B;2013;4;.;Somministrazione;Nessuna
POINT (1396038.558 4990465.054);VIA CLAUDIO LUIGI BERTHOLLET 3/G;2015;8;.;Somministrazione;Nessuna
POINT (1396368.751 4990575.145);CORSO VITTORIO EMANUELE II 25;1989;7;EXTRALIMENTARI;PICCOLE STRUTTURE;Extralimentari
POINT (1396022.809 4990459.897);VIA CLAUDIO LUIGI BERTHOLLET 4/C;2018;1;MISTA;PICCOLE STRUTTURE;Mista
POINT (1396022.809 4990459.897);VIA CLAUDIO LUIGI BERTHOLLET 4/C;2016;5;ALIMENTARI;PICCOLE STRUTTURE;Alimentari
POINT (1396342.72 4990588.919);CORSO VITTORIO EMANUELE II 27/C;1986;11;EXTRALIMENTARI;PICCOLE STRUTTURE;Extralimentari
POINT (1396022.809 4990459.897);VIA CLAUDIO LUIGI BERTHOLLET 4/C;2014;3;EXTRALIMENTARI;PICCOLE STRUTTURE;Telefonia
POINT (1396019.579 4990461.602);VIA CLAUDIO LUIGI BERTHOLLET 4;2002;11;ALTRO;Somministrazione;Nessuna
POINT (1396124.141 4990471.098);VIA GOITO 15;2004;7;EXTRALIMENTARI;PICCOLE STRUTTURE;Extralimentari
POINT (1396019.579 4990461.602);VIA CLAUDIO LUIGI BERTHOLLET 4;2017;3;MISTA;PICCOLE STRUTTURE;Alimentari
POINT (1396278.575 4990546.133);PIAZZETTA LEVI PRIMO 9/B;2001;10;MISTA;PICCOLE STRUTTURE;Erboristeria
POINT (1396005.771 4990345.631);VIA SALUZZO 32;2017;3;MISTA;PICCOLE STRUTTURE;Alimentari
