date (UTC),time (UTC),mean,number of points,filtered mean,filtered number of points
12-10-2020,00:00:00,33.7,3599,,0
12-10-2020,01:00:00,33.6,3600,,0
12-10-2020,02:00:00,33.8,3600,,0
12-10-2020,03:00:00,34.7,3600,,0
12-10-2020,04:00:00,36.1,3600,,0
12-10-2020,05:00:00,38.3,3600,,0
12-10-2020,06:00:00,48.1,3600,,0
12-10-2020,07:00:00,61.2,1617,,0
12-10-2020,09:00:00,75.9,340,,0
12-10-2020,10:00:00,65.5,3600,,0
12-10-2020,11:00:00,65.9,3600,,0
12-10-2020,12:00:00,66.3,3600,,0
12-10-2020,13:00:00,63.9,3600,,0
12-10-2020,14:00:00,64.3,3600,,0
12-10-2020,15:00:00,65.1,3600,,0
12-10-2020,16:00:00,69.3,3600,,0
12-10-2020,17:00:00,70.5,3600,,0
12-10-2020,18:00:00,69.3,3600,,0
12-10-2020,19:00:00,66.1,3600,,0
12-10-2020,20:00:00,66.4,3600,,0
12-10-2020,21:00:00,66.4,3600,,0
12-10-2020,22:00:00,63.6,3600,,0
12-10-2020,23:00:00,59.7,3600,,0
13-10-2020,00:00:00,57.0,3600,,0
13-10-2020,01:00:00,56.8,3600,,0
13-10-2020,02:00:00,57.3,3600,,0
13-10-2020,03:00:00,58.5,3600,,0
13-10-2020,04:00:00,60.2,3600,,0
13-10-2020,05:00:00,63.5,3600,,0
13-10-2020,06:00:00,65.2,3600,,0
13-10-2020,07:00:00,64.0,3600,,0
13-10-2020,08:00:00,62.6,3600,,0
13-10-2020,09:00:00,62.9,3600,,0
13-10-2020,10:00:00,62.6,3600,,0
13-10-2020,11:00:00,66.8,3600,,0
13-10-2020,12:00:00,66.0,3600,,0
13-10-2020,13:00:00,66.2,3600,,0
13-10-2020,14:00:00,66.2,3600,,0
13-10-2020,15:00:00,65.1,3600,,0
13-10-2020,16:00:00,69.0,3600,,0
13-10-2020,17:00:00,71.3,3600,,0
13-10-2020,18:00:00,70.2,3600,,0
13-10-2020,19:00:00,69.0,3600,,0
13-10-2020,20:00:00,70.4,3600,,0
13-10-2020,21:00:00,68.9,3600,,0
13-10-2020,22:00:00,64.0,3600,,0
13-10-2020,23:00:00,59.0,3600,,0
14-10-2020,00:00:00,60.2,3600,,0
14-10-2020,01:00:00,57.5,3600,,0
14-10-2020,02:00:00,57.7,3600,,0
14-10-2020,03:00:00,58.6,3600,,0
14-10-2020,04:00:00,61.3,3600,,0
14-10-2020,05:00:00,63.3,3600,,0
14-10-2020,06:00:00,64.9,3600,,0
14-10-2020,07:00:00,66.0,3600,,0
14-10-2020,08:00:00,82.2,3600,,0
14-10-2020,09:00:00,66.6,3600,,0
14-10-2020,10:00:00,62.7,3600,,0
14-10-2020,11:00:00,67.4,3600,,0
14-10-2020,12:00:00,66.8,3600,,0
14-10-2020,13:00:00,66.0,3600,,0
14-10-2020,14:00:00,64.5,3600,,0
14-10-2020,15:00:00,65.3,3600,,0
14-10-2020,16:00:00,67.6,3600,,0
14-10-2020,17:00:00,70.1,3600,,0
14-10-2020,18:00:00,71.0,3600,,0
14-10-2020,19:00:00,67.9,3600,,0
14-10-2020,20:00:00,69.4,3600,,0
14-10-2020,21:00:00,69.2,3600,,0
14-10-2020,22:00:00,59.8,3600,,0
14-10-2020,23:00:00,57.3,3600,,0
15-10-2020,00:00:00,57.2,3600,,0
15-10-2020,01:00:00,56.7,3600,,0
15-10-2020,02:00:00,57.4,3600,,0
15-10-2020,03:00:00,58.8,3600,,0
15-10-2020,04:00:00,60.7,3600,,0
15-10-2020,05:00:00,63.1,3600,,0
15-10-2020,06:00:00,64.1,3600,,0
15-10-2020,07:00:00,63.8,3600,,0
15-10-2020,08:00:00,62.6,3600,,0
15-10-2020,09:00:00,63.7,3600,,0
15-10-2020,10:00:00,63.6,3600,,0
15-10-2020,11:00:00,63.6,3600,,0
15-10-2020,12:00:00,65.0,3600,,0
15-10-2020,13:00:00,67.0,3600,,0
15-10-2020,14:00:00,64.7,3600,,0
15-10-2020,15:00:00,64.7,3600,,0
15-10-2020,16:00:00,66.2,3600,,0
15-10-2020,17:00:00,67.9,3600,,0
15-10-2020,18:00:00,69.2,3600,,0
15-10-2020,19:00:00,66.3,3600,,0
15-10-2020,20:00:00,66.0,3600,,0
15-10-2020,21:00:00,66.3,3600,,0
15-10-2020,22:00:00,59.8,3600,,0
15-10-2020,23:00:00,58.9,3600,,0
16-10-2020,00:00:00,58.0,3600,,0
16-10-2020,01:00:00,58.2,3600,,0
16-10-2020,02:00:00,58.4,3600,,0
16-10-2020,03:00:00,59.5,3600,,0
16-10-2020,04:00:00,60.8,3600,,0
16-10-2020,05:00:00,63.1,3600,,0
16-10-2020,06:00:00,63.9,3600,,0
16-10-2020,07:00:00,63.9,3600,,0
16-10-2020,08:00:00,63.2,3600,,0
16-10-2020,09:00:00,62.9,3600,,0
16-10-2020,10:00:00,63.3,3600,,0
16-10-2020,11:00:00,64.2,3600,,0
16-10-2020,12:00:00,64.1,3600,,0
16-10-2020,13:00:00,63.9,3600,,0
16-10-2020,14:00:00,64.1,3600,,0
16-10-2020,15:00:00,65.7,3600,,0
16-10-2020,16:00:00,68.3,3600,,0
16-10-2020,17:00:00,71.5,3600,,0
16-10-2020,18:00:00,74.9,3600,,0
16-10-2020,19:00:00,74.8,3600,,0
16-10-2020,20:00:00,72.7,3600,,0
16-10-2020,21:00:00,72.6,3600,,0
16-10-2020,22:00:00,66.8,3600,,0
16-10-2020,23:00:00,62.4,3600,,0
17-10-2020,00:00:00,59.9,3600,,0
17-10-2020,01:00:00,58.7,3600,,0
17-10-2020,02:00:00,58.6,3600,,0
17-10-2020,03:00:00,59.8,3600,,0
17-10-2020,04:00:00,60.5,3600,,0
17-10-2020,05:00:00,61.4,3600,,0
17-10-2020,06:00:00,65.2,3600,,0
17-10-2020,07:00:00,64.4,3600,,0
17-10-2020,08:00:00,64.2,3600,,0
17-10-2020,09:00:00,64.5,3600,,0
17-10-2020,10:00:00,62.8,3600,,0
17-10-2020,11:00:00,65.1,3600,,0
17-10-2020,12:00:00,64.9,3600,,0
17-10-2020,13:00:00,66.3,3600,,0
17-10-2020,14:00:00,64.5,3600,,0
17-10-2020,15:00:00,66.1,3600,,0
17-10-2020,16:00:00,68.5,3600,,0
17-10-2020,17:00:00,72.8,3600,,0
17-10-2020,18:00:00,73.6,3600,,0
17-10-2020,19:00:00,71.0,3600,,0
17-10-2020,20:00:00,71.1,3600,,0
17-10-2020,21:00:00,70.6,3600,,0
17-10-2020,22:00:00,63.6,3600,,0
17-10-2020,23:00:00,59.5,3600,,0
18-10-2020,00:00:00,57.9,3600,,0
18-10-2020,01:00:00,57.3,3600,,0
18-10-2020,02:00:00,57.7,3600,,0
18-10-2020,03:00:00,58.0,3600,,0
18-10-2020,04:00:00,58.6,3600,,0
18-10-2020,05:00:00,58.8,3600,,0
18-10-2020,06:00:00,59.5,3600,,0
18-10-2020,07:00:00,60.9,3600,,0
18-10-2020,08:00:00,61.8,3600,,0
18-10-2020,09:00:00,62.0,3600,,0
18-10-2020,10:00:00,61.8,3600,,0
18-10-2020,11:00:00,66.8,3600,,0
18-10-2020,12:00:00,60.9,3600,,0
18-10-2020,13:00:00,61.9,3600,,0
18-10-2020,14:00:00,62.5,3600,,0
18-10-2020,15:00:00,64.3,3600,,0
18-10-2020,16:00:00,67.8,3600,,0
18-10-2020,17:00:00,71.2,3600,,0
