"Categoria criminologa","Sottocategoria Criminologica","Circoscrizione","Localita","Area Verde","Data","Ora"
"Allarme Sociale","Altro",6,"MONTANARO/(VIA)",,"03/01/2017",
"Allarme Sociale","Altro",1,"PRINCIPE ODDONE/(CORSO)",,"09/01/2017",
"Allarme Sociale","Altro",8,"DOGLIOTTI/ACHILLE MARIO (CORSO)",,"09/01/2017","13.38"
"Allarme Sociale","Altro",8,"ORMEA/(VIA)",,"11/01/2017",
"Allarme Sociale","Altro",8,"NIZZA/(PIAZZA)",,"12/01/2017","15.28"
"Allarme Sociale","Altro",,,"Area Verde","17/01/2017",
"Allarme Sociale","Altro",7,"CIRIE'/(CORSO)",,"18/01/2017",
"Allarme Sociale","Altro",8,"BELFIORE/(VIA)",,"27/01/2017","12.12"
"Allarme Sociale","Altro",8,"GALLIARI/BERNARDINO (VIA)",,"30/01/2017",
"Allarme Sociale","Altro",8,"MATTIOLI/PIER ANDREA (VIALE)",,"30/01/2017","10.03"
"Allarme Sociale","Altro",7,"ALESSANDRIA/(VIA)",,"02/02/2017",
"Allarme Sociale","Altro",7,"SASSARI/(VIA)",,"06/02/2017",
"Allarme Sociale","Altro",8,"TIZIANO VECELLIO/(VIA)",,"06/02/2017","13.09"
"Allarme Sociale","Altro",4,"COSSA/PIETRO (VIA)",,"07/02/2017",
"Allarme Sociale","Altro",8,"PELLICO/SILVIO (VIA)",,"08/02/2017","07.23"
"Allarme Sociale","Altro",1,"LAGRANGE/GIUSEPPE LUIGI (PIAZZA)",,"08/02/2017","14.43"
"Allarme Sociale","Altro",7,"NAPOLI/(LUNGO DORA)",,"08/02/2017","10.47"
"Allarme Sociale","Altro",1,"BURZIO/FILIPPO (VIA)",,"14/02/2017",
"Allarme Sociale","Altro",8,"SALUZZO/(VIA)",,"17/02/2017",
"Allarme Sociale","Altro",5,"SANSOVINO/ANDREA (VIA)",,"17/02/2017","10.54"
"Allarme Sociale","Altro",4,"COSSA/PIETRO (VIA)",,"18/02/2017","11.07"
"Allarme Sociale","Altro",6,"DONATORE DI SANGUE/(PIAZZA DEL)",,"19/02/2017",
"Allarme Sociale","Altro",8,"ORMEA/(VIA)","Area Verde","20/02/2017",
