"Categoria criminologa","Sottocategoria Criminologica","Circoscrizione","Localita","Area Verde","Data","Ora"
"Allarme Sociale","Altro",1,"BARBAROUX/GIUSEPPE (VIA)                                              ",,"12/07/2016",
"Allarme Sociale","Altro",8,"ORMEA/(VIA)                                                           ",,"12/07/2016",
"Allarme Sociale","Altro",8,"ORMEA/(VIA)                                                           ",,"12/07/2016",
"Allarme Sociale","Altro",1,"DE NICOLA/ENRICO (CORSO)                                              ","Area Verde","15/07/2016",
"Allarme Sociale","Altro",8,"ORMEA/(VIA)                                                           ",,"18/07/2016",
"Allarme Sociale","Altro",7,"BRA/(VIA)                                                             ",,"20/07/2016",
"Allarme Sociale","Altro",4,"GAMBA/ENRICO (CORSO)                                                  ",,"26/07/2016",
"Allarme Sociale","Altro",7,"PALERMO/(CORSO)                                                       ",,"26/07/2016",
"Allarme Sociale","Altro",8,"ORMEA/(VIA)                                                           ","Area Verde","26/07/2016",
"Allarme Sociale","Altro",4,"GAMBA/ENRICO (CORSO)                                                  ",,"26/07/2016","14.26"
"Allarme Sociale","Altro",,,,"28/07/2016",
"Allarme Sociale","Altro",,,,"03/08/2016",
"Allarme Sociale","Altro",4,"COSSA/PIETRO (VIA)                                                    ",,"03/08/2016",
"Allarme Sociale","Altro",5,"VEROLENGO/(VIA)                                                       ",,"04/08/2016",
"Allarme Sociale","Altro",10,"NEGARVILLE/CELESTE (VIA)                                              ",,"12/08/2016",
"Allarme Sociale","Altro",4,"FABRIZI/NICOLA (LARGO)                                                ",,"25/08/2016",
"Allarme Sociale","Altro",7,"CIRIE'/(CORSO)                                                        ",,"01/09/2016",
"Allarme Sociale","Altro",4,"FABRIZI/NICOLA (LARGO)                                                ",,"05/09/2016",
"Allarme Sociale","Altro",6,"FOSSATA/(VIA)                                                         ",,"07/09/2016",
"Allarme Sociale","Altro",8,"BERTHOLLET/CLAUDIO LUIGI (VIA)                                        ",,"09/09/2016",
"Allarme Sociale","Altro",1,"ORFANE/(VIA DELLE)                                                    ",,"16/09/2016",
"Allarme Sociale","Altro",1,"STATUTO/(PIAZZA)                                                      ",,"16/09/2016",
"Allarme Sociale","Altro",7,"BORGO DORA/(VIA)                                                      ",,"16/09/2016",
"Allarme Sociale","Altro",6,"MONTANARO/(VIA)                                                       ","Area Verde","21/09/2016",
"Allarme Sociale","Altro",1,"VANCHIGLIA/(VIA)                                                      ",,"26/09/2016",
"Allarme Sociale","Altro",7,"BALBO/CESARE (VIA)                                                    ",,"26/09/2016",
"Allarme Sociale","Altro",9,"GIAMBONE/EUSEBIO (CORSO)                                              ",,"27/09/2016",
"Allarme Sociale","Altro",3,"FRANCIA/(CORSO)                                                       ",,"30/09/2016",
"Allarme Sociale","Altro",7,"CIRIE'/(CORSO)                                                        ",,"03/10/2016","08.32"
"Allarme Sociale","Altro",4,"LECCE/(CORSO)                                                         ",,"05/10/2016",
"Allarme Sociale","Altro",7,"REPUBBLICA/(PIAZZA DELLA)                                             ",,"06/10/2016",
"Allarme Sociale","Altro",4,"GARDONCINI/GIOVANNI BATTISTA (VIA)                                    ",,"07/10/2016",
"Allarme Sociale","Altro",8,"BERTHOLLET/CLAUDIO LUIGI (VIA)                                        ",,"10/10/2016",
"Allarme Sociale","Altro",,,,"18/10/2016",
"Allarme Sociale","Altro",5,"VERONESE/PAOLO (VIA)                                                  ",,"18/10/2016",
"Allarme Sociale","Altro",6,"TARANTO/(CORSO)                                                       ",,"20/10/2016",
"Allarme Sociale","Altro",7,"BRESCIA/(CORSO)                                                       ",,"24/10/2016",
"Allarme Sociale","Altro",1,"GIOBERTI/VINCENZO (VIA)                                               ",,"02/11/2016",
"Allarme Sociale","Altro",1,"GIOBERTI/VINCENZO (VIA)                                               ",,"02/11/2016",
"Allarme Sociale","Altro",8,"CAMPANA/FEDERICO (VIA)                                                ",,"02/11/2016",
"Allarme Sociale","Altro",9,"ALBA/(VIA)                                                            ",,"07/11/2016",
"Allarme Sociale","Altro",9,"TRAIANO/(CORSO)                                                       ",,"07/11/2016","09.03"
"Allarme Sociale","Altro",,,"Area Verde","15/11/2016",
"Allarme Sociale","Altro",8,"ORMEA/(VIA)                                                           ",,"15/11/2016",
"Allarme Sociale","Altro",6,"VERCELLI/(CORSO)                                                      ",,"21/11/2016",
"Allarme Sociale","Altro",8,"ORMEA/(VIA)                                                           ",,"22/11/2016",
"Allarme Sociale","Altro",8,"GALLIARI/BERNARDINO (VIA)                                             ",,"28/11/2016",
"Allarme Sociale","Altro",7,"MARIA AUSILIATRICE/(PIAZZA)                                           ",,"30/11/2016",
"Allarme Sociale","Altro",4,"APPIO CLAUDIO/(CORSO)                                                 ",,"02/12/2016",
"Allarme Sociale","Altro",10,"TAZZOLI/ENRICO (CORSO)                                                ",,"09/12/2016",
"Allarme Sociale","Altro",2,"ORBASSANO/(CORSO)                                                     ",,"13/12/2016",
"Allarme Sociale","Altro",7,"GIULIO CESARE/(CORSO)                                                 ",,"13/12/2016",
"Allarme Sociale","Altro",,,"Area Verde","19/12/2016",
"Allarme Sociale","Altro",8,"CELLINI/BENVENUTO (VIA)                                               ",,"19/12/2016",
"Allarme Sociale","Altro",7,"BALBO/CESARE (VIA)                                                    ",,"21/12/2016",
"Allarme Sociale","Atti di vandalismo",4,"PINELLI/PIERDIONIGI (VIA)                                             ",,"04/07/2016",
"Allarme Sociale","Atti di vandalismo",,,,"13/09/2016",
"Allarme Sociale","Atti di vandalismo",,,,"13/09/2016","10.35"
"Allarme Sociale","Atti di vandalismo",2,"QUATTRO NOVEMBRE/(CORSO)                                              ",,"19/12/2016","13.59"
"Convivenza Civile","Aggregazioni giovanili",6,"CHIESA/(VIA ALLA)                                                     ",,"01/07/2016","14.16"
"Convivenza Civile","Aggregazioni giovanili",4,"BARI/(VIA)                                                            ","Area Verde","05/07/2016",
"Convivenza Civile","Aggregazioni giovanili",4,"MACERATA/(VIA)                                                        ",,"05/07/2016",
"Convivenza Civile","Altro",1,"SACCHI/PAOLO (VIA)                                                    ",,"01/07/2016",
"Convivenza Civile","Altro",4,"ASINARI DI BERNEZZO/VITTORIO (VIA)                                    ",,"01/07/2016",
"Convivenza Civile","Altro",5,"ALA DI STURA/(VIA)                                                    ",,"01/07/2016",
"Convivenza Civile","Altro",2,"BELLONO/GIORGIO (VIA)                                                 ",,"04/07/2016",
"Convivenza Civile","Altro",6,"SALGARI/EMILIO (VIA)                                                  ",,"04/07/2016",
"Convivenza Civile","Altro",6,"SETTIMO/(STRADA DI)                                                   ",,"04/07/2016",
"Convivenza Civile","Altro",7,"MEISINO/(STRADA DEL)                                                  ",,"04/07/2016",
"Convivenza Civile","Altro",9,"UNIONE SOVIETICA/(CORSO)                                              ",,"04/07/2016",
"Convivenza Civile","Altro",5,"COSSA/PIETRO (VIA)                                                    ",,"05/07/2016",
"Convivenza Civile","Altro",6,"GERMAGNANO/(VIA)                                                      ",,"05/07/2016","18.34"
"Convivenza Civile","Altro",8,"DEL CARRETTO/LUISA (VIA)                                              ",,"05/07/2016","11.38"
"Convivenza Civile","Altro",,,"Area Verde","06/07/2016",
"Convivenza Civile","Altro",1,"CERNAIA/(VIA)                                                         ",,"07/07/2016",
"Convivenza Civile","Altro",1,"BERTOLA/ANTONIO GIUSEPPE (VIA)                                        ",,"08/07/2016",
"Convivenza Civile","Altro",2,"CASTELGOMBERTO/(VIA)                                                  ",,"08/07/2016",
"Convivenza Civile","Altro",3,"MONGINEVRO/(VIA)                                                      ",,"08/07/2016",
"Convivenza Civile","Altro",7,"DENZA/PADRE FRANCESCO (VIA)                                           ",,"08/07/2016","11.29"
"Convivenza Civile","Altro",5,"GROSSETO/(CORSO)                                                      ",,"09/07/2016",
"Convivenza Civile","Altro",7,"BRESCIA/(CORSO)                                                       ",,"10/07/2016",
"Convivenza Civile","Altro",5,"FOLIGNO/(VIA)                                                         ",,"11/07/2016",
"Convivenza Civile","Altro",8,"ASTI/(VIA)                                                            ",,"11/07/2016",
"Convivenza Civile","Altro",1,"GARIBALDI/GIUSEPPE (VIA)                                              ",,"12/07/2016",
"Convivenza Civile","Altro",4,"CASALEGGIO/MARIO (VIA)                                                ",,"12/07/2016",
"Convivenza Civile","Altro",5,"MATTIROLO/LUIGI (PIAZZA)                                              ",,"12/07/2016",
"Convivenza Civile","Altro",8,"BERTHOLLET/CLAUDIO LUIGI (VIA)                                        ",,"12/07/2016",
"Convivenza Civile","Altro",2,"DE BERNARDI/LAMBERTO (VIA)                                            ",,"14/07/2016",
"Convivenza Civile","Altro",,,"Area Verde","16/07/2016",
"Convivenza Civile","Altro",6,"VALPRATO/(VIA)                                                        ",,"16/07/2016",
"Convivenza Civile","Altro",,,,"18/07/2016",
"Convivenza Civile","Altro",1,"GIOVANNI DA VERAZZANO/(VIA)                                           ",,"18/07/2016",
"Convivenza Civile","Altro",2,"GONIN/FRANCESCO (VIA)                                                 ",,"18/07/2016",
"Convivenza Civile","Altro",6,"MARTORELLI/RENATO (VIA)                                               ",,"18/07/2016",
"Convivenza Civile","Altro",7,"SOPERGA/(STRADA DI)                                                   ",,"18/07/2016",
"Convivenza Civile","Altro",6,"CIMAROSA/DOMENICO (VIA)                                               ",,"19/07/2016",
"Convivenza Civile","Altro",8,"PETRARCA/FRANCESCO (VIA)                                              ",,"19/07/2016",
"Convivenza Civile","Altro",4,"GHEMME/(VIA)                                                          ",,"21/07/2016",
