"Categoria criminologa","Sottocategoria Criminologica","Circoscrizione","Localita","Area Verde","Data","Ora"
"Allarme Sociale","Altro",5,"PIANEZZA/(STRADA)                                                     ",,"16/01/2019","13.27"
"Allarme Sociale","Altro",1,"CERNAIA/(VIA)                                                         ",,"30/01/2019",
"Allarme Sociale","Altro",5,"REISS ROMOLI/GUGLIELMO (VIA)                                          ",,"07/02/2019",
"Allarme Sociale","Altro",7,"FIRENZE/(LUNGO DORA)                                                  ",,"13/02/2019","09.54"
"Allarme Sociale","Altro",7,"MEISINO/(STRADA DEL)                                                  ","Area Verde","20/02/2019","11.21"
"Allarme Sociale","Altro",5,"PERVINCHE/(VIA DELLE)                                                 ",,"01/03/2019",
"Allarme Sociale","Altro",7,"ANDORNO/(VIA)                                                         ",,"20/03/2019","11.54"
"Allarme Sociale","Altro",1,"CARLO FELICE/(PIAZZA)                                                 ",,"26/03/2019","11.35"
"Allarme Sociale","Altro",4,"CAPUA/(VIA)                                                           ",,"17/04/2019",
"Allarme Sociale","Atti di vandalismo",6,"AEROPORTO/(STRADA DELL')                                              ",,"21/03/2019",
"Convivenza Civile","Aggregazioni giovanili",7,"GASSINO/(VIA)                                                         ",,"05/06/2019","11.34"
"Convivenza Civile","Aggregazioni giovanili",6,"RESPIGHI/OTTORINO (PIAZZA)                                            ",,"13/06/2019","10.22"
"Convivenza Civile","Altro",5,"ORVIETO/(VIA)                                                         ",,"01/01/2019",
"Convivenza Civile","Altro",6,"PERGOLESI/GIAMBATTISTA (VIA)                                          ",,"02/01/2019",
"Convivenza Civile","Altro",1,"S. AGOSTINO/(VIA)                                                     ",,"03/01/2019",
"Convivenza Civile","Altro",1,"MARIA VITTORIA/(VIA)                                                  ",,"03/01/2019","13.18"
"Convivenza Civile","Altro",6,"LAZIO/(LUNGO STURA)                                                   ",,"04/01/2019",
"Convivenza Civile","Altro",6,"RESPIGHI/OTTORINO (PIAZZA)                                            ",,"07/01/2019",
"Convivenza Civile","Altro",7,"CIRIE'/(VIA)                                                          ",,"07/01/2019",
"Convivenza Civile","Altro",7,"MONTEU DA PO/(VIA)                                                    ",,"09/01/2019",
"Convivenza Civile","Altro",3,"BARDONECCHIA/(VIA)                                                    ",,"09/01/2019","09.04"
"Convivenza Civile","Altro",6,"SETTIMO/(STRADA DI)                                                   ",,"10/01/2019",
"Convivenza Civile","Altro",7,"VERCELLI/(CORSO)                                                      ",,"10/01/2019",
"Convivenza Civile","Altro",3,"INGHILTERRA/(CORSO)                                                   ",,"11/01/2019",
"Convivenza Civile","Altro",2,"DE BERNARDI/LAMBERTO (VIA)                                            ",,"14/01/2019",
"Convivenza Civile","Altro",5,"CHIESA DELLA SALUTE/(VIA)                                             ",,"15/01/2019",
"Convivenza Civile","Altro",5,"GORRESIO/GASPARE (VIA)                                                ",,"15/01/2019",
"Convivenza Civile","Altro",5,"GORRESIO/GASPARE (VIA)                                                ",,"15/01/2019",
"Convivenza Civile","Altro",9,"TRAIANO/(CORSO)                                                       ",,"16/01/2019",
"Convivenza Civile","Altro",3,"VITTORIO EMANUELE II/(CORSO)                                          ",,"17/01/2019",
"Convivenza Civile","Altro",1,"S. CHIARA/(VIA)                                                       ",,"18/01/2019",
"Convivenza Civile","Altro",5,"TOSCANA/(LARGO)                                                       ",,"20/01/2019",
"Convivenza Civile","Altro",7,"S. MAURIZIO/(CORSO)                                                   ",,"20/01/2019",
"Convivenza Civile","Altro",1,"S. FRANCESCO D'ASSISI/(VIA)                                           ",,"21/01/2019",
"Convivenza Civile","Altro",1,"PO/(VIA)                                                              ",,"22/01/2019",
