"Categoria criminologa","Sottocategoria Criminologica","Circoscrizione","Localita","Area Verde","Data","Ora"
"Allarme Sociale","Altro",8,"D'AZEGLIO/MASSIMO (CORSO)                                             ",,"16/07/2018",
"Allarme Sociale","Altro",1,"REGINA MARGHERITA/(CORSO)                                             ",,"17/07/2018",
"Allarme Sociale","Altro",10,"DUINO/(VIA)                                                           ",,"14/09/2018",
"Allarme Sociale","Altro",,,,"02/10/2018","09.40"
"Allarme Sociale","Altro",9,"CARDUCCI/GIOSUE' (PIAZZA)                                             ",,"27/11/2018","11.53"
"Allarme Sociale","Atti di vandalismo",3,"ADRIANO/(PIAZZA)                                                      ",,"28/08/2018",
"Allarme Sociale","Atti di vandalismo",3,"MARMOLADA/(PIAZZA)                                                    ","Area Verde","10/09/2018",
"Allarme Sociale","Atti di vandalismo",1,"ARBARELLO/VINCENZO (PIAZZA)                                           ",,"29/11/2018","11.43"
"Convivenza Civile","Altro",9,"GUALA/PIETRO FRANCESCO (VIA)                                          ",,"02/07/2018",
"Convivenza Civile","Altro",6,"BOCCHERINI/LUIGI (VIA)                                                ","Area Verde","03/07/2018",
"Convivenza Civile","Altro",2,"CATTANEO/RICCARDO (PIAZZA)                                            ",,"04/07/2018",
"Convivenza Civile","Altro",3,"ISONZO/(VIA)                                                          ",,"04/07/2018",
"Convivenza Civile","Altro",3,"ISSIGLIO/(VIA)                                                        ",,"05/07/2018",
"Convivenza Civile","Altro",6,"SANTHIA'/(VIA)                                                        ",,"05/07/2018",
"Convivenza Civile","Altro",8,"BRAMANTE/(CORSO)                                                      ",,"05/07/2018",
"Convivenza Civile","Altro",7,"S. MAURIZIO/(CORSO)                                                   ",,"06/07/2018",
"Convivenza Civile","Altro",1,"VITTORIO EMANUELE II/(CORSO)                                          ",,"09/07/2018",
"Convivenza Civile","Altro",4,"BORGOSESIA/(VIA)                                                      ",,"09/07/2018",
"Convivenza Civile","Altro",7,"NAPOLI/(LUNGO DORA)                                                   ",,"09/07/2018",
"Convivenza Civile","Altro",2,"NITTI/FRANCESCO SAVERIO (VIA)                                         ",,"11/07/2018",
"Convivenza Civile","Altro",4,"EXILLES/(VIA)                                                         ",,"11/07/2018",
"Convivenza Civile","Altro",6,"ROMANIA/(CORSO)                                                       ",,"11/07/2018",
"Convivenza Civile","Altro",7,"S. MAURIZIO/(CORSO)                                                   ",,"11/07/2018",
"Convivenza Civile","Altro",8,"MADAMA CRISTINA/(VIA)                                                 ",,"11/07/2018",
"Convivenza Civile","Altro",3,"VANDALINO/(VIA)                                                       ",,"12/07/2018",
"Convivenza Civile","Altro",4,"GALVANI/LUIGI (VIA)                                                   ",,"12/07/2018",
"Convivenza Civile","Altro",1,"BERTOLA/ANTONIO GIUSEPPE (VIA)                                        ",,"13/07/2018",
"Convivenza Civile","Altro",1,"VIOTTI/GIAMBATTISTA (VIA)                                             ",,"13/07/2018",
"Convivenza Civile","Altro",1,"VIOTTI/GIAMBATTISTA (VIA)                                             ",,"13/07/2018",
"Convivenza Civile","Altro",1,"VIOTTI/GIAMBATTISTA (VIA)                                             ",,"13/07/2018",
"Convivenza Civile","Altro",5,"PIANEZZA/(VIA)                                                        ",,"13/07/2018",
"Convivenza Civile","Altro",7,"MEISINO/(STRADA DEL)                                                  ",,"13/07/2018",
"Convivenza Civile","Altro",6,"VILLARETTO/(STRADA DEL)                                               ",,"16/07/2018",
"Convivenza Civile","Altro",1,"DONATI/VITALIANO (VIA)                                                ",,"17/07/2018",
"Convivenza Civile","Altro",1,"ROMA/(VIA)                                                            ",,"17/07/2018",
"Convivenza Civile","Altro",3,"CHALLANT/(VIA)                                                        ",,"17/07/2018",
"Convivenza Civile","Altro",3,"S. AMBROGIO/(VIA)                                                     ",,"17/07/2018",
"Convivenza Civile","Altro",5,"VERONESE/PAOLO (VIA)                                                  ",,"17/07/2018",
"Convivenza Civile","Altro",5,"VIBO'/(VIA)                                                           ",,"19/07/2018",
"Convivenza Civile","Altro",7,"VANCHIGLIA/(VIA)                                                      ",,"20/07/2018",
"Convivenza Civile","Altro",8,"TIZIANO VECELLIO/(VIA)                                                ",,"24/07/2018",
"Convivenza Civile","Altro",8,"GIACOSA/GIUSEPPE (VIA)                                                ",,"24/07/2018","12.21"
"Convivenza Civile","Altro",1,"GRAMSCI/ANTONIO (VIA)                                                 ",,"26/07/2018",
"Convivenza Civile","Altro",1,"RE UMBERTO/(CORSO)                                                    ",,"27/07/2018",
"Convivenza Civile","Altro",1,"FERRARIS/GALILEO (CORSO)                                              ",,"28/07/2018",
"Convivenza Civile","Altro",1,"ARSENALE/(VIA)                                                        ",,"30/07/2018",
"Convivenza Civile","Altro",4,"BELLARDI/LUDOVICO (VIA)                                               ",,"30/07/2018",
"Convivenza Civile","Altro",6,"SESIA/(VIA)                                                           ",,"30/07/2018",
"Convivenza Civile","Altro",8,"MONCALIERI/(CORSO)                                                    ",,"30/07/2018",
"Convivenza Civile","Altro",1,"SACCHI/PAOLO (VIA)                                                    ",,"31/07/2018",
"Convivenza Civile","Altro",7,"GIULIO CESARE/(CORSO)                                                 ",,"01/08/2018","14.28"
"Convivenza Civile","Altro",1,"QUATTRO MARZO/(LARGO)                                                 ",,"02/08/2018",
"Convivenza Civile","Altro",6,"BOLOGNA/(VIA)                                                         ",,"02/08/2018","11.21"
"Convivenza Civile","Altro",5,"LUCENTO/(VIA)                                                         ",,"03/08/2018",
"Convivenza Civile","Altro",3,"FRANCIA/(CORSO)                                                       ",,"06/08/2018",
"Convivenza Civile","Altro",6,"PALERMO/(CORSO)                                                       ",,"06/08/2018",
"Convivenza Civile","Altro",3,"BRUNELLESCHI/FILIPPO (CORSO)                                          ",,"07/08/2018",
"Convivenza Civile","Altro",3,"FENOGLIO GIUSEPPE (BEPPE) (VIA)                                       ","Area Verde","07/08/2018",
"Convivenza Civile","Altro",3,"BEVILACQUA/QUINTO (VIA)                                               ",,"08/08/2018",
"Convivenza Civile","Altro",7,"AOSTA/(VIA)                                                           ",,"08/08/2018",
"Convivenza Civile","Altro",5,"MONTESOGLIO/(VIA)                                                     ",,"09/08/2018",
"Convivenza Civile","Altro",1,"VALERIO/LORENZO (VIA)                                                 ",,"10/08/2018",
"Convivenza Civile","Altro",5,"ROCCAVIONE CONTE DI/(VIA)                                             ",,"12/08/2018",
"Convivenza Civile","Altro",7,"D'HARCOURT/(STRADA)                                                   ",,"14/08/2018",
"Convivenza Civile","Altro",9,"STELLONE/(VIA)                                                        ",,"17/08/2018",
"Convivenza Civile","Altro",1,"S. TOMMASO/(VIA)                                                      ",,"20/08/2018",
"Convivenza Civile","Altro",7,"VANCHIGLIA/(VIA)                                                      ",,"20/08/2018",
"Convivenza Civile","Altro",9,"CERCENASCO/(VIA)                                                      ",,"21/08/2018",
"Convivenza Civile","Altro",2,"MONTE LUNGO/(CORSO)                                                   ",,"24/08/2018",
"Convivenza Civile","Altro",3,"CARSO/(VIA)                                                           ",,"27/08/2018",
"Convivenza Civile","Altro",4,"TASSONI/ALESSANDRO (CORSO)                                            ",,"31/08/2018",
"Convivenza Civile","Altro",8,"PICCO/ALBERTO (CORSO)                                                 ",,"31/08/2018",
"Convivenza Civile","Altro",5,"STAMPALIA/(PIAZZA)                                                    ",,"03/09/2018",
"Convivenza Civile","Altro",6,"GIULIO CESARE/(CORSO)                                                 ",,"05/09/2018",
"Convivenza Civile","Altro",2,"LESEGNO/(VIA)                                                         ",,"06/09/2018","10.27"
"Convivenza Civile","Altro",1,"MAZZINI/GIUSEPPE (VIA)                                                ",,"07/09/2018",
"Convivenza Civile","Altro",6,"BOTTESINI/GIOVANNI (PIAZZA)                                           ",,"09/09/2018",
"Convivenza Civile","Altro",2,"MOMBASIGLIO/(VIA)                                                     ",,"10/09/2018",
"Convivenza Civile","Altro",7,"BERGAMO/(VIA)                                                         ",,"10/09/2018",
"Convivenza Civile","Altro",7,"URBINO/(VIA)                                                          ",,"10/09/2018","11.16"
"Convivenza Civile","Altro",3,"DUCHESSA JOLANDA/(VIA)                                                ",,"11/09/2018",
"Convivenza Civile","Altro",2,"ORBASSANO/(CORSO)                                                     ",,"13/09/2018",
"Convivenza Civile","Altro",3,"RENIER/RODOLFO (VIA)                                                  ",,"13/09/2018",
"Convivenza Civile","Altro",7,"CASALE/(CORSO)                                                        ",,"13/09/2018",
"Convivenza Civile","Altro",10,"VIGLIANI/ONORATO (VIA)                                                ",,"13/09/2018",
"Convivenza Civile","Altro",5,"STRADELLA/(VIA)                                                       ",,"13/09/2018","12.01"
"Convivenza Civile","Altro",4,"PIEDICAVALLO/(VIA)                                                    ",,"14/09/2018",
"Convivenza Civile","Altro",6,"CIMAROSA/DOMENICO (VIA)                                               ",,"14/09/2018","12.12"
"Convivenza Civile","Altro",4,"CAPELLI/CARLO (VIA)                                                   ",,"17/09/2018",
"Convivenza Civile","Altro",6,"RESPIGHI/OTTORINO (PIAZZA)                                            ",,"17/09/2018",
"Convivenza Civile","Altro",3,"ADRIANO/(PIAZZA)                                                      ",,"18/09/2018",
"Convivenza Civile","Altro",3,"ISSIGLIO/(VIA)                                                        ",,"18/09/2018",
"Convivenza Civile","Altro",4,"CAPELLI/CARLO (VIA)                                                   ",,"19/09/2018",
"Convivenza Civile","Altro",4,"CIBRARIO/LUIGI (VIA)                                                  ",,"24/09/2018",
"Convivenza Civile","Altro",10,"ORBASSANO/(CORSO)                                                     ",,"24/09/2018","10.53"
"Convivenza Civile","Altro",4,"ASCOLI/GRAZIADIO (VIA)                                                ",,"25/09/2018",
"Convivenza Civile","Altro",1,"GARIBALDI/GIUSEPPE (VIA)                                              ",,"25/09/2018","14.54"
"Convivenza Civile","Altro",1,"CAVOUR (VIA)                                                          ",,"26/09/2018",
"Convivenza Civile","Altro",7,"TORTONA/(CORSO)                                                       ",,"26/09/2018",
"Convivenza Civile","Altro",2,"AGNELLI/GIOVANNI (CORSO)                                              ",,"27/09/2018",
"Convivenza Civile","Altro",1,"MILANO/(VIA)                                                          ",,"28/09/2018",
"Convivenza Civile","Altro",3,"MONGINEVRO/(VIA)                                                      ",,"28/09/2018",
"Convivenza Civile","Altro",9,"GALIMBERTI/TANCREDI (PIAZZA)                                          ",,"28/09/2018",
"Convivenza Civile","Altro",6,"BIASONI/(STRADA DEI)                                                  ",,"29/09/2018",
"Convivenza Civile","Altro",1,"TIRRENO/(VIA)                                                         ",,"01/10/2018",
"Convivenza Civile","Altro",8,"BRAMANTE/(CORSO)                                                      ",,"01/10/2018",
"Convivenza Civile","Altro",9,"GENOVA/(VIA)                                                          ",,"02/10/2018",
"Convivenza Civile","Altro",3,"FRANCIA/(CORSO)                                                       ",,"03/10/2018",
"Convivenza Civile","Altro",4,"UMBRIA/(CORSO)                                                        ",,"03/10/2018",
"Convivenza Civile","Altro",6,"RESPIGHI/OTTORINO (PIAZZA)                                            ",,"03/10/2018",
"Convivenza Civile","Altro",6,"SETTIMO/(STRADA DI)                                                   ",,"03/10/2018",
"Convivenza Civile","Altro",7,"CECCHI/ANTONIO (VIA)                                                  ",,"03/10/2018","14.43"
"Convivenza Civile","Altro",1,"CASTELFIDARDO/(CORSO)                                                 ",,"04/10/2018",
"Convivenza Civile","Altro",5,"BADINI CONFALONIERI/ALFONSO (VIA)                                     ",,"04/10/2018",
"Convivenza Civile","Altro",8,"VALPERGA/CALUSO (VIA)                                                 ",,"04/10/2018",
"Convivenza Civile","Altro",2,"ORBASSANO/(CORSO)                                                     ",,"05/10/2018",
"Convivenza Civile","Altro",4,"FRANCIA/(CORSO)                                                       ",,"05/10/2018",
"Convivenza Civile","Altro",7,"MONGRENO/(STRADA)                                                     ",,"06/10/2018",
"Convivenza Civile","Altro",1,"STATUTO/(PIAZZA)                                                      ",,"08/10/2018",
"Convivenza Civile","Altro",4,"LECCE/(CORSO)                                                         ","Area Verde","09/10/2018",
"Convivenza Civile","Altro",7,"GIULIO CESARE/(CORSO)                                                 ",,"09/10/2018",
"Convivenza Civile","Altro",3,"CIALDINI/ENRICO (VIA)                                                 ",,"10/10/2018",
"Convivenza Civile","Altro",6,"MAGRA/(STRADA DELLA)                                                  ",,"10/10/2018",
"Convivenza Civile","Altro",8,"MONCALIERI/(CORSO)                                                    ","Area Verde","11/10/2018",
"Convivenza Civile","Altro",1,"GOVONE/GIUSEPPE (CORSO)                                               ",,"12/10/2018",
"Convivenza Civile","Altro",5,"BORSI/GIOSUE' (VIA)                                                   ",,"12/10/2018",
"Convivenza Civile","Altro",9,"GIORDANO/BRUNO (VIA)                                                  ",,"13/10/2018",
"Convivenza Civile","Altro",4,"CEVA/(VIA)                                                            ",,"16/10/2018",
"Convivenza Civile","Altro",6,"DE ROSA/FERNANDO (VIA)                                                ",,"16/10/2018",
"Convivenza Civile","Altro",2,"AGNELLI/GIOVANNI (CORSO)                                              ",,"16/10/2018","09.49"
"Convivenza Civile","Altro",6,"TANARO/(VIA)                                                          ",,"17/10/2018",
"Convivenza Civile","Altro",9,"TESTONA/(VIA)                                                         ",,"18/10/2018",
"Convivenza Civile","Altro",1,"SACCHI/PAOLO (VIA)                                                    ",,"19/10/2018",
"Convivenza Civile","Altro",1,"STATUTO/(PIAZZA)                                                      ",,"19/10/2018",
"Convivenza Civile","Altro",7,"ALBERA/DON PAOLO (PIAZZA)                                             ",,"19/10/2018",
"Convivenza Civile","Altro",2,"BARLETTA/(VIA)                                                        ",,"20/10/2018",
"Convivenza Civile","Altro",5,"DRUENTO/(VIA)                                                         ",,"20/10/2018",
"Convivenza Civile","Altro",3,"MONTE ORTIGARA/(VIA)                                                  ",,"22/10/2018",
"Convivenza Civile","Altro",7,"CHIERI/(CORSO)                                                        ",,"22/10/2018",
"Convivenza Civile","Altro",4,"TELESIO/BERNARDINO (CORSO)                                            ",,"23/10/2018",
"Convivenza Civile","Altro",7,"GIAVENO/(VIA)                                                         ",,"23/10/2018",
"Convivenza Civile","Altro",4,"BURONZO/(VIA)                                                         ",,"24/10/2018",
"Convivenza Civile","Altro",1,"SACCHI/PAOLO (VIA)                                                    ",,"25/10/2018",
"Convivenza Civile","Altro",3,"BORSELLINO/PAOLO (VIA)/                                               ",,"25/10/2018",
"Convivenza Civile","Altro",8,"ORMEA/(VIA)                                                           ",,"29/10/2018",
"Convivenza Civile","Altro",1,"ARSENALE/(VIA)                                                        ",,"30/10/2018","13.21"
"Convivenza Civile","Altro",5,"ORBETELLO/(VIA)                                                       ",,"31/10/2018",
"Convivenza Civile","Altro",3,"VILLAR FOCCHIARDO/(VIA)                                               ",,"02/11/2018",
"Convivenza Civile","Altro",10,"ARTOM/EMANUELE (VIA)                                                  ",,"03/11/2018",
"Convivenza Civile","Altro",4,"SALBERTRAND/(VIA)                                                     ",,"04/11/2018",
"Convivenza Civile","Altro",5,"COSSA/PIETRO (VIA)                                                    ",,"05/11/2018",
"Convivenza Civile","Altro",9,"MILLEFONTI/(VIA)                                                      ",,"05/11/2018",
"Convivenza Civile","Altro",3,"DI NANNI/DANTE (VIA)                                                  ",,"06/11/2018",
"Convivenza Civile","Altro",4,"VIDUA/CARLO (VIA)                                                     ",,"08/11/2018",
