Categoria criminologa;Sottocategoria Criminologica;Circoscrizione;Localita;Area Verde;Data;Ora
Allarme Sociale;Altro;3;TOFANE/(VIA)                                                          ;;28/08/2019;10.06
Allarme Sociale;Altro;1;ROMA/(VIA)                                                            ;;20/11/2019;
Allarme Sociale;Altro;2;CORRENTI/CESARE (CORSO)                                               ;;02/12/2019;12.18
Allarme Sociale;Altro;7;PRIOCCA/CLEMENTE DAMIANO (VIA)                                        ;;11/12/2019;
Convivenza Civile;Altro;1;GENOVESI/ANTONIO (VIA)                                                ;;02/07/2019;
Convivenza Civile;Altro;1;ROERO DI CORTANZE/ERCOLE TOMMASO (VIA)                                ;;02/07/2019;
Convivenza Civile;Altro;1;S. MAURIZIO/(CORSO)                                                   ;;02/07/2019;
Convivenza Civile;Altro;5;COPPINO/MICHELE (VIA)                                                 ;;04/07/2019;
Convivenza Civile;Altro;8;HERMADA/(PIAZZA)                                                      ;;04/07/2019;
Convivenza Civile;Altro;1;LAGRANGE/GIUSEPPE LUIGI (VIA)                                         ;;08/07/2019;
Convivenza Civile;Altro;3;MASSAUA/(PIAZZA)                                                      ;;10/07/2019;
Convivenza Civile;Altro;3;INGHILTERRA/(CORSO)                                                   ;;11/07/2019;
Convivenza Civile;Altro;5;GROSSETO/(CORSO)                                                      ;;11/07/2019;
Convivenza Civile;Altro;7;DENZA/PADRE FRANCESCO (VIA)                                           ;;11/07/2019;
Convivenza Civile;Altro;3;CESANA/(VIA)                                                          ;;12/07/2019;11.35
Convivenza Civile;Altro;1;S. FRANCESCO D'ASSISI/(VIA)                                           ;;15/07/2019;
Convivenza Civile;Altro;10;PLAVA/(VIA)                                                           ;;16/07/2019;
Convivenza Civile;Altro;8;MONCALIERI/(CORSO)                                                    ;;18/07/2019;
Convivenza Civile;Altro;6;DERNA/(PIAZZA)                                                        ;;19/07/2019;
Convivenza Civile;Altro;9;ALASSIO/(VIA)                                                         ;;19/07/2019;
Convivenza Civile;Altro;9;ALASSIO/(VIA)                                                         ;;19/07/2019;
Convivenza Civile;Altro;6;BERTOLLA/(STRADA)                                                     ;;20/07/2019;
Convivenza Civile;Altro;3;S. AMBROGIO/(VIA)                                                     ;;21/07/2019;
Convivenza Civile;Altro;7;VERCELLI/(CORSO)                                                      ;;22/07/2019;
Convivenza Civile;Altro;5;GROSSETO/(CORSO)                                                      ;;23/07/2019;
Convivenza Civile;Altro;9;SEBASTOPOLI/(CORSO)                                                   ;;25/07/2019;
Convivenza Civile;Altro;6;MARTORELLI/RENATO (VIA)                                               ;;29/07/2019;
Convivenza Civile;Altro;1;S. FRANCESCO D'ASSISI/(VIA)                                           ;;01/08/2019;
Convivenza Civile;Altro;3;LANCIA/VINCENZO (VIA)                                                 ;;01/08/2019;
Convivenza Civile;Altro;5;LOMBARDIA/(CORSO)                                                     ;;07/08/2019;
Convivenza Civile;Altro;3;REVELLO/(VIA)                                                         ;Area Verde;07/08/2019;07.33
Convivenza Civile;Altro;6;IVREA/(VIA)                                                           ;;09/08/2019;13.37
Convivenza Civile;Altro;8;NIZZA/(VIA)                                                           ;;09/08/2019;10.08
Convivenza Civile;Altro;1;PALESTRO/(CORSO)                                                      ;;12/08/2019;10.25
Convivenza Civile;Altro;9;NIZZA/(VIA)                                                           ;;12/08/2019;13.00
Convivenza Civile;Altro;5;LAJOLO FRATELLI/(VIA)                                                 ;;12/08/2019;13.24
Convivenza Civile;Altro;6;GERMAGNANO/(VIA)                                                      ;;27/08/2019;
Convivenza Civile;Altro;6;ROSSI/LAURO (VIA)                                                     ;;27/08/2019;10.45
Convivenza Civile;Altro;7;CARTMAN/(STRADA DEL)                                                  ;;28/08/2019;12.54
Convivenza Civile;Altro;2;DEL PRETE/CARLO (VIA)                                                 ;;29/08/2019;
Convivenza Civile;Altro;4;GARDONCINI/GIOVANNI BATTISTA (VIA)                                    ;;29/08/2019;
Convivenza Civile;Altro;7;NAPOLI/(LUNGO DORA)                                                   ;;29/08/2019;
Convivenza Civile;Altro;9;GALIMBERTI/TANCREDI (PIAZZA)                                          ;;30/08/2019;10.30
Convivenza Civile;Altro;1;MASSENA/ANDREA (VIA)                                                  ;;03/09/2019;
Convivenza Civile;Altro;7;CADORE/(CORSO)                                                        ;;04/09/2019;
Convivenza Civile;Altro;7;NOVARA/(CORSO)                                                        ;;09/09/2019;
Convivenza Civile;Altro;5;MUGHETTI/(VIALE DEI)                                                  ;;09/09/2019;11.36
Convivenza Civile;Altro;9;GIORDANO/BRUNO (VIA)                                                  ;;10/09/2019;
Convivenza Civile;Altro;4;S. DONATO/(VIA)                                                       ;;10/09/2019;13.44
Convivenza Civile;Altro;1;LAGRANGE/GIUSEPPE LUIGI (PIAZZA)                                      ;;11/09/2019;
Convivenza Civile;Altro;7;BORROMINI/FRANCESCO (PIAZZA)                                          ;;11/09/2019;
Convivenza Civile;Altro;4;PINELLI/PIERDIONIGI (VIA)                                             ;;12/09/2019;
Convivenza Civile;Altro;5;FEA/LEONARDO (VIA)                                                    ;;12/09/2019;
Convivenza Civile;Altro;5;VERONESE/PAOLO (VIA)                                                  ;;12/09/2019;
Convivenza Civile;Altro;3;LOMBRIASCO/(VIA)                                                      ;;12/09/2019;13.02
Convivenza Civile;Altro;2;FRINCO/(VIA)                                                          ;;12/09/2019;13.10
Convivenza Civile;Altro;5;GROSSETO/(CORSO)                                                      ;;13/09/2019;
Convivenza Civile;Altro;3;CASATI/GAETANO (VIA)                                                  ;;15/09/2019;
Convivenza Civile;Altro;7;VOGHERA/(LUNGO DORA)                                                  ;;15/09/2019;09.32
Convivenza Civile;Altro;1;S. DALMAZZO/(VIA)                                                     ;;16/09/2019;
Convivenza Civile;Altro;1;ASSIETTA/(VIA)                                                        ;;17/09/2019;
Convivenza Civile;Altro;1;REPUBBLICA/(PIAZZA DELLA)                                             ;;17/09/2019;
Convivenza Civile;Altro;4;NICCOLINI/G.B. (VIA)                                                  ;;17/09/2019;
Convivenza Civile;Altro;7;REPUBBLICA/(PIAZZA DELLA)                                             ;;17/09/2019;
Convivenza Civile;Altro;7;S. GIULIA/(VIA)                                                       ;;17/09/2019;
Convivenza Civile;Altro;2;CADORNA/RAFFAELE (VIA)                                                ;;17/09/2019;15.20
Convivenza Civile;Altro;4;BRIONE/(VIA)                                                          ;;20/09/2019;13.59
Convivenza Civile;Altro;8;VILLA DELLA REGINA/(PIAZZALE)                                         ;;22/09/2019;14.18
Convivenza Civile;Altro;8;MUZIO SCEVOLA/(PIAZZA)                                                ;;25/09/2019;
Convivenza Civile;Altro;1;VALDOCCO/(CORSO)                                                      ;;26/09/2019;
Convivenza Civile;Altro;7;OROPA/(VIA)                                                           ;;26/09/2019;
Convivenza Civile;Altro;8;BERTHOLLET/CLAUDIO LUIGI (VIA)                                        ;;26/09/2019;
Convivenza Civile;Altro;1;CAVOUR (VIA)                                                          ;;30/09/2019;
Convivenza Civile;Altro;9;VENTIMIGLIA/(VIA)                                                     ;;30/09/2019;
Convivenza Civile;Altro;6;IVREA/(VIA)                                                           ;;30/09/2019;12.57
Convivenza Civile;Altro;8;MONFERRATO/(VIA)                                                      ;;30/09/2019;14.01
Convivenza Civile;Altro;4;PEYRON/AMEDEO (VIA)                                                   ;;30/09/2019;14.38
Convivenza Civile;Altro;6;MONTE ROSA/(VIA)                                                      ;;02/10/2019;13.48
Convivenza Civile;Altro;1;LAGRANGE/GIUSEPPE LUIGI (VIA)                                         ;;03/10/2019;
Convivenza Civile;Altro;1;MARCO POLO/(VIA)                                                      ;;03/10/2019;
Convivenza Civile;Altro;3;S. AMBROGIO/(VIA)                                                     ;;03/10/2019;
Convivenza Civile;Altro;6;ROMANIA/(CORSO)                                                       ;;03/10/2019;
Convivenza Civile;Altro;9;ROSARIO SANTA FE'/(VIA)                                               ;;03/10/2019;12.48
Convivenza Civile;Altro;2;ORBASSANO/(CORSO)                                                     ;;04/10/2019;
Convivenza Civile;Altro;8;MADAMA CRISTINA/(PIAZZA)                                              ;;04/10/2019;10.33
Convivenza Civile;Altro;2;LANFRANCO/LEOPOLDO(VIA)                                               ;;04/10/2019;11.13
Convivenza Civile;Altro;7;NAPOLI/(LUNGO DORA)                                                   ;;04/10/2019;14.34
Convivenza Civile;Altro;3;S. GIORGIO CANAVESE/(VIA)                                             ;;04/10/2019;10.40
Convivenza Civile;Altro;1;MATTEOTTI/GIACOMO (CORSO)                                             ;;07/10/2019;
Convivenza Civile;Altro;8;MONCALIERI/(CORSO)                                                    ;;07/10/2019;
Convivenza Civile;Altro;5;FOLIGNO/(VIA)                                                         ;;07/10/2019;13.11
Convivenza Civile;Altro;3;PRONDA/(STRADA DELLA)                                                 ;;07/10/2019;10.09
Convivenza Civile;Altro;3;INGHILTERRA/(CORSO)                                                   ;;09/10/2019;
Convivenza Civile;Altro;6;LEINI'/(VIA)                                                          ;;09/10/2019;10.37
Convivenza Civile;Altro;3;DUCHESSA JOLANDA/(VIA)                                                ;;09/10/2019;13.40
Convivenza Civile;Altro;4;S. DONATO/(VIA)                                                       ;;10/10/2019;
Convivenza Civile;Altro;8;ASTI/(VIA)                                                            ;;10/10/2019;
Convivenza Civile;Altro;9;BARTOLI/MATTEO (VIA)                                                  ;;10/10/2019;
Convivenza Civile;Altro;1;BARBAROUX/GIUSEPPE (VIA)                                              ;;10/10/2019;09.13
Convivenza Civile;Altro;6;S. MAURO/(STRADA)                                                     ;;10/10/2019;12.01
Convivenza Civile;Altro;3;ROBILANT GENERALE CARLO DI (PIAZZA)                                   ;;14/10/2019;
Convivenza Civile;Altro;6;VERCELLI/(CORSO)                                                      ;;14/10/2019;
Convivenza Civile;Altro;1;TIRRENO/(VIA)                                                         ;;14/10/2019;11.28
Convivenza Civile;Altro;1;CASTELLO/(PIAZZA)                                                     ;;14/10/2019;13.13
Convivenza Civile;Altro;4;CAMPANELLA/TOMMASO (PIAZZA)                                           ;;14/10/2019;14.49
Convivenza Civile;Altro;4;CIBRARIO/LUIGI (VIA)                                                  ;;15/10/2019;
Convivenza Civile;Altro;7;GIULIA DI BAROLO/(VIA)                                                ;;15/10/2019;
Convivenza Civile;Altro;8;MADAMA CRISTINA/(VIA)                                                 ;;15/10/2019;
Convivenza Civile;Altro;3;CARDINALE FOSSATI MAURILIO/(VIA)                                      ;;16/10/2019;12.09
Convivenza Civile;Altro;10;VIGLIANI/ONORATO (VIA)                                                ;;16/10/2019;12.25
Convivenza Civile;Altro;8;DANTE/(CORSO)                                                         ;;17/10/2019;10.49
Convivenza Civile;Altro;9;BIGLIERI/GIULIO (VIA)                                                 ;;17/10/2019;11.17
Convivenza Civile;Altro;1;ROERO DI CORTANZE/ERCOLE TOMMASO (VIA)                                ;;18/10/2019;
Convivenza Civile;Altro;4;FRANCIA/(CORSO)                                                       ;Area Verde;18/10/2019;
Convivenza Civile;Altro;6;VIGEVANO/(CORSO)                                                      ;;18/10/2019;12.37
Convivenza Civile;Altro;9;PIO VII/(VIA)                                                         ;;18/10/2019;13.03
Convivenza Civile;Altro;1;VERDI/GIUSEPPE (VIA)                                                  ;;18/10/2019;13.31
Convivenza Civile;Altro;5;STRADELLA/(VIA)                                                       ;;21/10/2019;14.13
