cluster;data_da;data_a;numero_presenze;layer_id;layer_nome;dettaglio(secondi)
Presenze;2017-12-24T22:00:00Z;2017-12-24T23:00:00Z;2374;5491d6d2-0c9e-47b7-bfde-c84c632efacc;Area 1;3600
Presenze;2017-12-24T21:00:00Z;2017-12-24T22:00:00Z;2392;5491d6d2-0c9e-47b7-bfde-c84c632efacc;Area 1;3600
Presenze;2017-12-24T20:00:00Z;2017-12-24T21:00:00Z;2383;5491d6d2-0c9e-47b7-bfde-c84c632efacc;Area 1;3600
Presenze;2017-12-24T19:00:00Z;2017-12-24T20:00:00Z;2401;5491d6d2-0c9e-47b7-bfde-c84c632efacc;Area 1;3600
Presenze;2017-12-24T18:00:00Z;2017-12-24T19:00:00Z;2400;5491d6d2-0c9e-47b7-bfde-c84c632efacc;Area 1;3600
Presenze;2017-12-24T17:00:00Z;2017-12-24T18:00:00Z;2390;5491d6d2-0c9e-47b7-bfde-c84c632efacc;Area 1;3600
Presenze;2017-12-24T16:00:00Z;2017-12-24T17:00:00Z;2397;5491d6d2-0c9e-47b7-bfde-c84c632efacc;Area 1;3600
Presenze;2017-12-24T15:00:00Z;2017-12-24T16:00:00Z;2377;5491d6d2-0c9e-47b7-bfde-c84c632efacc;Area 1;3600
Presenze;2017-12-24T14:00:00Z;2017-12-24T15:00:00Z;2396;5491d6d2-0c9e-47b7-bfde-c84c632efacc;Area 1;3600
Presenze;2017-12-24T13:00:00Z;2017-12-24T14:00:00Z;2387;5491d6d2-0c9e-47b7-bfde-c84c632efacc;Area 1;3600
Presenze;2017-12-24T12:00:00Z;2017-12-24T13:00:00Z;2390;5491d6d2-0c9e-47b7-bfde-c84c632efacc;Area 1;3600
Presenze;2017-12-24T11:00:00Z;2017-12-24T12:00:00Z;2399;5491d6d2-0c9e-47b7-bfde-c84c632efacc;Area 1;3600
Presenze;2017-12-24T10:00:00Z;2017-12-24T11:00:00Z;2446;5491d6d2-0c9e-47b7-bfde-c84c632efacc;Area 1;3600
Presenze;2017-12-24T09:00:00Z;2017-12-24T10:00:00Z;2514;5491d6d2-0c9e-47b7-bfde-c84c632efacc;Area 1;3600
Presenze;2017-12-24T08:00:00Z;2017-12-24T09:00:00Z;2508;5491d6d2-0c9e-47b7-bfde-c84c632efacc;Area 1;3600
Presenze;2017-12-24T07:00:00Z;2017-12-24T08:00:00Z;2502;5491d6d2-0c9e-47b7-bfde-c84c632efacc;Area 1;3600
Presenze;2017-12-24T06:00:00Z;2017-12-24T07:00:00Z;2521;5491d6d2-0c9e-47b7-bfde-c84c632efacc;Area 1;3600
