Date;Hour;C1;C2
01-06-2016;00:00;;
01-06-2016;00:30;-0,02;14,2
01-06-2016;01:00;-0,06;14,1
01-06-2016;01:30;-0,01;14,3
01-06-2016;02:00;-0,04;14,3
01-06-2016;02:30;0,01;14,3
01-06-2016;03:00;-0,07;14,3
01-06-2016;03:30;0,00;14,2
01-06-2016;04:00;0,02;14,2
01-06-2016;04:30;0,04;14,3
01-06-2016;05:00;0,03;14,2
01-06-2016;05:30;0,02;14,3
01-06-2016;06:00;0,03;14,2
01-06-2016;06:30;0,04;14,4
01-06-2016;07:00;0,09;14,7
01-06-2016;07:30;0,02;14,8
01-06-2016;08:00;0,01;15,5
01-06-2016;08:30;0,02;15,8
01-06-2016;09:00;0,07;16,6
01-06-2016;09:30;0,07;17,1
01-06-2016;10:00;-0,03;16,7
01-06-2016;10:30;0,06;17,3
01-06-2016;11:00;-0,02;18,2
01-06-2016;11:30;0,01;19,4
01-06-2016;12:00;-0,06;19,0
01-06-2016;12:30;0,03;19,6
01-06-2016;13:00;0,02;20,3
01-06-2016;13:30;0,04;20,3
01-06-2016;14:00;-0,05;21,2
01-06-2016;14:30;0,01;21,4
01-06-2016;15:00;0,05;22,2
01-06-2016;15:30;0,03;22,7
01-06-2016;16:00;0,07;22,3
01-06-2016;16:30;0,06;20,9
01-06-2016;17:00;0,05;20,6
01-06-2016;17:30;0,06;20,3
01-06-2016;18:00;0,06;20,5
01-06-2016;18:30;0,05;21,6
01-06-2016;19:00;0,05;22,9
01-06-2016;19:30;0,05;22,1
01-06-2016;20:00;0,02;20,6
01-06-2016;20:30;-0,03;19,5
01-06-2016;21:00;-0,01;18,7
01-06-2016;21:30;0,02;18,4
01-06-2016;22:00;0,03;18,2
01-06-2016;22:30;0,00;17,2
01-06-2016;23:00;0,00;16,2
01-06-2016;23:30;0,00;15,5
02-06-2016;00:00;;
02-06-2016;00:30;-0,01;17,0
02-06-2016;01:00;-0,01;17,2
02-06-2016;01:30;0,00;17,0
02-06-2016;02:00;0,01;16,8
02-06-2016;02:30;0,00;16,5
02-06-2016;03:00;0,00;16,0
02-06-2016;03:30;0,01;15,9
02-06-2016;04:00;0,03;15,6
02-06-2016;04:30;0,03;15,8
02-06-2016;05:00;0,04;15,4
02-06-2016;05:30;0,03;15,2
02-06-2016;06:00;0,05;15,1
02-06-2016;06:30;-0,02;15,4
02-06-2016;07:00;0,01;15,9
02-06-2016;07:30;0,07;16,3
02-06-2016;08:00;0,07;16,7
02-06-2016;08:30;0,09;17,2
02-06-2016;09:00;0,01;20,0
02-06-2016;09:30;0,09;19,1
02-06-2016;10:00;0,05;19,9
02-06-2016;10:30;0,04;20,3
02-06-2016;11:00;-0,01;20,6
02-06-2016;11:30;-0,02;20,8
02-06-2016;12:00;0,05;19,9
02-06-2016;12:30;0,06;20,2
02-06-2016;13:00;0,02;20,7
02-06-2016;13:30;0,02;21,1
02-06-2016;14:00;0,03;21,8
02-06-2016;14:30;-0,01;21,2
02-06-2016;15:00;-0,03;20,6
02-06-2016;15:30;-0,01;20,2
