name,Lat,Long,type,lun,mar,mer,gio,ven,sab,dom
'Jungle Budha Bar', '45.0568285', '7.6787748', 'pub',x,x,x,21:30–03,21:30–03,21:30–03,21:30–03
'Alter Ego', '45.0568479', '7.6786616', 'pub',18:30–02,18:30–02,18:30–02,18:30–02,18:30–02,18:30–03,18:30–03
'BAR SOUND20', '45.0569482', '7.6782244', 'pub',08–24,08–24,08–24,08–24,08–24,08–24,08–03
Enoteca Vin di Vino di Rodolfo Valentino Torino', '45.057154', '7.677861', 'resturant',10:30–21:30,10:30–21:30,10:30–21:30,10:30–21:30,10:30–21:30,"10–13, 16–21",x
'Gintoneria Twenty', '45.057154', '7.677861', 'pub',09–03,09–03,09–03,09–03,09–03,09–03,09–03
'Cioccolateria Sala TÃ¨', '45.0571411', '7.6778069', 'resturant',nan,nan,nan,nan,nan,nan,nan
'Fujiyama', '45.0574426', '7.6774582', 'resturant',"12–15, 19–23",x,"12–15, 19–23","12–15, 19–23","12–15, 19–23","12–15, 19–23","12–15, 19–23"
BAR MONICA', '45.0575821' , '7.6774712', 'pub',07–19,07–19,07–19,07–19,07–19,07–19,x
'Caffetteria ghigo', '45.0577588', '7.6775675', 'resturant',nan,nan,nan,nan,nan,nan,nan
'Borello Supermercati Cit - Torino', '45.0577588', '7.6775675', 'public place',08–20:30,08–20:30,08–20:30,08–20:30,08–20:30,08–20:30,09–13:30
'Linea Pneus - Centro First Stop', '45.0580788', '7.6775383', 'public place',"08:30–12:30, 14:30–19","08:30–12:30, 14:30–19","08:30–12:30, 14:30–19","08:30–12:30, 14:30–19","08:30–12:30, 14:30–19",08:30–12:30,x
Casa del dolce di marletta giovanni gianluca',45.05819996,7.677462454,restaurant',x,08–19:30,08–19:30,08–19:30,08–19:30,"08–13, 15:30–19:30",08–13
'Pizzeria 150', '45.0580788', '7.6775383', 'resturant',x,18:30–23,18:30–23,18:30–23,18:30–23,"11:30–15, 18:30–23","11:30–15, 18:30–23"
'Enoteca Mastrovini', '45.0582788', '7.6777547', 'public place',16–24,16–24,16–24,16–24:30,16–24:30,16–24:30,x
'PÃ­zzerÃ­a NÃ­zza 29', '45.0584105', '7.6775908', 'resturant',11:30–22:30,11:30–22:30,11:30–22:30,11:30–22:30,11:30–03,18–03,18–22:30
'Da Lisa', '45.0584105', '7.6775908', 'resturant',x,"12–15, 18–24","12–15, 18–24","12–15, 18–24","12–15, 18–24","12–15, 18–02:30",18–24
'Aldo'S Bakery', '45.0583318', '7.6783122', 'public place',06:30–19:30,06:30–22,06:30–22,06:30–22,06:30–03,06:30–03,x
'Flair', '45.058068', '7.6784538', 'pub',x,19–02,19–02,19–02,19–03,19–03,x
'Polpo d'Amor Torino', '45.058068', '7.6784538', 'resturant',x,"12–14, 19–22:30","12–14, 19–22:30","12–14, 19–22:30","12–14, 19–23","12–14:30, 19–22:30",12–14:30
'Chiesa Parrocchiale dei SS.Pietro e Paolo Apostoli', '45.0580625', '7.6786928', 'public place',nan,nan,nan,nan,nan,nan,nan
'Cine Teatro Baretti', '45.0580625', '7.6786928', 'public place',nan,nan,nan,nan,nan,nan,nan
'La Bomba', '45.0578944', '7.6785633', 'resturant',19:30–02,19:30–02,19:30–02,19:30–02,22:30–04,22:30–04,x
'Crema & Cioccolato', '45.0576746', '7.6784413', 'resturant',15:30–22:30,15:30–21,15:30–22:30,15:30–22:30,15:30–02,15:30–02,x
'La Choza', '45.0575164', '7.6784024', 'pub',17:30–22,17:30–22,17:30–22,17:30–22,17:30–22,17:30–22,17:30–22
'Renatino Torino - La dieta domani', '45.0575231', '7.6783823', 'resturant',x,"12–14:30, 19–24","12–14:30, 19–24","12–14:30, 19–24","12–14:30, 19–24","12–14:30, 19–24","12–14:30, 19–24"
'Ditta Lentini Concetta Articoli Religiosi', '5.0576092', '7.6784995', 'public place',nan,nan,nan,nan,nan,nan,nan
'Provincia D'Italia Della Congregazione Delle Suore Della Provvidenza R', '45.0575612', '7.6785044', 'public place',nan,nan,nan,nan,nan,nan,nan
'Banca Etica Filiale di Torino', '45.0572437', '7.6784401', 'public place',"08:45–13:15, 14:30–16:30","08:45–13:15, 14:30–16:30","08:45–13:15, 14:30–16:30","08:45–13:15, 14:30–16:30","08:45–13:15, 14:30–16:30",x,x
Matrioska San Salvario', '45.0574697', '7.6784956', 'pub',x,17–1:30AM,17–1:30AM,17–1:30AM,17–3:24AM,17–3:24AM,17–1:30AM
Mancini Supercars S.R.L.', '45.0574697', '7.6784956', 'public place',09–12:30,09–12:30,09–12:30,09–12:30,09–12:30,09–12:30,x
'Abbiyou Yoisymania', '45.0573071', '7.6783681', 'public place',16:30–19,"10:30–12:30, 15:30–19:30","10:30–12:30, 15:30–19:30","10:30–13, 15:30–19","10:30–12:30, 15:30–19:30","10:30–12:30, 15:30–19",x
Doggystyle', '45.0571815', '7.6784041', 'public place',11AM–20,11AM–20,11AM–20,11AM–20,11AM–1AM,11AM–1AM,x
CammafÃ  Ristorante Torino', '45.0571815', '7.6784041', 'resturant',x,"12–14, 7:30–23","12–14, 7:30-23","12–14, 7:30–23",7:30–23,7:30–23,x
Il Barotto Taglieria', '45.0580443', '7.679613', 'resturant',24–12AM,24–12AM,24–12AM,24–12AM,24–12AM,24–12AM,
Oh Crispa! Chinese Street Food', '45.058044', '7.6796249', 'resturant',"12:30–15, 7–13","12:30–15, 7–13","12:30–15, 7–13","12:30–15, 7–13","12:30–15, 7–13","12:30–15, 7–13",
Insomnia Cocktail Food', '45.057805', '7.6799286', 'pub',18–2AM,18–2AM,18–2AM,18–2AM,18–2AM,18–2AM,
Atelier Alessandro Gatto', '45.0574344', '7.6798257', 'public place',nan,nan,nan,nan,nan,nan,nan
Chiesa Evangelica La compassione di GesÃ¹ Cristo',,,,nan,nan,nan,nan,nan,nan,nan
Hamerica s Torino', '45.0571246', '7.6796137', 'public place',11AM–15,11AM–15,11AM–15,11AM–15,11AM–15,11AM–15,11AM–15
